cardNumber,playerName,team
US1,Kristian Campbell,Boston Red Sox®
US2,Zac Veen,Colorado Rockies™
US3,Jamie Westbrook,Tampa Bay Rays™
US4,Alex Verdugo,Atlanta Braves™
US5,Jeff Criswell,Colorado Rockies™
US6,Levi Jordan,Cincinnati Reds®
US7,Christian Vázquez,Minnesota Twins®
US8,Tanner Gordon,Colorado Rockies™
US9,Jeff Hoffman,Toronto Blue Jays®
US10,Alejandro Osuna,Texas Rangers®
US11,Agustín Ramírez,Miami Marlins®
US12,Andrés Muñoz,Seattle Mariners™
US13,Jose Trevino,Cincinnati Reds®
US14,Denzel Clarke,Athletics™
US15,Kyren Paris,Angels®
US16,Luke Keaschall,Minnesota Twins®
US17,Garrett McDaniels,Angels®
US18,Evan Phillips,Los Angeles Dodgers®
US19,Rowdy Tellez,Seattle Mariners™
US20,Mitch Spence,Athletics™
US21,Thomas Saggese,St. Louis Cardinals®
US22,Blade Tidwell,New York Mets®
US23,Gio Urshela,Athletics™
US24,Yoán Moncada,Angels®
US25,Ben Rice,New York Yankees®
US26,José Ramírez / Steven Kwan,Cleveland Guardians®
US27,Justin Turner,Chicago Cubs®
US28,Grant Koch,Pittsburgh Pirates®
US29,Luis Matos,San Francisco Giants®
US30,Eric Haase,Milwaukee Brewers™
US31,Zach Agnos,Colorado Rockies™
US32,Braxton Ashcraft,Pittsburgh Pirates®
US33,Travis d'Arnaud,Angels®
US34,Hayden Birdsong,San Francisco Giants®
US35,Steven Matz,St. Louis Cardinals®
US36,Luis Guerrero,Boston Red Sox®
US37,Zebby Matthews,Minnesota Twins®
US38,Dalton Rushing,Los Angeles Dodgers®
US39,Brad Lord,Washington Nationals®
US40,Griffin Canning,New York Mets®
US41,Curtis Mead,Tampa Bay Rays™
US42,Manuel Margot,Detroit Tigers®
US43,Mike Tauchman,Chicago White Sox®
US44,Doug Nikhazy,Cleveland Guardians®
US45,Cam Smith,Houston Astros®
US46,Ryan Pressly,Chicago Cubs®
US47,Chase Shugart,Pittsburgh Pirates®
US48,Matt Thaiss,Tampa Bay Rays™
US49,Michael Petersen,Miami Marlins®
US50,Cody Bellinger,New York Yankees®
US51,Adam Frazier,Pittsburgh Pirates®
US52,Liam Hicks,Miami Marlins®
US53,Luarbert Arias,Miami Marlins®
US54,Jared Triolo,Pittsburgh Pirates®
US55,Tomoyuki Sugano,Baltimore Orioles®
US56,Dominic Canzone,Seattle Mariners™
US57,Michael Taylor,Chicago White Sox®
US58,Connor Joe,Cincinnati Reds®
US59,Caleb Durbin,Milwaukee Brewers™
US60,Michael McGreevy,St. Louis Cardinals®
US61,Elvis Alvarado,Athletics™
US62,Joe Boyle,Tampa Bay Rays™
US63,Connor Thomas,Milwaukee Brewers™
US64,Ji Hwan Bae,Pittsburgh Pirates®
US65,Noah Cameron,Kansas City Royals®
US66,Zack Littell,Tampa Bay Rays™
US67,Nic Enright,Cleveland Guardians®
US68,Matt Mervis,Miami Marlins®
US69,Nick Pivetta,San Diego Padres™
US70,Dustin May,Los Angeles Dodgers®
US71,Jason Heyward,San Diego Padres™
US72,Tsung-Che Cheng,Pittsburgh Pirates®
US73,Chris Paddack,Minnesota Twins®
