card_number,player_name,card_type,listing_display,listing
RR-1,Ad Amador,RR,RR-1 Chrome /99 Adael Amador Green Rockstar Rookies,2025 Bowman Chrome Adael Amador RC Green Rockstar Rookies /99 Colorado Rockies
ROY-AA,Ad Amador,ROY-A,ROY-AA Chrome /150 ADAEL AMADOR ROOKIE OF THE YEAR AUTO,ADAEL AMADOR 2025 BOWMAN CHROME ROOKIE OF THE YEAR RC AUTO /150
ROY-13,Ad Amador,ROY,ROY-13 /25 Adael Amador Rookie of the Year Favorites Orange Refractor,2025 Bowman Adael Amador Rookie of the Year Favorites Orange Refractor #/25
ROY-AA,Ad Amador,ROY-A,ROY-AA /25 Adael Amador Rookie of the Year Favorites Orange Auto,2025 Bowman- Adael Amador Rookie of the Year Favorites Orange Auto /25 Rockies
ROY-AA,Ad Amador,ROY-A,ROY-AA /25 Adael Amador Rookie of the Year Favorites Orange Auto,2025 Bowman- Adael Amador Rookie of the Year Favorites Orange Auto /25
ROY-AA,Ad Amador,ROY-A,ROY-AA /150 Adael Amador Rookie of the Year Favorites Die-Cut Auto,2025 Bowman Adael Amador Rookie of the Year Favorites Die-Cut Auto /150 Rockies
BTP-42,Al Rosario,BTP,BTP-42 Chrome /150 Top 100 Sparkle Refractor Alejandro Rosario #BTRP-,2025 Bowman Chrome Top 100 Sparkle Refractor - Alejandro Rosario #BTRP-42 /150
BTP-91,Al Freeland,BTP,BTP-91 Chrome Top 100 Alex Freeland #91,2025 Bowman Chrome Top 100 Alex Freeland Dodgers #91
BTP-91,Al Freeland,BTP,BTP-91 Chrome Top 100 Alex Freeland,2025 Bowman Chrome Top 100 Alex Freeland Dodgers
BTP-91,Al Freeland,BTP,BTP-91 Chrome /125 Alex Freeland Top 100 Card,2025 Bowman Chrome Alex Freeland Top 100 Card 24/125
BTP-91,Al Freeland,BTP,BTP-91 Chrome Alex Freeland Scouts Top 100 .,Alex Freeland 2025 Bowman Chrome Bowman Scouts Top 100 Prospects. Dodgers
BTP-91,Al Freeland,BTP,BTP-91 /99 Alex Freeland Green Foil Top 100 Card,Alex Freeland 2025 Bowman Green Foil Top 100 Card /99
BTP-77,An Genao,BTP,BTP-77 /25 | Top 100 | Angel Genao | Orange |,2025 Bowman Baseball | Top 100 | Angel Genao | Orange /25 | Guardians
BTP-77,An Genao,BTP,BTP-77 TOP 100 ANGEL GENAO (# 77),2025 Bowman Baseball TOP 100 PROSPECTS ANGEL GENAO (# 77)
BTP-77,An Genao,BTP,BTP-77 Chrome /125 ANGEL GENAO Scouts Top 100 AQUA REFRACTOR ~,ANGEL GENAO 2025 Bowman Chrome Scouts Top 100 AQUA REFRACTOR ~ Guardians /125
BTP-77,An Genao,BTP,BTP-77 Chrome Angel Genao Top 100,2025 Bowman Chrome Angel Genao Top 100 Prospects - Cleveland Guardians
BTP-77,An Genao,BTP,BTP-77 Chrome Top 100 Angel Genao Refractor,2025 Bowman Chrome Top 100 Angel Genao Refractor RC
BTP-77,An Genao,BTP,BTP-77 Chrome Top 100 Angel Genao,2025 Bowman Chrome Top 100 Angel Genao
BTP-77,An Genao,BTP,BTP-77 Chrome Angel Genao Top 100 Refractor ( ),2025 Bowman Chrome - Angel Genao - Top 100 Refractor (RC)
BTP-54,Bl Mitchell,BTP,BTP-54 /4 Blake Mitchell Green Refractor Top 100 KC /99 SP ð¥â3⁄4ï ̧ð¥,2025 Bowman Blake Mitchell Green Refractor Top 100 KC Royals /99 SP ð¥â¾ï¸ð¥
