rank,card_type,win_rate,wins,losses,avg_win_margin,pairwise_duels_played,listing_count,avg_listing_price
1,Final Draft · Red,1.0,500,0,918.5653,500,2,999.99
2,Bowman In Action · Orange · Auto,1.0,500,0,527.5739,500,4,615.225
3,Bowman Axis · Superfractor,1.0,500,0,699.494,500,2,705.49
4,BDC Chrome Prospect · Superfractor · Auto,1.0,500,0,10041.7091,500,4,10249.995
5,BDC Chrome Prospect · Steel Metal · Auto,1.0,500,0,87.7733,500,2,104.24
6,Prized Prospects · Red,1.0,489,0,98.9712,500,1,130.5
7,Bowman Draft Night · Superfractor · Auto,0.994,497,3,11222.2013,500,2,12500.0
8,BDC Chrome Prospect · Superfractor,0.990253,508,5,10876.663,513,7,15616.1414
9,Bowman In Action · Superfractor,0.982036,492,9,1855.4215,501,2,2107.0
10,BDC Chrome Prospect · Black /73 · Auto,0.976231,575,14,2531.1875,589,22,2336.1673
11,BDC Chrome Prospect · Yellow Printing Plate,0.976,488,12,336.4458,500,4,377.62
12,Crystallized · Black,0.958,479,21,1628.8349,500,4,1783.995
13,BDC Chrome Prospect · True Black /10 · Auto,0.954092,478,23,1988.0136,503,14,2127.2129
14,Chrome Prospect College Variations · Red /5,0.946,473,27,996.9235,500,4,1152.745
15,BDC Chrome Prospect · X-Fractor · Auto,0.945406,710,41,2232.3688,751,42,2302.6381
16,BDC Chrome Prospect · Orange /25 · Auto,0.94126,1330,83,1736.1428,1415,64,1577.6792
17,Bowman Draft Night · Red,0.934132,468,33,1394.5151,501,1,1500.0
18,BDC Chrome Prospect · Yellow Printing Plate · Auto,0.934,467,33,1853.7028,500,2,1999.99
19,BDC Chrome Prospect · Magenta Printing Plate,0.925344,471,38,910.6676,512,12,1001.2417
20,BDC Chrome Prospect · Printing Plate · Auto,0.924152,463,38,699.4411,501,4,830.735
21,Bowman In Action · Red · Auto,0.916,458,42,830.5619,500,2,1000.0
22,BDC Chrome Prospect · Parallel · Auto,0.914001,1286,121,5184.9746,1408,60,3134.8837
23,BDC Chrome Prospect · Black Geometric /10,0.914,457,43,224.5237,500,8,275.3737
24,BDC Chrome Prospect · True Black /10,0.908397,476,48,368.3714,528,21,374.7929
25,BDC Chrome Prospect · Black Printing Plate · Auto,0.908184,455,46,4309.6814,501,1,5009.99
26,Chrome Prospect College Variations · Black /73,0.906,453,47,734.5449,500,2,1007.49
27,BDC Chrome Prospect · Gold /50 · Auto,0.902579,3150,340,1254.3574,3497,234,1084.4449
28,BDC Chrome Prospect · Speckle · Auto,0.901768,459,50,602.9064,509,8,945.9037
29,Snack-Pack,0.895057,3241,380,802.3388,3622,200,768.1678
30,Bowman Draft Night · Gold · Mini Diamond · Auto,0.894,447,53,938.5529,500,3,1158.3333
31,BDC Chrome Prospect · Black /73,0.893069,451,54,171.2068,505,11,205.6
32,Image Variations · Orange,0.890196,454,56,789.1207,512,4,999.995
33,BDC Chrome Prospect · Black Geometric /10 · Auto,0.886,443,57,874.0197,500,2,1000.0
34,BDC Chrome Prospect · Mini Diamond · Auto,0.878788,435,60,188.0396,500,5,221.994
35,Crystallized · Gold,0.876611,476,67,939.4237,543,14,1102.1729
36,Image Variations · Auto,0.874517,453,65,2022.26,518,6,1904.5
37,Image Variations · Green · Auto,0.872763,439,64,781.8661,503,5,984.59
38,BDC Chrome Prospect · Black Printing Plate,0.866,433,67,409.4495,500,4,462.485
39,BDC Chrome Prospect · Yellow /75 · Auto,0.86418,2386,375,589.5124,2766,163,633.3637
40,Crystallized · Red,0.863813,444,70,2964.252,514,3,3334.9267
41,BDC Chrome Prospect · Sparkle · Auto,0.863014,945,150,557.8925,1098,57,623.5672
42,Crystallized · Orange,0.858757,456,75,1862.3428,531,14,1795.9221
43,BDC Chrome Prospect · Logo Refractor /35,0.846512,1638,297,104.1079,1947,103,107.8653
44,BDC Chrome Prospect · Red /5 · Auto,0.844282,694,128,2225.764,824,57,1040.6635
45,Bowman In Action · Gold · Auto,0.832,416,84,266.7288,500,4,345.025
46,BDC Chrome Prospect · Printing Plate,0.82874,421,87,746.5088,508,7,853.5714
47,BDC Chrome Prospect · Green /99 · Auto,0.816031,3380,762,321.5503,4146,290,419.8429
48,BDC Chrome Prospect · Red /5,0.814139,1428,326,765.1785,1755,110,442.0332
49,Crystallized,0.803982,525,128,566.9251,654,34,598.1132
50,Bowman In Action · Black,0.800399,401,100,354.8041,501,2,505.0
51,Bowman In Action · Lava · Auto,0.797217,401,102,247.9083,503,4,317.495
52,Bowman Spotlight · Red,0.791829,407,107,582.9395,514,10,494.182
53,BDC Chrome Prospect · Blue /150 · Auto,0.786645,3923,1064,245.2831,4997,424,276.0652
54,BDC Chrome Prospect · Orange /25,0.781438,2206,617,165.8658,2828,134,167.2896
55,Prized Prospects · Auto,0.778912,458,130,2352.0567,590,16,2198.34
56,BDC Chrome Prospect · Speckle Refractor · Auto,0.777559,395,113,245.2841,508,19,281.4726
57,Chrome Prospect College Variations · Orange /25,0.768775,389,117,596.6355,506,3,538.3267
58,BDC Chrome Prospect · Wave · Auto,0.768,384,116,402.9069,500,1,499.99
59,BDC Chrome Prospect · Aqua /125 · Auto,0.756191,2168,699,186.6495,2871,185,174.8906
60,Bowman In Action · Auto,0.753731,505,165,275.5442,670,21,287.5448
61,Base-Paper · Black Border,0.751923,391,129,2742.6595,520,6,1833.565
62,BDC Chrome Prospect · Fuchsia Reptilian /199 · Auto,0.74439,1360,467,252.4117,1828,89,248.1679
63,Bowman Axis · Red,0.741036,372,130,106.9734,502,1,140.95
64,Chrome Prospect College Variations · Gold /50,0.733598,369,134,291.6925,503,5,464.992
65,BDC Chrome Prospect · Gold /50,0.733177,3127,1138,100.9846,4285,230,107.7042
66,BDC Chrome Prospect · Purple /250 · Auto,0.723742,3466,1323,176.1347,4806,397,180.7995
67,Bowman Draft Night · Orange · Auto,0.708583,355,146,209.7135,501,1,326.0
68,Final Draft,0.707692,782,323,174.3261,1110,81,192.9922
69,Bowman Axis · Gold,0.706362,433,180,55.7908,613,22,67.2341
70,Bowman In Action · Wave · Auto,0.700576,365,156,183.7427,521,4,258.6625
71,Bowman Draft Night · Auto,0.694737,396,174,285.4913,570,12,357.3717
72,Bowman Spotlight,0.691509,733,327,236.9002,1072,67,280.4781
73,BDC Chrome Prospect · Sky Blue /499 · Auto,0.688983,3746,1691,124.6313,5449,520,151.9728
74,Etched in Glass,0.67801,1036,492,212.8009,1529,116,260.0463
75,BDC Chrome Prospect · Yellow /75,0.674132,3341,1615,50.608,4972,324,61.4506
76,Prized Prospects · Green · Auto,0.664,332,168,55.3163,500,1,84.0
77,BDC Chrome Prospect · Steel Metal /100,0.656002,2153,1129,55.1045,3293,181,66.6205
78,BDC Chrome Prospect · Aqua Reptilian,0.655387,1685,886,33.9072,2586,141,47.8087
79,Bowman Axis · Orange,0.653696,336,178,124.1954,517,10,170.242
80,Bowman In Action · Orange,0.646953,361,197,146.335,560,14,192.1
81,Image Variations · Purple · Auto,0.636,318,182,155.6003,500,1,240.5
82,Prized Prospects · Orange,0.627306,340,202,218.5689,542,12,235.8742
83,Bowman Draft Night · Orange,0.625767,306,183,138.5917,500,3,186.6567
84,Image Variations,0.598913,551,369,194.0216,920,77,225.8496
85,BDC Chrome Prospect · Green /99,0.59708,4622,3119,39.5064,7779,670,49.685
86,BDC Chrome Prospect · Fuchsia Reptilian · Wave · Auto,0.584,292,208,23.1867,500,2,35.0
87,Prized Prospects · Green,0.583893,348,248,81.533,597,20,118.588
88,Bowman Draft Night · Gold,0.580858,352,254,83.4752,607,23,125.2704
89,Bowman In Action · Gold,0.570413,401,302,95.3408,704,29,115.199
90,BDC Chrome Prospect · Aqua /125,0.569461,2853,2157,31.0432,5024,302,37.8222
91,Bowman Axis · Green,0.560606,296,232,66.5197,533,17,73.9606
92,BDC Chrome Prospect · Fuchsia Reptilian /199,0.548928,2457,2019,27.4326,4499,260,32.5524
93,BDC Chrome Prospect · Sparkle,0.548576,751,618,13.5134,1382,73,18.1512
94,Prized Prospects · Gold,0.548336,346,285,73.2509,631,16,93.7731
95,BDC Chrome Prospect · Blue /150,0.547717,4006,3308,43.1378,7349,571,46.7234
96,BDC Chrome Prospect · Purple /250,0.540681,3017,2563,37.8756,5614,389,37.536
97,Chrome Prospect College Variations · Auto,0.539235,268,229,129.1106,500,2,202.225
98,BDC Chrome Prospect · Speckle Refractor,0.534347,879,766,20.827,1660,61,27.6298
99,BDC Chrome Prospect · Sapphire,0.531783,343,302,35.7176,649,42,28.4948
100,Bowman In Action · Mini Diamond,0.53048,409,362,43.8859,772,35,52.7731
101,BDC Chrome Prospect · Parallel,0.53,265,235,1658.5367,500,4,1005.0
102,Prized Prospects · Blue,0.527888,265,237,131.2404,502,1,195.0
103,BDC Chrome Prospect · Mini Diamond,0.52381,473,430,21.5275,912,47,21.3321
