card_type,n,with_serial,pct_with_serial
Chrome · Refractor,4828,2,0.04
Chrome,2282,6,0.26
Chrome · Auto,1775,0,0.00
Prized Prospects,910,0,0.00
Bowman Axis,788,0,0.00
Chrome · X-Fractor,551,17,3.09
Bowman Draft Night,463,0,0.00
Chrome · Sky Blue,459,32,6.97
Chrome · Green,457,453,99.12
Bowman In Action,454,0,0.00
Chrome · Purple,355,348,98.03
Chrome · Blue,338,260,76.92
Chrome · Yellow,266,264,99.25
Chrome · Sky Blue /499 · Auto,255,255,100.00
Chrome · Sky Blue · Auto,241,241,100.00
Chrome · Fuchsia Reptilian /199,223,220,98.65
Chrome · Aqua /125 · Auto,183,183,100.00
Chrome · Purple · Auto,157,154,98.09
Chrome · Steel Metal /100,156,156,100.00
Chrome · Aqua /125,147,139,94.56
Chrome · Blue · Auto,145,143,98.62
Chrome · Aqua Reptilian,141,139,98.58
Chrome · Blue /150 · Auto,135,135,100.00
Etched in Glass,117,0,0.00
Chrome · Green /99 · Auto,105,105,100.00
Chrome · Purple /250 · Auto,103,103,100.00
Chrome · Gold,97,95,97.94
Chrome · Aqua,94,94,100.00
Chrome · Red,81,42,51.85
Final Draft,81,0,0.00
Chrome · Gold · Auto,80,75,93.75
Image Variations,77,0,0.00
Chrome · Green · Auto,73,73,100.00
Chrome · Sparkle,72,4,5.56
Chrome · Yellow · Auto,69,68,98.55
Bowman Spotlight,65,0,0.00
Chrome · Gold /50 · Auto,62,62,100.00
Chrome · Speckle Refractor,60,5,8.33
Chrome · Logo Refractor /35,58,58,100.00
Chrome · Sparkle · Auto,56,56,100.00
Chrome · Orange,53,52,98.11
Chrome · Yellow /75 · Auto,50,50,100.00
Chrome · Sapphire,48,16,33.33
Chrome · Mini Diamond,47,6,12.77
Prized Prospects /250,47,47,100.00
Chrome · Red /5 · Auto,45,22,48.89
Chrome · X-Fractor · Auto,42,42,100.00
Chrome · Red · Auto,36,36,100.00
Bowman In Action · Mini Diamond /150,34,34,100.00
Crystallized,31,0,0.00
Bowman Axis /250,29,29,100.00
Bowman In Action · Gold /50,29,29,100.00
Bowman In Action · Green /99,27,26,96.30
Bowman In Action · Red /5,25,5,20.00
Bowman Draft Night · Gold /50,23,23,100.00
Chrome · Orange · Auto,23,23,100.00
Chrome · True Black /10,21,21,100.00
Bowman Axis · Gold /50,20,20,100.00
Chrome · Orange /25 · Auto,20,20,100.00
Prized Prospects · Green /99,20,20,100.00
Bowman Draft Night /250,19,19,100.00
Chrome · Speckle Refractor · Auto,19,19,100.00
Bowman Axis · Mini Diamond /150,18,18,100.00
Chrome Prospect College Variations,16,0,0.00
Prized Prospects · Gold /50,16,16,100.00
Bowman In Action · Orange /25,14,14,100.00
Chrome · True Black /10 · Auto,14,14,100.00
Crystallized · Gold /50,14,14,100.00
Crystallized · Orange /25,14,14,100.00
Prized Prospects · Mini Diamond /150,14,14,100.00
Bowman Axis · Green /99,13,13,100.00
Bowman Draft Night · Mini Diamond /150,13,13,100.00
Chrome · Black /73 · Auto,13,13,100.00
Bowman Draft Night /99 · Auto,12,12,100.00
Bowman In Action /150,12,12,100.00
Chrome · Magenta Printing Plate,12,12,100.00
Prized Prospects · Orange /25,12,12,100.00
Bowman In Action /75 · Auto,11,11,100.00
Bowman In Action /99 · Auto,11,11,100.00
Chrome · Black,11,11,100.00
Bowman Axis · Orange /25,10,10,100.00
Bowman Spotlight · Red /5,10,3,30.00
Chrome · Black · Auto,9,9,100.00
Chrome · Black Geometric /10,8,8,100.00
Chrome · Blue /150,8,8,100.00
Chrome · Speckle /71 · Auto,8,8,100.00
Prized Prospects /99 · Auto,8,8,100.00
Chrome · Fuchsia Reptilian /199 · Auto,7,7,100.00
Chrome · Printing Plate,7,5,71.43
Chrome · Sky Blue /499,7,6,85.71
Chrome · Superfractor,7,7,100.00
Image Variations · Auto,7,7,100.00
Prized Prospects /99,7,7,100.00
Base-Paper · Black Border,6,6,100.00
Chrome · Gold /50,6,6,100.00
Chrome · Superfractor · Auto,6,6,100.00
Bowman Draft Night · Green /99,5,5,100.00
Bowman In Action · Blue /150,5,5,100.00
Chrome Prospect College Variations · Gold /50,5,5,100.00
Image Variations · Green · Auto,5,5,100.00
Bowman Axis /99,4,4,100.00
Bowman In Action · Gold /50 · Auto,4,4,100.00
Bowman In Action · Lava /75 · Auto,4,4,100.00
Bowman In Action · Orange /25 · Auto,4,4,100.00
Bowman In Action · Speckle /150,4,4,100.00
Bowman In Action · Wave /75 · Auto,4,4,100.00
Chrome Prospect College Variations · Red /5,4,4,100.00
Chrome · Black Printing Plate,4,4,100.00
Chrome · Green /99,4,4,100.00
Chrome · Mini Diamond /71 · Auto,4,4,100.00
Chrome · Yellow /75,4,4,100.00
Chrome · Yellow Printing Plate,4,4,100.00
Crystallized · Black /73,4,4,100.00
Image Variations · Orange,4,4,100.00
Prized Prospects /5 · Auto,4,4,100.00
Prized Prospects · Auto,4,0,0.00
Bowman Axis · Purple /250,3,3,100.00
Bowman Axis · Speckle /150,3,3,100.00
Bowman Draft Night · Gold /50 · Mini Diamond · Auto,3,3,100.00
Bowman Draft Night · Orange /25,3,3,100.00
Bowman In Action /99,3,3,100.00
Chrome Prospect College Variations · Orange /25,3,3,100.00
Chrome · Printing Plate · Auto,3,3,100.00
Crystallized /25,3,3,100.00
Crystallized · Red /5,3,3,100.00
Prized Prospects /150,3,3,100.00
Prized Prospects /50,3,3,100.00
Bowman Axis /50,2,2,100.00
Bowman Axis · Superfractor /1,2,2,100.00
Bowman Draft Night /150,2,2,100.00
Bowman Draft Night /99,2,2,100.00
Bowman Draft Night · Purple /250,2,2,100.00
Bowman Draft Night · Superfractor /1 · Auto,2,2,100.00
Bowman In Action /10,2,2,100.00
Bowman In Action · Black /73,2,2,100.00
Bowman In Action · Red /5 · Auto,2,2,100.00
Bowman In Action · Superfractor /1,2,2,100.00
Bowman Spotlight /5,2,2,100.00
Chrome /10 · Auto,2,2,100.00
Chrome Prospect College Variations · Auto,2,0,0.00
Chrome Prospect College Variations · Black /73,2,2,100.00
Chrome · Black Geometric /10 · Auto,2,2,100.00
Chrome · Fuchsia Reptilian · Wave /199 · Auto,2,2,100.00
Chrome · Orange /25,2,2,100.00
Chrome · Purple /250,2,2,100.00
Chrome · Refractor · Auto,2,0,0.00
Chrome · Steel Metal /100 · Auto,2,2,100.00
Chrome · Yellow Printing Plate · Auto,2,2,100.00
Final Draft · Red /5,2,2,100.00
Prized Prospects /199,2,2,100.00
Prized Prospects · Mini Diamond,2,0,0.00
Prized Prospects · Sparkle /150,2,2,100.00
Bowman Axis · Red /5,1,1,100.00
Bowman Draft Night /25,1,1,100.00
Bowman Draft Night · Orange /25 · Auto,1,1,100.00
Bowman Draft Night · Red /5,1,1,100.00
Bowman In Action /199,1,1,100.00
Bowman In Action · Mini Diamond,1,0,0.00
Bowman In Action · Purple /250,1,1,100.00
Chrome /1 · Auto,1,1,100.00
Chrome Prospect College Variations · Purple /250,1,1,100.00
Chrome · Black Printing Plate · Auto,1,1,100.00
Chrome · Mini Diamond · Auto,1,1,100.00
Chrome · Printing Plate /1 · Auto,1,1,100.00
Chrome · Sparkle /71 · Auto,1,1,100.00
Image Variations · Purple · Auto,1,1,100.00
Prized Prospects /25,1,1,100.00
Prized Prospects · Blue /150,1,1,100.00
Prized Prospects · Green /99 · Auto,1,1,100.00
Prized Prospects · Purple /250,1,1,100.00
Prized Prospects · Red /5,1,1,100.00
