card_type,listing_count
Base-Paper,3569
Base-Paper · Black Border,6
Bowman Axis · Base,792
Bowman Axis · Parallel,31
Bowman Axis · Gold,22
Bowman Axis · Mini Diamond,18
Bowman Axis · Green,17
Bowman Axis · Orange,10
Bowman Axis · Superfractor,2
Bowman Axis · Red,1
Bowman Draft Night,463
Bowman Draft Night · Gold /50,23
Bowman Draft Night · Purple /250,21
Bowman Draft Night · Mini Diamond /150,15
Bowman Draft Night · Green /99,7
Bowman Draft Night · Orange /25,4
Bowman Draft Night · Red /5,1
Bowman Draft Night · Auto · Green /99,12
Bowman Draft Night · Auto · Gold /50 · Mini Diamond,3
Bowman Draft Night · Auto · Superfractor /1,2
Bowman Draft Night · Auto · Orange /25,1
Bowman In Action,454
Bowman In Action · Mini Diamond /150,47
Bowman In Action · Green /99,30
Bowman In Action · Gold /50,29
Bowman In Action · Red /5,25
Bowman In Action · Orange /25,14
Bowman In Action · Blue /150,5
Bowman In Action · Mini Diamond /150 · Speckle,4
Bowman In Action · Superfractor /1,2
Bowman In Action · Black /73,2
Bowman In Action · Purple /250,1
Bowman In Action · Fuchsia Reptilian /199,1
Bowman In Action · Auto · Yellow /75,19
Bowman In Action · Auto · Green /99,10
Bowman In Action · Auto · Orange /25,4
Bowman In Action · Auto · Gold /50,4
Bowman In Action · Auto · Red /5,2
Bowman In Action /10,2
Bowman Spotlight,65
Bowman Spotlight · Red /5,10
Bowman Spotlight /5,2
Chrome · Refractor,4742
Chrome · Base,2783
Chrome · Sky Blue /499,1036
Chrome · Green /99,670
Chrome · Blue /150,574
Chrome · X-Fractor,551
Chrome · Purple /250,391
Chrome · Yellow /75,324
Chrome · Aqua /125,302
Chrome · Fuchsia Reptilian /199,261
Chrome · Gold /50,231
Chrome · Steel Metal /100,181
Chrome · Aqua Reptilian,141
Chrome · Orange /25,134
Chrome · Red /5,110
Chrome · Logo Refractor /35,103
Chrome · Sparkle,73
Chrome · Speckle Refractor,61
Chrome · Mini Diamond,47
Chrome · Sapphire,42
Chrome · True Black /10,21
Chrome · Magenta Printing Plate,12
Chrome · Black /73,11
Chrome · Black Geometric /10,8
Chrome · Printing Plate,7
Chrome · Superfractor,7
Chrome · Yellow Printing Plate,4
Chrome · Black Printing Plate,4
Chrome · Parallel,4
Chrome · Auto,2468
Chrome · Auto · Sky Blue /499,520
Chrome · Auto · Blue /150,424
Chrome · Auto · Purple /250,398
Chrome · Auto · Green /99,290
Chrome · Auto · Gold /50,234
Chrome · Auto · Aqua /125,185
Chrome · Auto · Yellow /75,165
Chrome · Auto · Fuchsia Reptilian /199,89
Chrome · Auto · Orange /25,64
Chrome · Auto · Parallel,60
Chrome · Auto · Red /5,57
Chrome · Auto · Sparkle,56
Chrome · Auto · X-Fractor,42
Chrome · Auto · Black /73,22
Chrome · Auto · Speckle Refractor,19
Chrome · Auto · True Black /10,14
Chrome · Auto · Speckle /71,8
Chrome · Auto · Mini Diamond /71,4
Chrome · Auto · Superfractor,4
Chrome · Auto · Printing Plate,3
Chrome · Auto · Refractor,2
Chrome · Auto · Black Geometric /10,2
Chrome · Auto · Yellow Printing Plate,2
Chrome · Auto · Fuchsia Reptilian · Wave /199,2
Chrome · Auto · Steel Metal /100,2
Chrome · Auto · Wave,1
Chrome · Auto · Black Printing Plate,1
Chrome · Auto · Sparkle /71,1
Chrome · Auto · Mini Diamond,1
Chrome · Auto · Printing Plate /1,1
Chrome /1 · Auto,1
Chrome /10 · Auto,2
Chrome Prospect College Variations,15
Chrome Prospect College Variations · Gold /50,5
Chrome Prospect College Variations · Red /5,4
Chrome Prospect College Variations · Orange /25,3
Chrome Prospect College Variations · Black /73,2
Chrome Prospect College Variations · Purple /250,1
Chrome Prospect College Variations · Auto,2
Crystallized,31
Crystallized · Gold /50,14
Crystallized · Orange /25,14
Crystallized · Black /73,4
Crystallized · Red /5,3
Crystallized /25,3
Etched in Glass,116
Final Draft,81
Final Draft · Red /5,2
Image Variations,77
Image Variations · Orange,4
Image Variations · Auto,6
Image Variations · Auto · Green,5
Image Variations · Auto · Purple,1
Prized Prospects,908
Prized Prospects · Purple /250,48
Prized Prospects · Green /99,27
Prized Prospects · Mini Diamond /150,21
Prized Prospects · Gold /50,19
Prized Prospects · Orange /25,13
Prized Prospects · Fuchsia Reptilian /199,2
Prized Prospects · Red /5,1
Prized Prospects · Blue /150,1
Prized Prospects · Auto · Green /99,9
Prized Prospects · Auto,4
Prized Prospects · Auto · Red /5,4
Sapphire,5
Snack-Pack,200
