player,card_type,listing_count
(unknown player),Chrome · Auto,9
(unknown player),Chrome · Refractor,4
(unknown player),Chrome · Sky Blue /499,4
(unknown player),Chrome · Blue /150,3
(unknown player),Chrome · Yellow /75 · Auto,2
(unknown player),Chrome · Purple /250,2
(unknown player),Chrome · Base,2
(unknown player),Chrome · Purple /250 · Auto,1
(unknown player),Chrome · Gold /50,1
Aaron Walton,Base-Paper,14
Aaron Walton,Chrome · Auto,31
Aaron Walton,Chrome · Refractor,20
Aaron Walton,Chrome · Base,12
Aaron Walton,Chrome · Sky Blue /499,9
Aaron Walton,Chrome · Sky Blue /499 · Auto,8
Aaron Walton,Chrome · Blue /150,4
Aaron Walton,Chrome · Orange /25,4
Aaron Walton,Chrome · Aqua /125,4
Aaron Walton,Chrome · Purple /250,4
Aaron Walton,Chrome · Blue /150 · Auto,3
Aaron Walton,Chrome · Purple /250 · Auto,3
Aaron Walton,Chrome · X-Fractor,3
Aaron Walton,Chrome · Aqua /125 · Auto,2
Aaron Walton,Chrome · Green /99 · Auto,2
Aaron Walton,Chrome · Steel Metal /100,2
Aaron Walton,Chrome · Black /73 · Auto,1
Aaron Watson,Base-Paper,17
Aaron Watson,Chrome · Auto,24
Aaron Watson,Chrome · Refractor,12
Aaron Watson,Chrome · Base,11
Aaron Watson,Chrome · X-Fractor,6
Aaron Watson,Chrome · Aqua /125,4
Aaron Watson,Chrome · Steel Metal /100,4
Aaron Watson,Chrome · Yellow /75,3
Aaron Watson,Chrome · Green /99,3
Aaron Watson,Chrome · Sky Blue /499 · Auto,3
Aaron Watson,Chrome · Aqua /125 · Auto,2
Aaron Watson,Chrome · Speckle Refractor,2
Aaron Watson,Chrome · Blue /150,2
Aaron Watson,Chrome · Sky Blue /499,1
Aaron Watson,Chrome · Purple /250,1
Aaron Watson,Chrome · Red /5,1
Aaron Watson,Chrome · Green /99 · Auto,1
Adonys Guzman,Base-Paper,16
Adonys Guzman,Chrome · Auto,31
Adonys Guzman,Chrome · Refractor,28
Adonys Guzman,Chrome · Base,17
Adonys Guzman,Chrome · Green /99,7
Adonys Guzman,Chrome · Gold /50,6
Adonys Guzman,Chrome · Aqua /125 · Auto,5
Adonys Guzman,Chrome · X-Fractor,4
Adonys Guzman,Chrome · Sparkle,4
Adonys Guzman,Chrome · Blue /150,4
Adonys Guzman,Chrome · Parallel · Auto,4
Adonys Guzman,Chrome · Gold /50 · Auto,2
Adonys Guzman,Chrome · Purple /250,2
Adonys Guzman,Chrome · Green /99 · Auto,2
Adonys Guzman,Chrome · Yellow /75 · Auto,2
Adonys Guzman,Chrome · Yellow /75,2
Adonys Guzman,Chrome · Logo Refractor /35,2
Adonys Guzman,Chrome · Orange /25,2
Adonys Guzman,Chrome · Blue /150 · Auto,2
Adonys Guzman,Chrome · Fuchsia Reptilian /199,2
Adonys Guzman,Chrome · Sky Blue /499,2
Adonys Guzman,Chrome · Sky Blue /499 · Auto,2
Aidan Miller,Base-Paper,6
Aidan Miller,Chrome · Refractor,23
Aidan Miller,Chrome · Base,12
Aidan Miller,Chrome · Blue /150,4
Aidan Miller,Chrome · Aqua /125,2
Aidan Miller,Chrome · Purple /250,2
Aidan Miller,Chrome · Yellow /75,1
Aidan West,Base-Paper,20
Aidan West,Chrome · Auto,24
Aidan West,Chrome · Refractor,23
Aidan West,Chrome · Base,15
Aidan West,Chrome · Sky Blue /499 · Auto,9
Aidan West,Chrome · Yellow /75 · Auto,6
Aidan West,Chrome · X-Fractor,6
Aidan West,Chrome · Blue /150 · Auto,4
Aidan West,Chrome · Sky Blue /499,4
Aidan West,Chrome · Gold /50,3
Aidan West,Chrome · Yellow /75,3
Aidan West,Chrome · Green /99,3
Aidan West,Chrome · Fuchsia Reptilian /199 · Auto,2
Aidan West,Chrome · Orange /25 · Auto,2
Aidan West,Chrome · Gold /50 · Auto,2
Aidan West,Chrome · Red /5,2
Aidan West,Chrome · Purple /250 · Auto,2
Aidan West,Chrome · Aqua /125,2
Aidan West,Chrome · Aqua /125 · Auto,2
Aidan West,Chrome · Green /99 · Auto,2
AJ Russell,Base-Paper,18
AJ Russell,Chrome · Refractor,24
AJ Russell,Chrome · Auto,19
AJ Russell,Chrome · Sky Blue /499,12
AJ Russell,Chrome · Sky Blue /499 · Auto,8
AJ Russell,Chrome · X-Fractor,7
AJ Russell,Chrome · Base,7
AJ Russell,Chrome · Purple /250 · Auto,5
AJ Russell,Chrome · Green /99 · Auto,5
AJ Russell,Chrome · Purple /250,2
AJ Russell,Chrome · Blue /150,2
AJ Russell,Chrome · Yellow /75,2
AJ Russell,Chrome · Yellow /75 · Auto,2
AJ Russell,Chrome · Blue /150 · Auto,2
AJ Russell,Chrome · Gold /50,2
AJ Russell,Chrome · Green /99,1
AJ Russell,Chrome · Aqua /125,1
AJ Russell,Chrome · Superfractor,1
AJ Russell,Snack-Pack,2
Alfredo Duno,Base-Paper,10
Alfredo Duno,Chrome · Refractor,14
Alfredo Duno,Chrome · Base,13
Alfredo Duno,Chrome · Aqua /125,4
Alfredo Duno,Chrome · X-Fractor,4
Alfredo Duno,Chrome · Sky Blue /499,3
Alfredo Duno,Chrome · Logo Refractor /35,1
Andrew Salas,Base-Paper,14
Andrew Salas,Bowman Axis · Base,39
Andrew Salas,Bowman Axis · Mini Diamond,4
Andrew Salas,Bowman Axis · Gold,2
Andrew Salas,Bowman In Action,12
Andrew Salas,Bowman In Action · Mini Diamond /150,2
Andrew Salas,Bowman In Action · Gold /50,2
Andrew Salas,Bowman In Action · Green /99,2
Andrew Salas,Chrome · Refractor,24
Andrew Salas,Chrome · Base,13
Andrew Salas,Chrome · Purple /250,8
Andrew Salas,Chrome · Sky Blue /499,7
Andrew Salas,Chrome · Fuchsia Reptilian /199,6
Andrew Salas,Chrome · Green /99,4
Andrew Salas,Chrome · Yellow /75,2
Andrew Salas,Chrome · Green /99 · Auto,2
Andrew Salas,Chrome · X-Fractor,2
Anthony Eyanson,Base-Paper,18
Anthony Eyanson,Base-Paper · Black Border,2
Anthony Eyanson,Chrome · Red /5 · Auto,9
Anthony Eyanson,Chrome · Fuchsia Reptilian /199,5
Anthony Eyanson,Chrome · X-Fractor,5
Anthony Eyanson,Chrome · Base,4
Anthony Eyanson,Chrome · Blue /150,4
Anthony Eyanson,Chrome · Yellow /75,3
Anthony Eyanson,Chrome · Orange /25,3
Anthony Eyanson,Chrome · Sky Blue /499 · Auto,2
Anthony Eyanson,Chrome · Red /5,2
Anthony Eyanson,Chrome · Green /99,2
Anthony Eyanson,Chrome · Blue /150 · Auto,2
Anthony Eyanson,Chrome · Auto,2
Anthony Eyanson,Chrome · Refractor,2
Anthony Eyanson,Chrome · Aqua /125 · Auto,2
Anthony Eyanson,Chrome · Mini Diamond /71 · Auto,2
