bdc_rank,player,listing_count
1,Eli Willits,755
2,Xavier Neyens,454
3,Kade Anderson,561
4,Gage Wood,184
5,Max Belyeu,141
6,Aidan West,136
7,Taitn Gray,70
8,JoJo Parker,348
9,Spencer Jones,93
10,Billy Carlson,561
11,Mike Sirota,64
12,Liam Doyle,346
13,Franklin Arias,90
14,J.D. Thompson,69
15,Gavin Fien,323
16,Ike Irish,362
17,Ethan Conrad,202
18,Braden Montgomery,87
19,Roc Riggio,68
20,Steele Hall,368
21,Josiah Hartshorn,111
22,Zach Root,183
23,Riley Quick,126
24,Joswa Lugo,59
25,Seth Hernandez,339
26,Thomas White,63
27,Mason Peters,176
28,Gavin Turley,53
29,Kyson Witherspoon,198
30,Jamie Arnold,352
31,Yandel Ricardo,48
32,Tyson Lewis,64
33,Dante Nori,48
34,Andrew Salas,145
35,Arjun Nimmala,103
36,Tommy Troy,75
37,Tyler Bremner,341
38,Nate Snead,88
39,Eduardo Tait,67
40,Gavin Kilen,335
41,Ryan Waldschmidt,68
42,Jacob Morrison,88
43,George Lombard Jr.,166
44,Landon Harmon,107
45,Walker Janek,67
46,Trevor Cohen,96
47,Colin Yeaman,133
48,Max Clark,84
49,Travis Bazzana,162
50,Easton Carmichael,60
51,AJ Russell,122
52,Pico Kohn,120
53,Dominick Reid,57
54,Marcus Phillips,110
55,Jhonny Level,53
56,Antonio Jimenez,138
57,Matthew Miura,111
58,Ty Harvey,116
59,Kevin McGonigle,272
60,Josue Briceño,16
61,Luke Dickerson,45
62,Justin Lamkin,89
63,Caden Bodine,237
64,Brandon Compton,122
65,Kaeden Kent,118
66,Mason Morris,96
67,Ethan Frey,69
68,Max Williams,123
69,Korbyn Dickerson,65
70,Tate Southisene,228
71,Mitch Voit,269
72,Rainiel Rodriguez,35
73,Tim Piasentin,116
74,James Tibbs III,421
75,Jefferson Rojas,44
76,Michael Salina,70
77,Ryan Mitchell,130
78,JB Middleton,122
79,Riley Kelly,122
80,Cade Obermueller,95
81,Briggs McKenzie,121
82,Joshua Flores,36
83,Gabe Davis,65
84,Kayson Cunningham,340
85,JT Quinn,138
86,Nolan Sailors,57
87,Leo De Vries,149
88,Tommy White,56
89,Patrick Forbes,160
90,Tanner Franklin,119
91,Cody Miller,72
92,Quentin Young,175
93,Landon Hodge,90
94,Ryan Sloan,44
95,Kash Mayfield,59
96,Charles Davalan,147
97,Jake Cook,97
98,Aroon Escobar,56
99,Cameron Maldonado,130
100,Nick Becker,235
101,Griffin Hugus,271
102,Konnor Griffin,355
103,Felnin Celesten,120
104,Sean Youngerman,143
105,Luis Peña,112
106,Matthew Fisher,186
107,Yolfran Castillo,132
108,Murf Gray,79
109,Mason Neville,75
110,Esmerlyn Valdez,47
111,Eduardo Quintero,115
112,Gustavo Melendez,97
113,Nate George,35
114,Dean Moss,144
115,Elian Peña,36
116,Anthony Eyanson,72
117,Mason McConnaughey,50
118,Michael Lombardi,95
119,Josh Owens,93
120,Kaelen Culpepper,54
121,Theo Gillen,79
122,Cam Caminiti,78
123,Luke Lacourse,49
124,Conor Essenburg,79
125,Joshua Kuroda-Grauer,66
126,Adonys Guzman,148
127,Christian Foutch,76
128,Jake Munroe,102
129,Dean Curley,134
130,Cameron Nelson,128
131,Kaleb Wing,61
132,Carlos Lagrange,58
133,Alfredo Duno,49
134,Aaron Walton,126
135,Devin Taylor,157
136,Charlie Condon,163
137,Travis Sykora,79
138,Carson Benge,111
139,Dakota Jordan,47
140,Cody Bowker,21
141,Ben Jacobs,51
142,Chase Shores,67
143,Brody Brecht,66
144,Kyle Lodise,106
145,JJ Wetherholt,179
146,Dax Kilby,312
147,Jared Thomas,54
148,Ethan Hedges,143
149,Sean Episcope,72
150,Jack Gurevitch,132
151,Ethan Petry,101
152,Slade Caldwell,64
153,Johnny Slawinski,80
154,Matt Barr,44
155,Bryce Cunningham,61
156,Michael Oliveto,150
157,Cooper Pratt,67
158,Landyn Vidourek,92
159,Walker Jenkins,123
160,Blake Mitchell,50
161,JD Dix,46
162,Jordan Yost,192
163,Jonny Farmelo,323
164,James Ellwanger,65
165,Ching-Hsien Ko,63
166,Cooper Flemming,115
167,Hagen Smith,58
168,Thayron Liranzo,51
169,Sebastian Walcott,84
170,Brian Curley,39
171,Grant Richardson,65
172,Malachi Witherspoon,94
173,Jaxon Wiggins,32
174,Shotaro Morii,195
175,Dean Livingston,105
176,Cameron Millar,89
177,Yohandy Morales,66
178,Sean Gamble,133
179,Peter Kussow,106
180,Aidan Miller,50
181,Miguel Sime Jr.,133
182,Josuar Gonzalez,140
183,Cade Crossland,70
184,Caleb Bonemer,87
185,Josh Hammond,195
186,Joseph Dzierwa,72
187,Sammy Stafura,53
188,Jacob Reimer,44
189,Dominic Fritton,87
190,Ryan Wideman,57
191,Malcolm Moore,79
192,Nolan Schubart,108
193,Aaron Watson,97
194,Brady Ebel,285
195,Caleb Leys,26
196,Jesús Made,100
197,CJ Gray,57
198,Enrique Bradfield Jr.,68
199,JR Ritchie,32
200,Kane Kepley,81
,(unknown player),28
,Caden Bodine/Ike Irish,8
,Josue De Paula,3
,Malachi Witherspoon/Kyson Witherspoon,4
,Zyhir Hope,1
