player,price,card_type,title
,7,Chrome · Refractor,Charles Davalon Refractor
,7,Chrome · Refractor,Charles Davalon Refractor
,7,Chrome · Refractor,Charles Davalon Refractor
,7,Chrome · Refractor,Charles Davalon Refractor
,8,Chrome · Base,2025 TOPPS XAVIER NEVENS 1ST #BDC-2
,8,Chrome · Base,2025 TOPPS XAVIER NEVENS 1ST #BDC-2
,9,Chrome · Sky Blue /499,Light Blue RC 355/499 - Phillies 1st Rounder
,9,Chrome · Sky Blue /499,Light Blue RC 355/499 - Phillies 1st Rounder
,13,Chrome · Auto,1st Bowman Chrome Auto
,15,Chrome · Auto,1st Bowman Chrome Auto
,18,Chrome · Auto,1st Bowman Chrome Auto
,18,Chrome · Purple /250,Enrique Bradford Jr Chrome Purple /250 BCD-198
,18,Chrome · Purple /250,Enrique Bradford Jr Chrome Purple /250 BCD-198
,18,Chrome · Blue /150,Felnin Celestin #BDC-103 TRUE BLUE Refractor /150 - Mariners
,18,Chrome · Blue /150,Felnin Celestin #BDC-103 TRUE BLUE Refractor /150 - Mariners
,18,Chrome · Blue /150,Felnin Celestin #BDC-103 TRUE BLUE Refractor /150 - Mariners
,20,Chrome · Sky Blue /499,Mitch Vogt BD-71 Blue Border /499 New York Mets
,20,Chrome · Sky Blue /499,Mitch Vogt BD-71 Blue Border /499 New York Mets
,35,Chrome · Auto,1st Bowman Chrome Auto
,55,Chrome · Gold /50,Jake Monroe True Gold 37/50 Angels #BDC-128
,60,Chrome · Auto,1st Bowman Chrome Auto
,100,Chrome · Auto,1st Bowman Chrome Auto
,175,Chrome · Auto,#CPA-LD Liam Doyal - 1st Bowman Autograph Cardinals!
,225,Chrome · Yellow /75 · Auto,Bowman 1st Nolan Schubert Auto /75 CPA-NS
,225,Chrome · Yellow /75 · Auto,Bowman 1st Nolan Schubert Auto /75 CPA-NS
,226,Chrome · Auto,#CPA-LD Liam Doyal - 1st Bowman Autograph Cardinals!
,226,Chrome · Auto,#CPA-LD Liam Doyal - 1st Bowman Autograph Cardinals!
,250,Chrome · Purple /250 · Auto,of Jake Monroe 1st Bowman auto numbered 138/250 on card auto
