card_type,n,with_serial,pct_with_serial
Chrome · Refractor,834,0,0.00
Chrome,373,0,0.00
Chrome · Auto,334,0,0.00
Prized Prospects,143,0,0.00
Bowman Axis,127,0,0.00
Chrome · X-Fractor,96,1,1.04
Chrome · Sky Blue,95,6,6.32
Chrome · Blue,77,53,68.83
Chrome · Green,69,69,100.00
Chrome · Purple,60,59,98.33
Bowman Draft Night,58,0,0.00
Bowman In Action,55,0,0.00
Chrome · Yellow,51,51,100.00
Chrome · Fuchsia Reptilian /199,49,49,100.00
Chrome · Sky Blue · Auto,47,47,100.00
Chrome · Sky Blue /499 · Auto,43,43,100.00
Chrome · Green /99 · Auto,39,39,100.00
Chrome · Aqua /125,37,35,94.59
Etched in Glass,35,0,0.00
Chrome · Purple · Auto,34,33,97.06
Chrome · Sapphire,32,8,25.00
Chrome · Steel Metal /100,30,30,100.00
Chrome · Aqua /125 · Auto,28,28,100.00
Chrome · Blue /150 · Auto,27,27,100.00
Image Variations,25,0,0.00
Chrome · Blue · Auto,24,24,100.00
Chrome · Purple /250 · Auto,22,22,100.00
Chrome · Gold,21,21,100.00
Chrome · Aqua,20,20,100.00
Chrome · Green · Auto,18,18,100.00
Final Draft,16,0,0.00
Chrome · Logo Refractor /35,15,15,100.00
Chrome · Sparkle,15,0,0.00
Chrome · Aqua Reptilian,13,13,100.00
Prized Prospects /250,11,11,100.00
Bowman Spotlight,10,0,0.00
Chrome · Speckle Refractor,10,0,0.00
Chrome · Yellow · Auto,10,9,90.00
Chrome · Gold /50 · Auto,9,9,100.00
Bowman Draft Night · Gold /50,8,8,100.00
Chrome · Orange,8,8,100.00
Chrome · Sparkle · Auto,8,8,100.00
Chrome · Gold · Auto,7,6,85.71
Chrome · Yellow /75 · Auto,7,7,100.00
Chrome · Orange · Auto,6,6,100.00
Bowman In Action · Gold /50,5,5,100.00
Bowman In Action · Orange /25,5,5,100.00
Chrome · Mini Diamond,5,1,20.00
Chrome · Orange /25 · Auto,5,5,100.00
Chrome · Red,5,5,100.00
Chrome · Red /5 · Auto,5,5,100.00
Chrome · Red · Auto,5,5,100.00
Chrome · Speckle Refractor · Auto,5,5,100.00
Bowman Axis /250,4,4,100.00
Bowman Axis · Gold /50,4,4,100.00
Bowman Axis · Orange /25,4,4,100.00
Bowman Draft Night /250,4,4,100.00
Prized Prospects · Gold /50,4,4,100.00
Prized Prospects · Green /99,4,4,100.00
Prized Prospects · Mini Diamond /150,4,4,100.00
Prized Prospects · Orange /25,4,4,100.00
Base-Paper · Black Border,3,3,100.00
Bowman Axis · Mini Diamond /150,3,3,100.00
Bowman Draft Night · Green /99,3,3,100.00
Bowman Draft Night · Mini Diamond /150,3,3,100.00
Bowman In Action /75 · Auto,3,3,100.00
Bowman In Action · Blue /150,3,3,100.00
Bowman In Action · Green /99,3,2,66.67
Bowman In Action · Mini Diamond /150,3,3,100.00
Chrome · Black /73 · Auto,3,3,100.00
Chrome · Sky Blue /499,3,2,66.67
Chrome · X-Fractor · Auto,3,3,100.00
Crystallized,3,0,0.00
Image Variations · Green · Auto,3,3,100.00
Prized Prospects /99 · Auto,3,3,100.00
Bowman Axis · Speckle /150,2,2,100.00
Bowman Draft Night /99 · Auto,2,2,100.00
Bowman Draft Night · Gold /50 · Mini Diamond · Auto,2,2,100.00
Bowman In Action /150,2,2,100.00
Chrome Prospect College Variations,2,0,0.00
Chrome · Black,2,2,100.00
Chrome · Black · Auto,2,2,100.00
Chrome · Green /99,2,2,100.00
Chrome · Magenta Printing Plate,2,2,100.00
Chrome · True Black /10,2,2,100.00
Crystallized · Gold /50,2,2,100.00
Crystallized · Orange /25,2,2,100.00
Image Variations · Auto,2,2,100.00
Prized Prospects /199,2,2,100.00
Bowman Axis /99,1,1,100.00
Bowman Axis · Green /99,1,1,100.00
Bowman Axis · Red /5,1,1,100.00
Bowman Draft Night /99,1,1,100.00
Bowman Draft Night · Orange /25 · Auto,1,1,100.00
Bowman Draft Night · Purple /250,1,1,100.00
Bowman In Action /199,1,1,100.00
Bowman In Action /99,1,1,100.00
Bowman In Action /99 · Auto,1,1,100.00
Bowman In Action · Purple /250,1,1,100.00
Bowman In Action · Red /5,1,1,100.00
Bowman Spotlight · Red /5,1,1,100.00
Chrome Prospect College Variations · Red /5,1,1,100.00
Chrome · Blue /150,1,1,100.00
Chrome · Fuchsia Reptilian /199 · Auto,1,1,100.00
Chrome · Gold /50,1,1,100.00
Chrome · Printing Plate /1 · Auto,1,1,100.00
Chrome · Refractor · Auto,1,0,0.00
Chrome · Speckle /71 · Auto,1,1,100.00
Chrome · Superfractor · Auto,1,1,100.00
Chrome · True Black /10 · Auto,1,1,100.00
Crystallized · Red /5,1,1,100.00
Image Variations · Purple · Auto,1,1,100.00
Prized Prospects · Auto,1,0,0.00
Prized Prospects · Blue /150,1,1,100.00
Prized Prospects · Purple /250,1,1,100.00
Prized Prospects · Red /5,1,1,100.00
