player,card_type,listing_count
(unknown player),Base-Paper,1
(unknown player),Chrome · Blue /150,1
(unknown player),Chrome · Auto,1
(unknown player),Chrome · Refractor,1
Anthony Eyanson,Chrome · Orange /25,1
Arjun Nimmala,Bowman Axis · Base,1
Aroon Escobar,Base-Paper,4
Aroon Escobar,Chrome · Refractor,11
Aroon Escobar,Chrome · Base,3
Aroon Escobar,Chrome · Sky Blue /499,2
Aroon Escobar,Chrome · Purple /250,2
Aroon Escobar,Chrome · Steel Metal /100,2
Aroon Escobar,Chrome · Sparkle,1
Aroon Escobar,Chrome · Green /99,1
Aroon Escobar,Chrome · X-Fractor,1
Aroon Escobar,Chrome · Logo Refractor /35,1
Billy Carlson,Base-Paper,13
Billy Carlson,Bowman Axis · Base,11
Billy Carlson,Bowman In Action,18
Billy Carlson,Bowman In Action · Orange /25,2
Billy Carlson,Bowman In Action · Red /5,1
Billy Carlson,Bowman In Action · Gold /50,1
Billy Carlson,Bowman In Action /75 · Auto,2
Billy Carlson,Bowman Spotlight,3
Billy Carlson,Chrome · Refractor,29
Billy Carlson,Chrome · Auto,15
Billy Carlson,Chrome · Base,12
Billy Carlson,Chrome · Sky Blue /499,6
Billy Carlson,Chrome · Sky Blue /499 · Auto,5
Billy Carlson,Chrome · Purple /250 · Auto,4
Billy Carlson,Chrome · Fuchsia Reptilian /199,3
Billy Carlson,Chrome · X-Fractor,3
Billy Carlson,Chrome · Green /99 · Auto,3
Billy Carlson,Chrome · Blue /150,3
Billy Carlson,Chrome · Orange /25,2
Billy Carlson,Chrome · Steel Metal /100,2
Billy Carlson,Chrome · Green /99,2
Billy Carlson,Chrome · Blue /150 · Auto,2
Billy Carlson,Chrome · Gold /50 · Auto,2
Billy Carlson,Chrome · Speckle Refractor,2
Billy Carlson,Chrome · Aqua /125,1
Billy Carlson,Chrome · Sparkle · Auto,1
Billy Carlson,Chrome · Logo Refractor /35,1
Billy Carlson,Chrome · Purple /250,1
Billy Carlson,Chrome · Aqua /125 · Auto,1
Billy Carlson,Chrome · Aqua Reptilian,1
Billy Carlson,Chrome · Orange /25 · Auto,1
Billy Carlson,Chrome · Yellow /75 · Auto,1
Billy Carlson,Chrome · Gold /50,1
Billy Carlson,Crystallized,1
Billy Carlson,Etched in Glass,4
Billy Carlson,Final Draft,4
Billy Carlson,Image Variations,2
Billy Carlson,Image Variations · Green · Auto,1
Billy Carlson,Prized Prospects,15
Billy Carlson,Prized Prospects · Green /99,2
Billy Carlson,Prized Prospects · Gold /50,1
Billy Carlson,Prized Prospects · Auto,1
Billy Carlson,Prized Prospects /250,1
Billy Carlson,Prized Prospects /99 · Auto,1
Blake Mitchell,Chrome · Mini Diamond,1
Brady Ebel,Prized Prospects,1
Briggs McKenzie,Base-Paper,5
Briggs McKenzie,Chrome · Auto,12
Briggs McKenzie,Chrome · Refractor,9
Briggs McKenzie,Chrome · Sky Blue /499 · Auto,5
Briggs McKenzie,Chrome · Base,5
Briggs McKenzie,Chrome · Green /99,4
Briggs McKenzie,Chrome · Purple /250 · Auto,4
Briggs McKenzie,Chrome · Green /99 · Auto,3
Briggs McKenzie,Chrome · Fuchsia Reptilian /199 · Auto,2
Briggs McKenzie,Chrome · Sky Blue /499,2
Briggs McKenzie,Chrome · X-Fractor,2
Briggs McKenzie,Chrome · Fuchsia Reptilian /199,1
Briggs McKenzie,Chrome · Aqua /125,1
Briggs McKenzie,Chrome · Orange /25 · Auto,1
Briggs McKenzie,Chrome · Purple /250,1
Briggs McKenzie,Chrome · Blue /150 · Auto,1
Briggs McKenzie,Chrome · Blue /150,1
Briggs McKenzie,Chrome · Logo Refractor /35,1
Briggs McKenzie,Chrome · Yellow /75 · Auto,1
Briggs McKenzie,Snack-Pack,2
Bryce Cunningham,Chrome · Base,1
Cade Obermueller,Base-Paper,7
Cade Obermueller,Chrome · Refractor,12
Cade Obermueller,Chrome · Auto,6
Cade Obermueller,Chrome · Base,5
Cade Obermueller,Chrome · Sky Blue /499,5
Cade Obermueller,Chrome · Gold /50,2
Cade Obermueller,Chrome · Sky Blue /499 · Auto,2
Cade Obermueller,Chrome · Orange /25 · Auto,1
Cade Obermueller,Chrome · Blue /150,1
Cade Obermueller,Chrome · Aqua /125,1
Cade Obermueller,Chrome · X-Fractor,1
Cade Obermueller,Chrome · X-Fractor · Auto,1
Cade Obermueller,Chrome · Yellow /75 · Auto,1
Cade Obermueller,Chrome · Green /99 · Auto,1
Cade Obermueller,Chrome · Yellow /75,1
Cade Obermueller,Snack-Pack,1
Caleb Bonemer,Base-Paper,1
Cameron Maldonado,Base-Paper,7
Cameron Maldonado,Chrome · Refractor,13
Cameron Maldonado,Chrome · Auto,11
Cameron Maldonado,Chrome · Aqua /125 · Auto,4
Cameron Maldonado,Chrome · Sky Blue /499 · Auto,3
Cameron Maldonado,Chrome · Aqua /125,3
Cameron Maldonado,Chrome · Sky Blue /499,3
Cameron Maldonado,Chrome · Purple /250,2
Cameron Maldonado,Chrome · Base,2
Cameron Maldonado,Chrome · Gold /50,2
Cameron Maldonado,Chrome · X-Fractor,2
Cameron Maldonado,Chrome · Blue /150 · Auto,2
Cameron Maldonado,Chrome · Yellow /75,2
Cameron Maldonado,Chrome · Fuchsia Reptilian /199,2
Cameron Maldonado,Chrome · Purple /250 · Auto,2
Cameron Maldonado,Chrome · Black /73 · Auto,1
Cameron Maldonado,Chrome · Green /99 · Auto,1
Cameron Maldonado,Chrome · Green /99,1
Cameron Maldonado,Chrome · Speckle Refractor · Auto,1
Cameron Maldonado,Chrome · Red /5 · Auto,1
Cameron Maldonado,Chrome · Gold /50 · Auto,1
Cameron Maldonado,Chrome · Blue /150,1
Cameron Maldonado,Chrome · Aqua Reptilian,1
Cameron Maldonado,Snack-Pack,1
Charles Davalan,Base-Paper,11
Charles Davalan,Chrome · Auto,15
Charles Davalan,Chrome · Refractor,7
Charles Davalan,Chrome · Base,7
Charles Davalan,Chrome · Aqua /125,5
Charles Davalan,Chrome · Sky Blue /499,5
Charles Davalan,Chrome · Green /99,5
Charles Davalan,Chrome · Blue /150 · Auto,3
Charles Davalan,Chrome · Aqua /125 · Auto,3
Charles Davalan,Chrome · Fuchsia Reptilian /199,2
Charles Davalan,Chrome · Steel Metal /100,1
Charles Davalan,Chrome · Purple /250 · Auto,1
Charles Davalan,Chrome · Yellow /75 · Auto,1
Charles Davalan,Chrome · Parallel · Auto,1
Charles Davalan,Chrome · Gold /50 · Auto,1
Charles Davalan,Chrome · X-Fractor,1
Charles Davalan,Chrome · Orange /25 · Auto,1
Charles Davalan,Chrome · Sky Blue /499 · Auto,1
Charles Davalan,Chrome Prospect College Variations · Red /5,1
Charles Davalan,Chrome Prospect College Variations,1
Charles Davalan,Etched in Glass,3
Charles Davalan,Snack-Pack,2
Cody Miller,Base-Paper,8
Cody Miller,Chrome · Auto,10
Cody Miller,Chrome · Base,6
Cody Miller,Chrome · Sky Blue /499,2
Cody Miller,Chrome · Refractor,2
Cody Miller,Chrome · Parallel · Auto,1
Cody Miller,Chrome · Blue /150 · Auto,1
Cody Miller,Chrome · Red /5,1
Cody Miller,Chrome · Sky Blue /499 · Auto,1
Cody Miller,Chrome · Yellow /75,1
Cody Miller,Chrome · Aqua /125,1
Cody Miller,Chrome · Yellow /75 · Auto,1
Cody Miller,Chrome · Green /99 · Auto,1
Cody Miller,Chrome · Parallel,1
Cody Miller,Chrome · Steel Metal /100,1
Cody Miller,Snack-Pack,2
Colin Yeaman,Chrome · Auto,1
Dean Livingston,Chrome · Blue /150 · Auto,2
Devin Taylor,Chrome · Auto,13
Devin Taylor,Chrome · Blue /150 · Auto,2
Devin Taylor,Chrome · Sky Blue /499 · Auto,1
Devin Taylor,Chrome · Parallel · Auto,1
Eduardo Quintero,Chrome · Base,1
Eli Willits,Base-Paper,30
Eli Willits,Bowman Axis · Base,4
Eli Willits,Bowman Axis · Orange,2
Eli Willits,Bowman Draft Night,18
Eli Willits,Bowman Draft Night · Gold /50,7
Eli Willits,Bowman Draft Night · Mini Diamond /150,3
Eli Willits,Bowman Draft Night · Gold /50 · Mini Diamond · Auto,2
Eli Willits,Bowman Draft Night /99 · Auto,1
Eli Willits,Bowman In Action,12
Eli Willits,Bowman In Action · Gold /50,1
Eli Willits,Bowman In Action /75 · Auto,1
Eli Willits,Bowman Spotlight,3
