bdc_rank,player,listing_count
1,Eli Willits,386
2,Xavier Neyens,164
3,Kade Anderson,184
4,Gage Wood,1
8,JoJo Parker,177
9,Spencer Jones,46
10,Billy Carlson,188
12,Liam Doyle,25
15,Gavin Fien,10
16,Ike Irish,4
17,Ethan Conrad,17
20,Steele Hall,3
22,Zach Root,49
25,Seth Hernandez,1
27,Mason Peters,121
30,Jamie Arnold,1
35,Arjun Nimmala,1
40,Gavin Kilen,3
46,Trevor Cohen,2
47,Colin Yeaman,1
69,Korbyn Dickerson,2
73,Tim Piasentin,3
74,James Tibbs III,161
75,Jefferson Rojas,23
76,Michael Salina,35
77,Ryan Mitchell,69
78,JB Middleton,65
79,Riley Kelly,61
80,Cade Obermueller,48
81,Briggs McKenzie,63
82,Joshua Flores,19
83,Gabe Davis,35
84,Kayson Cunningham,175
85,JT Quinn,73
86,Nolan Sailors,27
87,Leo De Vries,83
88,Tommy White,31
89,Patrick Forbes,86
90,Tanner Franklin,66
91,Cody Miller,40
92,Quentin Young,95
93,Landon Hodge,46
94,Ryan Sloan,26
95,Kash Mayfield,31
96,Charles Davalan,78
97,Jake Cook,49
98,Aroon Escobar,28
99,Cameron Maldonado,69
100,Nick Becker,147
101,Griffin Hugus,146
102,Konnor Griffin,155
103,Felnin Celesten,67
104,Sean Youngerman,78
105,Luis Peña,65
106,Matthew Fisher,123
107,Yolfran Castillo,78
108,Murf Gray,1
111,Eduardo Quintero,1
116,Anthony Eyanson,1
135,Devin Taylor,17
148,Ethan Hedges,1
153,Johnny Slawinski,1
154,Matt Barr,2
155,Bryce Cunningham,1
160,Blake Mitchell,1
161,JD Dix,1
162,Jordan Yost,17
163,Jonny Farmelo,283
174,Shotaro Morii,1
175,Dean Livingston,2
178,Sean Gamble,1
181,Miguel Sime Jr.,16
184,Caleb Bonemer,1
194,Brady Ebel,1
196,Jesús Made,14
,(unknown player),4
,Josue De Paula,7
,Zyhir Hope,1
