player,price,card_type,title
Eli Willits,5,BDC Chrome Prospect · Refractor,#BDC-1 Eli Willits Chrome Mojo Refractor
Eli Willits,6,BDC Chrome Prospect · Refractor,Chrome Eli Willits #BDC-1 Refractor (RC)
Eli Willits,6,BDC Chrome Prospect · Refractor,Eli Willits 1st Mojo Refractor RC (B)
Eli Willits,6,BDC Chrome Prospect · Refractor,#BDC-1 Eli Willits Chrome Mojo Refractor
Eli Willits,7,BDC Chrome Prospect · Refractor,Eli Willits 1st Bowman Mojo Refractor Nationals
Eli Willits,7,BDC Chrome Prospect · Refractor,Chrome Eli Willits #BDC-1 Mojo Refractor (RC)
Eli Willits,7,BDC Chrome Prospect · Refractor,Chrome Eli Willits #BDC-1 Mojo Refractor (RC)
Eli Willits,7,BDC Chrome Prospect · Refractor,Mojo Refractor #BDC-1 Eli Willits Washington Nationals
Eli Willits,8,BDC Chrome Prospect · Refractor,Eli Willits Mega Box 1st Bowman Mojo Refractor BDC-1 c-55
Eli Willits,8,BDC Chrome Prospect · Refractor,Eli Willits 2025 Bowman Chrome 1st MOJO Refractor Nationals
Eli Willits,8,BDC Chrome Prospect · Refractor,#BDC-1 Eli Willits Chrome Mojo Refractor 1st Rookie
Eli Willits,8,BDC Chrome Prospect · Refractor,Chrome Eli Willits #BDC-1 Refractor (RC)
Eli Willits,8,BDC Chrome Prospect · Refractor,Eli Willits Mega Box 1st Mojo Refractor #BDC-1 Nationals
Eli Willits,8,BDC Chrome Prospect · Refractor,Eli Willits 1st Bowman Refractor
Eli Willits,8,BDC Chrome Prospect · Refractor,Chrome Eli Willits #BDC-1 mojo Refractor (RC)
Eli Willits,9,BDC Chrome Prospect · Refractor,ELI WILLITS 1st Bowman Chrome Refractor #BDC-1 - Nationals
Eli Willits,10,BDC Chrome Prospect · Refractor,Chrome Eli Willits #BDC-1 Refractor (RC)
Eli Willits,10,BDC Chrome Prospect · Refractor,#BDC-1 Eli Willits Chrome Refractor
Eli Willits,10,BDC Chrome Prospect · Refractor,#BDC-1 Eli Willits Chrome Refractor
Eli Willits,10,BDC Chrome Prospect · Refractor,Chrome Eli Willits #BDC-1 Laser Refractor - (RC)
Eli Willits,10,BDC Chrome Prospect · Refractor,2025 1st Chrome Mega Mojo Refractor Eli Willits BDC-1 Nationals
Eli Willits,10,BDC Chrome Prospect · Refractor,1st Bowman Eli Willits #BDC-1 Refractor *OFF CENTERED*
Eli Willits,11,BDC Chrome Prospect · Refractor,#BDC-1 Eli Willits Chrome Laser Refractor
Eli Willits,11,BDC Chrome Prospect · Refractor,#BDC-1 Eli Willits 1st Chrome Refractor Washington Nationals
Eli Willits,12,BDC Chrome Prospect · Refractor,Chrome Eli Willits #BDC-1 Laser Refractor - (RC)
Eli Willits,12,BDC Chrome Prospect · Refractor,Eli Willits Chrome Refractor Washington Nationals #BDC-1
Eli Willits,12,BDC Chrome Prospect · Refractor,Eli Willits Chrome Refractor #BDC-1 Nationals
Eli Willits,15,BDC Chrome Prospect · Refractor,ELI WILLITS RC REFRACTOR SP NATIONALS 1ST
Eli Willits,15,BDC Chrome Prospect · Refractor,Chrome Eli Willits #BDC-1 Refractor (RC)
Eli Willits,15,BDC Chrome Prospect · Refractor,Eli Willits Chrome Refractor 1st Prospect #BDC-1 Nationals
Eli Willits,15,BDC Chrome Prospect · Parallel,Eli Willits #BD-1 Sky Blue /499 (RC)
Eli Willits,15,BDC Chrome Prospect · Refractor,Eli Willits 1st Chrome Prospect Mega Box Lazer Refractor Nats
Eli Willits,15,BDC Chrome Prospect · Refractor,ELI WILLITS 1st Chrome Refractor #BDC-1 Nationals Prospect
Eli Willits,16,BDC Chrome Prospect · Refractor,Eli Willits 1st Chrome Prospect Mega Box Mojo Refractor
Eli Willits,17,BDC Chrome Prospect · Refractor,Eli Willits 2025 Bowman’s Best RC Mini Diamond Refractor /299 Nationals
Eli Willits,17,BDC Chrome Prospect · Refractor,Eli Willits 1st Bowman Refractor #BDC-1 Washington Nats
Eli Willits,17,BDC Chrome Prospect · Refractor,Eli Willits 1st Bowman Refractor #BDC-1 Washington Nats
Eli Willits,18,BDC Chrome Prospect · Refractor,Eli Willits 1st Bowman Refractor #BDC-1 Washington Nats
Eli Willits,19,BDC Chrome Prospect · Parallel,Bowman 2025 Draft Sky Blue /499 Rookie Eli Willits BD-1 Washington Nationals
Eli Willits,19,BDC Chrome Prospect · Refractor,Eli Willits Chrome Refractor 1st Bowman
Eli Willits,20,BDC Chrome Prospect · Refractor,Mojo Refractor Eli Willits #BDC-1 Nationals
Eli Willits,20,BDC Chrome Prospect · Refractor,Eli 1st Eli Willits #BDC-1 Refractor Wash Nationals
Eli Willits,20,BDC Chrome Prospect · Refractor,2025 Eli Willits Chrome 1st Bowman Refractor #BDC-1
Eli Willits,20,BDC Chrome Prospect · Refractor,Eli Willits 1st Bowman Refractor #BDC-1
Eli Willits,20,BDC Chrome Prospect · Refractor,Refractor Eli Willits Washington Nationals BDC-1 # Will 1 MLB
Eli Willits,20,BDC Chrome Prospect · Parallel,Baseball Eli Willits Sky Blue 1st Paper /499
Eli Willits,20,BDC Chrome Prospect · Refractor,Eli Willits 1st Bowman Refractor BDC-1 1st overall pick
Eli Willits,20,BDC Chrome Prospect · Refractor,Eli Willits REFRACTOR BDC-1 Nationals
Eli Willits,20,BDC Chrome Prospect · Refractor,Eli Willits 1st Bowman Refractor
Eli Willits,20,BDC Chrome Prospect · Refractor,Eli Willits #BDC-1 Refractor (RC)
Eli Willits,20,BDC Chrome Prospect · Refractor,Eli Willits 1st Bowman Refractor Washington Nationals
Eli Willits,23,BDC Chrome Prospect · Refractor,Eli Willits Refractor #BDC-1
Eli Willits,23,BDC Chrome Prospect · Refractor,2025 Eli Willits Chrome 1st Bowman Refractor #BDC-1
Eli Willits,23,BDC Chrome Prospect · Parallel,Baseball Eli Willits Sky Blue 1st Paper /499 Nationals
Eli Willits,25,BDC Chrome Prospect · Refractor,1st Eli Willits Refractor #BDC-1
Eli Willits,25,BDC Chrome Prospect · Refractor,Eli Willits Chrome Refractor 1st Prospect #BDC-1 Nationals
Eli Willits,25,BDC Chrome Prospect · Refractor,Baseball Eli Willits 1st Refractor
Eli Willits,45,BDC Chrome Prospect · Parallel,Eli Willits Green Reptilian /99
Eli Willits,50,BDC Chrome Prospect · Parallel,ELI WILLITS BD-1 BLUE BORDER 026/150 RC WASHINGTON NATIONALS
Eli Willits,55,BDC Chrome Prospect · Refractor,#BDC-1 Eli Willits Chrome Mojo Refractor SP Variation 1st RC
Eli Willits,60,BDC Chrome Prospect · Parallel,Eli Willits 1st Chrome Aqua Geometric /125
Eli Willits,66,BDC Chrome Prospect · Parallel,Eli Willits Aqua Wave 1st Bowman /125!🔥Nationals
Eli Willits,80,BDC Chrome Prospect · Parallel,Eli Willits Aqua Reptilian /125 1st Nationals
Eli Willits,85,BDC Chrome Prospect · Refractor,Eli Willits 1st Blue Mega Box Refractor /150 Nationals
Eli Willits,90,BDC Chrome Prospect · Refractor,ELI WILLITS - SP Chrome 1st Speckle Refractor Nationals 🔥
Eli Willits,90,BDC Chrome Prospect · Parallel,Eli Willits 1st Bowman Green Geometric /99 🔥🔥🔥
Eli Willits,100,BDC Chrome Prospect · Parallel,Eli Willits Aqua Wave 1st Bowman /125!🔥Nationals
Eli Willits,153,BDC Chrome Prospect · Auto,#CPA-EW Eli Willits Chrome Prospect Autographs
Eli Willits,165,BDC Chrome Prospect · Auto,"Chrome Prospect Autographs Eli Willits #CPA-EW (AU, RC)"
Eli Willits,175,BDC Chrome Prospect · Auto,Eli Willits Chrome Auto 1st Prospect #CPA-EW Nationals
Eli Willits,180,BDC Chrome Prospect · Auto,Eli Willits Chrome Auto 1st Prospect #CPA-EW Nationals
Eli Willits,190,BDC Chrome Prospect · Auto,"Chrome Prospect Autographs Eli Willits #CPA-EW (AU, RC)"
Eli Willits,195,BDC Chrome Prospect · Auto,#CPA-EW Eli Willits Chrome Auto
Eli Willits,200,BDC Chrome Prospect · Auto,"Eli Willits: , Chrome Prospects, 1st Bowman Autograph / #CPA-EW"
Eli Willits,200,BDC Chrome Prospect · Auto,Eli Willits Chrome Auto 1st #CPA-EW Nationals
Eli Willits,202,BDC Chrome Prospect · Parallel,Sapphire Eli Willits Selections Gold Ref #SS-8 50/50 Bookend
Eli Willits,215,BDC Chrome Prospect · Auto,#CPA-EW Eli Willits Chrome Prospect Autographs
Eli Willits,225,BDC Chrome Prospect · Auto,ELI WILLITS #CPA-EW 1st Bowman Auto - Nationals 🔥🔥🔥
Eli Willits,225,BDC Chrome Prospect · Auto,Eli Willits Chrome Auto 1st #CPA-EW Nationals
Eli Willits,249,BDC Chrome Prospect · Auto,Eli Willits Chrome Auto 1st Prospect #CPA-EW Nationals
Eli Willits,250,BDC Chrome Prospect · Auto,Eli Willits Prospect 1st Bowman Auto Nationals #CPA-EW
Eli Willits,250,BDC Chrome Prospect · Auto,#CPA-EW Eli Willits Chrome Prospect 1st Autographs
Eli Willits,269,BDC Chrome Prospect · Auto,#CPA-EW Eli Willits Chrome Prospect Autographs
Eli Willits,275,BDC Chrome Prospect · Auto,Eli Willits 1st Chrome Refractor Auto/499 #CPA-EW SEE DETAIL
Eli Willits,280,BDC Chrome Prospect · Auto,Eli Willits 1st Chrome Refractor AUTO /499 #CPA-EW Nationals
Eli Willits,300,BDC Chrome Prospect · Auto,Eli Willits Auto CPA-EW Nationals 1st First round Overall
Eli Willits,300,BDC Chrome Prospect · Auto,#CPA-EW Eli Willits 1st Bowman REFRACTOR AUTOGRAPH 310/499
Eli Willits,300,BDC Chrome Prospect · Auto,2025 Topps Eli Willits 1st Bowman Autograph CPA-EW
Eli Willits,350,BDC Chrome Prospect · Parallel,Baseball Eli Willits Gold 1st Paper /50 #1 Pick
Eli Willits,420,BDC Chrome Prospect · Auto,Prospect Auto 1st Bowman Eli Willits Refractor /499
Eli Willits,430,BDC Chrome Prospect · Parallel,1st Eli Willits Gold 05/50 #BD-1 Washington Nationals
Eli Willits,480,BDC Chrome Prospect · Auto,Eli Willits AUTO 1st Bowman Chrome #CPA-EW
Eli Willits,499,BDC Chrome Prospect · Auto,Eli Willits 1st Auto #CPA-EW Refractor /499
Eli Willits,500,BDC Chrome Prospect · Green /99 · Auto,Sapphire ELI WILLITS CPA-EW 1st GREEN Autograph /99 Nationals
Eli Willits,575,BDC Chrome Prospect · Green /99 · Auto,#CPA-EW Eli Willits Green Lava Auto /99
Eli Willits,600,BDC Chrome Prospect · Auto,Eli Willits #CPA-EW Refractor Auto /499
Eli Willits,625,BDC Chrome Prospect · Auto,Chrome Prospect Autographs Eli Willits #CPA-EW Refractor...
Eli Willits,1000,BDC Chrome Prospect · Green /99 · Auto,Eli Willits 1st Chrome Green Refractor Auto 01/99 #CPA-EW
Eli Willits,1000,BDC Chrome Prospect · Green /99 · Auto,Eli Willits 1st Chrome Green Refractor Auto 01/99 #CPA-EW
