player,price,card_type,title
Eli Willits,1,Base-Paper,1st Prospect Paper Base Eli Willits Washington Nationals
Eli Willits,1,Base-Paper,Eli Willits 1st Bowman Paper #BD-1 Washington Nationals
Eli Willits,1,Axis Plain,#A-1 Eli Willits Axis Insert Washington Nationals
Eli Willits,1,Draft Night,#BDN-1 Eli Willits Night Insert Nationals
Eli Willits,1,Draft Night,Night Eli Willits Nationals
Eli Willits,2,Prized Prospect,#PP-1 Eli Willits Prized Prospects
Eli Willits,2,Base-Paper,Eli Willits 2025 1st Washington Nationals
Eli Willits,2,Pick / set builder,12% off⚾(pick) Washington Nationals (Eli Willits)🔴🔵
Eli Willits,2,Prized Prospect,#PP-1 Eli Willits Prized Prospects
Eli Willits,2,Base-Paper,ELI WILLITS NATIONALS RC 1st card #BD-1
Eli Willits,2,Base-Paper,#BD-1 Eli Willits
Eli Willits,2,Base-Paper,#BD-1 Eli Willits Washington Nationals Baseball 1st
Eli Willits,2,Axis Plain,Eli Willits AXIS Insert Nationals
Eli Willits,2,Draft Night,Eli Willits Night #BDN-1
Eli Willits,2,Chrome Base,Paper 1st. Eli Willits #BDC-1 (RC)
Eli Willits,2,Base-Paper,Bowman #BD-1 Eli Willits
Eli Willits,2,Draft Night,#BDN-1 Eli Willits Night
Eli Willits,2,Base-Paper,Eli Willits #BD-1 (RC)
Eli Willits,2,Base-Paper,Eli Willits 2025 1st #BD-1
Eli Willits,2,Base-Paper,BD-1 Eli Willits 1st Bowman Washington Nationals
Eli Willits,2,Axis Plain,Eli Willits Axis Nationals Prospect #A-1
Eli Willits,2,Prized Prospect,Eli Willits Prized Prospects #PP-1 Nationals
Eli Willits,2,Mojo,Prized Prospects Eli Willits #PP-1 Mojo Refractor Nationals
Eli Willits,2,Draft Night,#BDN-1 Eli Willits Night
Eli Willits,2,Base-Paper,ELI WILLITS 1st! #BD-1 Washington Nationals RC
Eli Willits,2,Base-Paper,ELI WILLITS 1st Bowman #BD-1
Eli Willits,2,Base-Paper,Eli Willits Nationals 1st Bowman Paper Base. B16
Eli Willits,3,Prized Prospect,Eli Willits Prized Prospects #PP-1 Nationals
Eli Willits,3,Bowman In Action,Bowman in Action Eli Willits #BIA-1 (RC)
Eli Willits,3,Base-Paper,Eli Willits 1st Bowman Paper Base Washington Nationals
Eli Willits,3,Base-Paper,Eli Willits 1st Bowman Paper #BD-1 Washington Nationals
Eli Willits,3,Base-Paper,Eli Willits #BD-1 (RC)
Eli Willits,3,Prized Prospect,Prized Prospects Eli Willis Washington Nationals
Eli Willits,3,Base-Paper,Eli Willits 1st - WASHINGTON NATIONALS
Eli Willits,3,Draft Night,Eli Willits Draft Night Insert Nationals
Eli Willits,3,Draft Night,Eli Willits Draft Night Insert #BDN-1 Washington Nationals
Eli Willits,3,Base-Paper,ELI WILLITS Washington Nationals 1st Bowman Prospect #BD-1
Eli Willits,3,Chrome Base,Eli Willits 1st Bowman Base Chrome #BDC-1 Washington Nationals
Eli Willits,3,Draft Night,Night Eli Willits #BDN-1 (RC)
Eli Willits,3,Prized Prospect,Eli Willits 1st Chrome Prized Prospects #PP-1 Nationals
Eli Willits,3,Mojo,#PP-1 Eli Willits Nationals RC Prized Prospects Mojo
Eli Willits,3,Base-Paper,Eli Willits 1st Bowman Paper Base #BD-1 Nationals
Eli Willits,3,Pick / set builder,1st Bowman Base Paper ELI WILLITS Nationals #1 Draft Pick
Eli Willits,3,Draft Night,Chrome Draft Night Eli Willits Washington Nationals #BDN-1
Eli Willits,3,Draft Night,Eli Willits Night #BDN-1 | Nationals
Eli Willits,3,Base-Paper,Eli Willits Washington Nationals 1st Bowman ****
Eli Willits,3,Chrome Base,#BDC-1 Eli Willits Chrome
Eli Willits,3,Chrome Base,#BDC-1 ELI WILLITS 1st Bowman Washington Nationals!
Eli Willits,3,Base-Paper,Eli Willits #BD-1
Eli Willits,3,Draft Night,Eli Willits Draft Night Insert Nationals
Eli Willits,3,Chrome Base,Chrome Eli Willits #BDC-1 (RC)
Eli Willits,3,Base-Paper,#BD-1 Eli Willits Washington Nationals
Eli Willits,3,Prized Prospect,#PP-1 Eli Willits Prized Prospects
Eli Willits,4,Chrome Base,Eli Willits #BDC-1
Eli Willits,4,Chrome Base,2025 Topps Chrome 1st Bowman Eli Willits Nationals BDC-1
Eli Willits,4,Chrome Base,#BDC-1 ELI WILLITS 1st Bowman Washington Nationals!
Eli Willits,4,Base-Paper,Eli Willits #BD-1 1st Bowman RC
Eli Willits,4,Chrome Base,Bowman 2025 Draft Chrome Eli Willits Rookie Nationals #BDC-1
Eli Willits,4,Prized Prospect,#PP-1 Eli Willits - Prized Prospects -Nationals
Eli Willits,4,Prized Prospect,ELI WILLITS Prized Prospects #PP-1
Eli Willits,4,Draft Night,Eli Willits- Night Chrome #BDN-1
Eli Willits,4,Base-Paper,Eli Willits 1st Bowman Paper Base #BD-1 Nationals
Eli Willits,4,Base-Paper,Eli Willits 1st Bowman Paper Base #BD-1 Nationals (QH6)
Eli Willits,4,Prized Prospect,ELI WILLITS RC INSERT! Prized Prospects NATIONALS RC
Eli Willits,4,Base-Paper,Paper #BD-1 Eli Willits 1st Bowman Washington Nationals
Eli Willits,4,Draft Night,#BDN-1 Eli Willits Night
Eli Willits,4,Base-Paper,ELI WILLITS NATIONALS RC 1st card #BD-1
Eli Willits,4,Chrome Base,#BDC-1 Eli Willits Chrome
Eli Willits,4,Chrome Base,Eli Willits 2025 Bowman 1st Draft Base Chrome Washington Nationals BDC-1
Eli Willits,4,Prized Prospect,Eli Willits Prized Prospects Nationals #PP-1
Eli Willits,4,Draft Night,#BDN-1 Eli Willits Night - ( 138 )
Eli Willits,4,Chrome Base,Chrome Eli Willits #BDC-1 (RC)
Eli Willits,4,Chrome Base,#BDC-1 Eli Willits Chrome
Eli Willits,4,Chrome Base,Eli Willits #BDC-1
Eli Willits,4,Refractor,Eli Willits In Action Insert Refractor Washington Nationals
Eli Willits,4,Axis Plain,Eli Willits AXIS Insert Nationals
Eli Willits,4,Chrome Base,Eli Willits 1st Washington Nationals Chrome Card #BDC-1
Eli Willits,4,Prized Prospect,Eli Willits 1st Chrome Prized Prospects #PP-1 Nationals
Eli Willits,5,Chrome Base,Chrome Eli Willits #BDC-1 (RC)
Eli Willits,5,Base-Paper,ELI WILLITS #BD-1 Washington Nationals
Eli Willits,5,Chrome Base,#BDC-1 Eli Willits Chrome
Eli Willits,5,Chrome Base,Bowman 2025 Draft Chrome Rookie Eli Willits Washington Nationals BDC-1
Eli Willits,5,Chrome Base,#BDC-1 Eli Willits Chrome
Eli Willits,5,Chrome Base,Bowman 2025 Chrome Draft Eli Willits 1st Bowman Nationals #BDC-1
Eli Willits,5,Chrome Base,Eli Willits BDC-1 Nationals
Eli Willits,5,Bowman In Action,Eli Willits In Action #BIA-1 Nationals
Eli Willits,5,Draft Night,ELI WILLITS Draft Night #BDN-1
Eli Willits,5,Draft Night,Eli Willits Chrome Night #BDN-1 Nationals Prospect
Eli Willits,5,Chrome Base,Eli Willits 1st Bowman Chrome #BDC-1 Washington Nationals
Eli Willits,5,Chrome (non-base),Eli Willits 1st Bowman Nationals
Eli Willits,5,Draft Night,#BDN-1 Eli Willits Night
Eli Willits,5,Chrome Refractor Plain,#BDC-1 Eli Willits Chrome Mojo Refractor
Eli Willits,5,Chrome Base,#BDC-1 Eli Willits Chrome
Eli Willits,6,Bowman In Action,Eli Willits In Action Insert #BIA-1 Washington Nationals
Eli Willits,6,Chrome Base,(2x) Eli Willits 1st Prospect #BDC-1 Nationals
Eli Willits,6,Chrome Refractor Plain,Chrome Eli Willits #BDC-1 Refractor (RC)
Eli Willits,6,Chrome Base,Eli Willits 1st Bowman Chrome #BDC-1 Washington Nationals
Eli Willits,6,Chrome Base,Eli Willits 1st Bowman Base Chrome BDC-1 washington nationals
Eli Willits,6,Chrome (non-base),Eli Willits 1st Bowman Chrome Washington Nationals Off Center
Eli Willits,6,Chrome Base,1st Eli Willits #BDC-1 Chrome Base Washington Nationals
Eli Willits,6,Bowman In Action,Eli Willits In action Nationals
Eli Willits,6,Bowman In Action,ELI WILLITS BOWMAN IN ACTION Insert #BIA-1 Nationals
Eli Willits,6,Chrome Base,Eli Willits 1st Bowman #BDC-1
Eli Willits,6,Chrome (non-base),1st Eli Willits Chrome Base NATIONALS
Eli Willits,6,Mojo,Eli Willits 1st Mojo Refractor RC (B)
Eli Willits,6,Chrome Refractor Plain,#BDC-1 Eli Willits Chrome Mojo Refractor
Eli Willits,7,Mojo,Eli Willits 1st Bowman Mojo Refractor Nationals
Eli Willits,7,Chrome Refractor Plain,Chrome Eli Willits #BDC-1 Mojo Refractor (RC)
Eli Willits,7,Chrome Base,Eli Willits BDC-1 Nationals
Eli Willits,7,Chrome (non-base),1st Eli Willits Chrome Base NATIONALS
Eli Willits,7,Base-Paper,Eli Willits 1st Bowman BD-1 Washington Nationals
Eli Willits,7,Draft Night,Eli Willits Draft Nights BDN-1 Nationals RC
Eli Willits,7,Chrome Refractor Plain,Chrome Eli Willits #BDC-1 Mojo Refractor (RC)
Eli Willits,7,Chrome Refractor Plain,Mojo Refractor #BDC-1 Eli Willits Washington Nationals
Eli Willits,7,Chrome Base,Eli Willits #BDC-1
Eli Willits,8,Chrome Refractor Plain,Eli Willits Mega Box 1st Bowman Mojo Refractor BDC-1 c-55
Eli Willits,8,Mojo,Eli Willits 2025 Bowman Chrome 1st MOJO Refractor Nationals
Eli Willits,8,Chrome Refractor Plain,#BDC-1 Eli Willits Chrome Mojo Refractor 1st Rookie
Eli Willits,8,Chrome Refractor Plain,Chrome Eli Willits #BDC-1 Refractor (RC)
Eli Willits,8,Chrome Base,Mega Box 1st Bowman Eli Willits #BDC-1 WSH Nationals RC
Eli Willits,8,Chrome Refractor Plain,Eli Willits Mega Box 1st Mojo Refractor #BDC-1 Nationals
Eli Willits,8,Refractor,Eli Willits 1st Bowman Refractor
Eli Willits,8,Chrome Base,Eli Willits Chrome 1st #BDC-1
Eli Willits,8,Mojo,Mega Box Mojo Eli Willits Prized Prospects Nationals 📈📈📈
Eli Willits,8,Chrome Refractor Plain,Chrome Eli Willits #BDC-1 mojo Refractor (RC)
Eli Willits,8,Prized Prospect,Eli Willits - Prized Prospects PP-1 Nationals
