set_key,year,brand,product,section,section_card_count,card_number,player_name_raw,affiliation_raw,raw_line,is_multi_player
2024_bowman_chrome,2024,Bowman,Chrome,Base,,1,Bobby Witt Jr.,Kansas City Royals,Base	1	Bobby Witt Jr.	Kansas City Royals,False
2024_bowman_chrome,2024,Bowman,Chrome,Base,,2,Royce Lewis,Minnesota Twins,Base	2	Royce Lewis	Minnesota Twins,False
2024_bowman_chrome,2024,Bowman,Chrome,Base,,3,Corbin Carroll,Arizona Diamondbacks,Base	3	Corbin Carroll	Arizona Diamondbacks,False
2024_bowman_chrome,2024,Bowman,Chrome,Base,,4,Noelvi Marte,Cincinnati Reds	RC,Base	4	Noelvi Marte	Cincinnati Reds	RC,False
2024_bowman_chrome,2024,Bowman,Chrome,Base,,5,Ceddanne Rafaela,Boston Red Sox	RC,Base	5	Ceddanne Rafaela	Boston Red Sox	RC,False
2024_bowman_chrome,2024,Bowman,Chrome,Base,,6,Marcus Semien,Texas Rangers,Base	6	Marcus Semien	Texas Rangers,False
2024_bowman_chrome,2024,Bowman,Chrome,Base,,7,Henry Davis,Pittsburgh Pirates	(RC),Base	7	Henry Davis	Pittsburgh Pirates	(RC),False
2024_bowman_chrome,2024,Bowman,Chrome,Base,,8,Triston Casas,Boston Red Sox,Base	8	Triston Casas	Boston Red Sox,False
2024_bowman_chrome,2024,Bowman,Chrome,Base,,9,Gunnar Henderson,Baltimore Orioles,Base	9	Gunnar Henderson	Baltimore Orioles,False
2024_bowman_chrome,2024,Bowman,Chrome,Base,,10,Jordan Wicks,Chicago Cubs	RC,Base	10	Jordan Wicks	Chicago Cubs	RC,False
2024_bowman_chrome,2024,Bowman,Chrome,Base,,11,Matt Olson,Atlanta Braves,Base	11	Matt Olson	Atlanta Braves,False
2024_bowman_chrome,2024,Bowman,Chrome,Base,,12,Manny Machado,San Diego Padres,Base	12	Manny Machado	San Diego Padres,False
2024_bowman_chrome,2024,Bowman,Chrome,Base,,13,Davis Schneider,Toronto Blue Jays	RC,Base	13	Davis Schneider	Toronto Blue Jays	RC,False
2024_bowman_chrome,2024,Bowman,Chrome,Base,,14,Christian Yelich,Milwaukee Brewers,Base	14	Christian Yelich	Milwaukee Brewers,False
2024_bowman_chrome,2024,Bowman,Chrome,Base,,15,Austin Wells,New York Yankees	RC,Base	15	Austin Wells	New York Yankees	RC,False
2024_bowman_chrome,2024,Bowman,Chrome,Base,,16,Tyler Soderstrom,Oakland Athletics	RC,Base	16	Tyler Soderstrom	Oakland Athletics	RC,False
2024_bowman_chrome,2024,Bowman,Chrome,Base,,17,Jordan Westburg,Baltimore Orioles	RC,Base	17	Jordan Westburg	Baltimore Orioles	RC,False
2024_bowman_chrome,2024,Bowman,Chrome,Base,,18,Gerrit Cole,New York Yankees,Base	18	Gerrit Cole	New York Yankees,False
2024_bowman_chrome,2024,Bowman,Chrome,Base,,19,Luis Arraez,San Diego Padres,Base	19	Luis Arraez	San Diego Padres,False
2024_bowman_chrome,2024,Bowman,Chrome,Base,,20,Corey Seager,Texas Rangers,Base	20	Corey Seager	Texas Rangers,False
2024_bowman_chrome,2024,Bowman,Chrome,Base,,21,Trea Turner,Philadelphia Phillies,Base	21	Trea Turner	Philadelphia Phillies,False
