set_key,year,brand,product,section,section_card_count,card_number,player_name_raw,affiliation_raw,raw_line,is_multi_player
2024_topps_chrome_update,2024,Topps,Chrome Update,Base,,USC1,Juan Soto,New York Yankees,Base	USC1	Juan Soto	New York Yankees,False
2024_topps_chrome_update,2024,Topps,Chrome Update,Base,,USC2,Jorge Soler,Atlanta Braves,Base	USC2	Jorge Soler	Atlanta Braves,False
2024_topps_chrome_update,2024,Topps,Chrome Update,Base,,USC3,Christopher Morel,Tampa Bay Rays,Base	USC3	Christopher Morel	Tampa Bay Rays,False
2024_topps_chrome_update,2024,Topps,Chrome Update,Base,,USC4,Carlos Carrasco,Cleveland Guardians,Base	USC4	Carlos Carrasco	Cleveland Guardians,False
2024_topps_chrome_update,2024,Topps,Chrome Update,Base,,USC5,Mitch Garver,Seattle Mariners,Base	USC5	Mitch Garver	Seattle Mariners,False
2024_topps_chrome_update,2024,Topps,Chrome Update,Base,,USC6,Aroldis Chapman,Pittsburgh Pirates,Base	USC6	Aroldis Chapman	Pittsburgh Pirates,False
2024_topps_chrome_update,2024,Topps,Chrome Update,Base,,USC7,Joey Gallo,Washington Nationals,Base	USC7	Joey Gallo	Washington Nationals,False
2024_topps_chrome_update,2024,Topps,Chrome Update,Base,,USC8,Colt Keith,Detroit Tigers	RC,Base	USC8	Colt Keith	Detroit Tigers	RC,False
2024_topps_chrome_update,2024,Topps,Chrome Update,Base,,USC9,Naoyuki Uwasawa,Boston Red Sox	RC,Base	USC9	Naoyuki Uwasawa	Boston Red Sox	RC,False
2024_topps_chrome_update,2024,Topps,Chrome Update,Base,,USC10,Zach Eflin,Baltimore Orioles,Base	USC10	Zach Eflin	Baltimore Orioles,False
2024_topps_chrome_update,2024,Topps,Chrome Update,Base,,USC11,Michael Lorenzen,Kansas City Royals,Base	USC11	Michael Lorenzen	Kansas City Royals,False
2024_topps_chrome_update,2024,Topps,Chrome Update,Base,,USC12,Jonathan Cannon,Chicago White Sox	RC,Base	USC12	Jonathan Cannon	Chicago White Sox	RC,False
2024_topps_chrome_update,2024,Topps,Chrome Update,Base,,USC13,Mitchell Parker,Washington Nationals	RC,Base	USC13	Mitchell Parker	Washington Nationals	RC,False
2024_topps_chrome_update,2024,Topps,Chrome Update,Base,,USC14,Nick Nastrini,Chicago White Sox	RC,Base	USC14	Nick Nastrini	Chicago White Sox	RC,False
2024_topps_chrome_update,2024,Topps,Chrome Update,Base,,USC15,Miguel Andujar,Oakland Athletics,Base	USC15	Miguel Andujar	Oakland Athletics,False
2024_topps_chrome_update,2024,Topps,Chrome Update,Base,,USC16,Trevor Rogers,Baltimore Orioles,Base	USC16	Trevor Rogers	Baltimore Orioles,False
2024_topps_chrome_update,2024,Topps,Chrome Update,Base,,USC17,Spencer Arrighetti,Houston Astros	RC,Base	USC17	Spencer Arrighetti	Houston Astros	RC,False
2024_topps_chrome_update,2024,Topps,Chrome Update,Base,,USC18,Jackson Chourio,Milwaukee Brewers	RC,Base	USC18	Jackson Chourio	Milwaukee Brewers	RC,False
2024_topps_chrome_update,2024,Topps,Chrome Update,Base,,USC19,Daniel Hudson,Los Angeles Dodgers,Base	USC19	Daniel Hudson	Los Angeles Dodgers,False
2024_topps_chrome_update,2024,Topps,Chrome Update,Base,,USC20,Jordan Beck,Colorado Rockies	RC,Base	USC20	Jordan Beck	Colorado Rockies	RC,False
2024_topps_chrome_update,2024,Topps,Chrome Update,Base,,USC21,Darell Hernaiz,Oakland Athletics	RC,Base	USC21	Darell Hernaiz	Oakland Athletics	RC,False
2024_topps_chrome_update,2024,Topps,Chrome Update,Base,,USC22,Tyler Soderstrom,Oakland Athletics	RC,Base	USC22	Tyler Soderstrom	Oakland Athletics	RC,False
2024_topps_chrome_update,2024,Topps,Chrome Update,Base,,USC23,Masyn Winn,St. Louis Cardinals	RC,Base	USC23	Masyn Winn	St. Louis Cardinals	RC,False
2024_topps_chrome_update,2024,Topps,Chrome Update,Base,,USC24,José Caballero,Tampa Bay Rays,Base	USC24	José Caballero	Tampa Bay Rays,False
2024_topps_chrome_update,2024,Topps,Chrome Update,Base,,USC25,Tobias Myers,Milwaukee Brewers	RC,Base	USC25	Tobias Myers	Milwaukee Brewers	RC,False
2024_topps_chrome_update,2024,Topps,Chrome Update,Base,,USC26,Kyle Manzardo,Cleveland Guardians	RC,Base	USC26	Kyle Manzardo	Cleveland Guardians	RC,False
2024_topps_chrome_update,2024,Topps,Chrome Update,Base,,USC27,Paul Skenes,Pittsburgh Pirates	RC,Base	USC27	Paul Skenes	Pittsburgh Pirates	RC,False
2024_topps_chrome_update,2024,Topps,Chrome Update,Base,,USC28,Samad Taylor,Seattle Mariners	RC,Base	USC28	Samad Taylor	Seattle Mariners	RC,False
2024_topps_chrome_update,2024,Topps,Chrome Update,Base,,USC29,Pedro Pagés,St. Louis Cardinals	RC,Base	USC29	Pedro Pagés	St. Louis Cardinals	RC,False
