set_key,year,brand,product,section,section_card_count,card_number,player_name_raw,affiliation_raw,raw_line,is_multi_player
2024_topps_series1,2024,Topps,Series 1,Base,,1,Ronald Acuña Jr.,Atlanta Braves,Base	1	Ronald Acuña Jr.	Atlanta Braves,False
2024_topps_series1,2024,Topps,Series 1,Base,,2,San Diego Padres,San Diego Padres	- Team Card,Base	2	San Diego Padres	San Diego Padres	- Team Card,False
2024_topps_series1,2024,Topps,Series 1,Base,,3,Endy Rodríguez,Pittsburgh Pirates	RC,Base	3	Endy Rodríguez	Pittsburgh Pirates	RC,False
2024_topps_series1,2024,Topps,Series 1,Base,,4,Logan Webb,San Francisco Giants,Base	4	Logan Webb	San Francisco Giants,False
2024_topps_series1,2024,Topps,Series 1,Base,,5,Owen White,Texas Rangers	RC,Base	5	Owen White	Texas Rangers	RC,False
2024_topps_series1,2024,Topps,Series 1,Base,,6,Detroit Tigers,Detroit Tigers	- Team Card,Base	6	Detroit Tigers	Detroit Tigers	- Team Card,False
2024_topps_series1,2024,Topps,Series 1,Base,,7,Brendan Donovan,St. Louis Cardinals,Base	7	Brendan Donovan	St. Louis Cardinals,False
2024_topps_series1,2024,Topps,Series 1,Base,,8,Brendan White,Detroit Tigers	RC,Base	8	Brendan White	Detroit Tigers	RC,False
2024_topps_series1,2024,Topps,Series 1,Base,,9,Joey Wiemer,Milwaukee Brewers,Base	9	Joey Wiemer	Milwaukee Brewers,False
2024_topps_series1,2024,Topps,Series 1,Base,,10,Josh Naylor,Cleveland Guardians,Base	10	Josh Naylor	Cleveland Guardians,False
2024_topps_series1,2024,Topps,Series 1,Base,,11,Spencer Strider,Atlanta Braves,Base	11	Spencer Strider	Atlanta Braves,False
2024_topps_series1,2024,Topps,Series 1,Base,,12,Bryan Woo,Seattle Mariners	RC,Base	12	Bryan Woo	Seattle Mariners	RC,False
2024_topps_series1,2024,Topps,Series 1,Base,,13,Nick Robertson,Boston Red Sox	RC,Base	13	Nick Robertson	Boston Red Sox	RC,False
2024_topps_series1,2024,Topps,Series 1,Base,,14,Michael Massey,Kansas City Royals,Base	14	Michael Massey	Kansas City Royals,False
2024_topps_series1,2024,Topps,Series 1,Base,,15,José Soriano,Los Angeles Angels	RC,Base	15	José Soriano	Los Angeles Angels	RC,False
2024_topps_series1,2024,Topps,Series 1,Base,,16,Jon Gray,Texas Rangers,Base	16	Jon Gray	Texas Rangers,False
2024_topps_series1,2024,Topps,Series 1,Base,,17,Nick Pivetta,Boston Red Sox,Base	17	Nick Pivetta	Boston Red Sox,False
2024_topps_series1,2024,Topps,Series 1,Base,,18,Lars Nootbaar,St. Louis Cardinals,Base	18	Lars Nootbaar	St. Louis Cardinals,False
2024_topps_series1,2024,Topps,Series 1,Base,,19,Joey Votto,Cincinnati Reds,Base	19	Joey Votto	Cincinnati Reds,False
2024_topps_series1,2024,Topps,Series 1,Base,,20,Pete Alonso,New York Mets,Base	20	Pete Alonso	New York Mets,False
2024_topps_series1,2024,Topps,Series 1,Base,,21,Esteury Ruiz,Oakland Athletics,Base	21	Esteury Ruiz	Oakland Athletics,False
2024_topps_series1,2024,Topps,Series 1,Base,,22,Rafael Devers,Boston Red Sox,Base	22	Rafael Devers	Boston Red Sox,False
2024_topps_series1,2024,Topps,Series 1,Base,,23,Fernando Tatis Jr.,San Diego Padres,Base	23	Fernando Tatis Jr.	San Diego Padres,False
2024_topps_series1,2024,Topps,Series 1,Base,,24,Salvador Perez,Kansas City Royals,Base	24	Salvador Perez	Kansas City Royals,False
2024_topps_series1,2024,Topps,Series 1,Base,,25,Andy Ibáñez,Detroit Tigers,Base	25	Andy Ibáñez	Detroit Tigers,False
2024_topps_series1,2024,Topps,Series 1,Base,,26,Freddy Peralta,Milwaukee Brewers,Base	26	Freddy Peralta	Milwaukee Brewers,False
2024_topps_series1,2024,Topps,Series 1,Base,,27,Mike Trout,Los Angeles Angels,Base	27	Mike Trout	Los Angeles Angels,False
2024_topps_series1,2024,Topps,Series 1,Base,,28,Luis Matos,San Francisco Giants	RC,Base	28	Luis Matos	San Francisco Giants	RC,False
2024_topps_series1,2024,Topps,Series 1,Base,,29,Kris Bryant,Colorado Rockies,Base	29	Kris Bryant	Colorado Rockies,False
2024_topps_series1,2024,Topps,Series 1,Base,,30,Hunter Brown,Houston Astros	- Future Stars,Base	30	Hunter Brown	Houston Astros	- Future Stars,False
2024_topps_series1,2024,Topps,Series 1,Base,,31,Carmen Mlodzinski,Pittsburgh Pirates	RC,Base	31	Carmen Mlodzinski	Pittsburgh Pirates	RC,False
2024_topps_series1,2024,Topps,Series 1,Base,,32,Samad Taylor,Kansas City Royals	RC,Base	32	Samad Taylor	Kansas City Royals	RC,False
2024_topps_series1,2024,Topps,Series 1,Base,,33,Willy Adames,Milwaukee Brewers,Base	33	Willy Adames	Milwaukee Brewers,False
2024_topps_series1,2024,Topps,Series 1,Base,,34,Ryan Mountcastle,Baltimore Orioles,Base	34	Ryan Mountcastle	Baltimore Orioles,False
2024_topps_series1,2024,Topps,Series 1,Base,,35,Adley Rutschman,Baltimore Orioles,Base	35	Adley Rutschman	Baltimore Orioles,False
2024_topps_series1,2024,Topps,Series 1,Base,,36,Prelander Berroa,Seattle Mariners	RC,Base	36	Prelander Berroa	Seattle Mariners	RC,False
2024_topps_series1,2024,Topps,Series 1,Base,,37,CJ Abrams,Washington Nationals,Base	37	CJ Abrams	Washington Nationals,False
2024_topps_series1,2024,Topps,Series 1,Base,,38,Pete Alonso,New York Mets	- Checklist,Base	38	Pete Alonso	New York Mets	- Checklist,False
2024_topps_series1,2024,Topps,Series 1,Base,,39,Emerson Hancock,Seattle Mariners	RC,Base	39	Emerson Hancock	Seattle Mariners	RC,False
2024_topps_series1,2024,Topps,Series 1,Base,,40,Dylan Cease,Chicago White Sox,Base	40	Dylan Cease	Chicago White Sox,False
2024_topps_series1,2024,Topps,Series 1,Base,,41,Geraldo Perdomo,Arizona Diamondbacks,Base	41	Geraldo Perdomo	Arizona Diamondbacks,False
2024_topps_series1,2024,Topps,Series 1,Base,,42,Jorge Mateo,Baltimore Orioles,Base	42	Jorge Mateo	Baltimore Orioles,False
2024_topps_series1,2024,Topps,Series 1,Base,,43,Daulton Varsho,Toronto Blue Jays,Base	43	Daulton Varsho	Toronto Blue Jays,False
2024_topps_series1,2024,Topps,Series 1,Base,,44,Julio Rodríguez,Seattle Mariners,Base	44	Julio Rodríguez	Seattle Mariners,False
2024_topps_series1,2024,Topps,Series 1,Base,,45,Félix Bautista,Baltimore Orioles,Base	45	Félix Bautista	Baltimore Orioles,False
2024_topps_series1,2024,Topps,Series 1,Base,,46,Paul Goldschmidt,St. Louis Cardinals,Base	46	Paul Goldschmidt	St. Louis Cardinals,False
2024_topps_series1,2024,Topps,Series 1,Base,,47,Cavan Biggio,Toronto Blue Jays,Base	47	Cavan Biggio	Toronto Blue Jays,False
2024_topps_series1,2024,Topps,Series 1,Base,,48,Bryce Elder,Atlanta Braves,Base	48	Bryce Elder	Atlanta Braves,False
2024_topps_series1,2024,Topps,Series 1,Base,,49,J.P. Crawford,Seattle Mariners,Base	49	J.P. Crawford	Seattle Mariners,False
2024_topps_series1,2024,Topps,Series 1,Base,,50,Juan Soto,San Diego Padres,Base	50	Juan Soto	San Diego Padres,False
2024_topps_series1,2024,Topps,Series 1,Base,,51,Nestor Cortes Jr.,New York Yankees,Base	51	Nestor Cortes Jr.	New York Yankees,False
2024_topps_series1,2024,Topps,Series 1,Base,,52,Yandy Díaz,Tampa Bay Rays,Base	52	Yandy Díaz	Tampa Bay Rays,False
2024_topps_series1,2024,Topps,Series 1,Base,,53,Nolan Schanuel,Los Angeles Angels	RC,Base	53	Nolan Schanuel	Los Angeles Angels	RC,False
2024_topps_series1,2024,Topps,Series 1,Base,,54,Luis Castillo,Seattle Mariners,Base	54	Luis Castillo	Seattle Mariners,False
2024_topps_series1,2024,Topps,Series 1,Base,,55,Sean Murphy,Atlanta Braves,Base	55	Sean Murphy	Atlanta Braves,False
2024_topps_series1,2024,Topps,Series 1,Base,,56,Kyle Bradish,Baltimore Orioles,Base	56	Kyle Bradish	Baltimore Orioles,False
2024_topps_series1,2024,Topps,Series 1,Base,,57,Chris Bassitt / Zach Eflin / Gerrit Cole,Toronto Blue Jays	- League Leaders,Base	57	Chris Bassitt / Zach Eflin / Gerrit Cole	Toronto Blue Jays	- League Leaders,True
2024_topps_series1,2024,Topps,Series 1,Base,,57,Chris Bassitt / Zach Eflin / Gerrit Cole,Tampa Bay Rays	- League Leaders,Base	57	Chris Bassitt / Zach Eflin / Gerrit Cole	Tampa Bay Rays	- League Leaders,True
2024_topps_series1,2024,Topps,Series 1,Base,,57,Chris Bassitt / Zach Eflin / Gerrit Cole,New York Yankees	- League Leaders,Base	57	Chris Bassitt / Zach Eflin / Gerrit Cole	New York Yankees	- League Leaders,True
2024_topps_series1,2024,Topps,Series 1,Base,,58,Isaiah Campbell,Seattle Mariners	RC,Base	58	Isaiah Campbell	Seattle Mariners	RC,False
2024_topps_series1,2024,Topps,Series 1,Base,,59,Brandon Nimmo,New York Mets,Base	59	Brandon Nimmo	New York Mets,False
2024_topps_series1,2024,Topps,Series 1,Base,,60,Jasson Domínguez,New York Yankees	(RC),Base	60	Jasson Domínguez	New York Yankees	(RC),False
2024_topps_series1,2024,Topps,Series 1,Base,,61,William Contreras,Milwaukee Brewers,Base	61	William Contreras	Milwaukee Brewers,False
2024_topps_series1,2024,Topps,Series 1,Base,,62,Justin Verlander,Houston Astros,Base	62	Justin Verlander	Houston Astros,False
2024_topps_series1,2024,Topps,Series 1,Base,,63,Christian Walker,Arizona Diamondbacks,Base	63	Christian Walker	Arizona Diamondbacks,False
2024_topps_series1,2024,Topps,Series 1,Base,,64,J.D. Davis,San Francisco Giants,Base	64	J.D. Davis	San Francisco Giants,False
2024_topps_series1,2024,Topps,Series 1,Base,,65,Johan Oviedo,Pittsburgh Pirates,Base	65	Johan Oviedo	Pittsburgh Pirates,False
2024_topps_series1,2024,Topps,Series 1,Base,,66,Jordan Westburg,Baltimore Orioles	RC,Base	66	Jordan Westburg	Baltimore Orioles	RC,False
2024_topps_series1,2024,Topps,Series 1,Base,,67,Jorge Polanco,Minnesota Twins,Base	67	Jorge Polanco	Minnesota Twins,False
2024_topps_series1,2024,Topps,Series 1,Base,,68,Stone Garrett,Washington Nationals,Base	68	Stone Garrett	Washington Nationals,False
2024_topps_series1,2024,Topps,Series 1,Base,,69,Griffin Canning,Los Angeles Angels,Base	69	Griffin Canning	Los Angeles Angels,False
2024_topps_series1,2024,Topps,Series 1,Base,,70,Ronald Acuña Jr.,Atlanta Braves	- Checklist,Base	70	Ronald Acuña Jr.	Atlanta Braves	- Checklist,False
2024_topps_series1,2024,Topps,Series 1,Base,,71,Brandon Marsh,Philadelphia Phillies,Base	71	Brandon Marsh	Philadelphia Phillies,False
2024_topps_series1,2024,Topps,Series 1,Base,,72,George Springer,Toronto Blue Jays,Base	72	George Springer	Toronto Blue Jays,False
