card_number,player,card_type,card_type_display
1,Mike Trout,Base,Base
2,Gunnar Henderson,Base,Base
3,Bryce Harper,Base,Base
4,Adrian Del Castillo,Base,Base
5,Freddie Freeman,Base,Base
6,Rhett Lowder,Base,Base
7,Bobby Witt Jr.,Base,Base
8,Drew Thorpe,Base,Base
9,Jacob Wilson,Base,Base
10,Rafael Devers,Base,Base
11,Jackson Chourio,Base,Base
12,Roki Sasaki,Base,Base
13,Junior Caminero,Base,Base
14,Lawrence Butler,Base,Base
15,Emmanuel Clase,Base,Base
16,Mookie Betts,Base,Base
17,Shohei Ohtani,Base,Base
18,Yoshinobu Yamamoto,Base,Base
19,Randy Arozarena,Base,Base
20,Tarik Skubal,Base,Base
21,Ronald Acuña Jr.,Base,Base
22,Juan Soto,Base,Base
23,Fernando Tatis Jr.,Base,Base
24,Marcus Semien,Base,Base
25,Yordan Alvarez,Base,Base
26,Manny Machado,Base,Base
27,Vladimir Guerrero Jr.,Base,Base
28,Jacob deGrom,Base,Base
29,James Wood,Base,Base
30,Paul Skenes,Base,Base
31,Adael Amador,Base,Base
32,Austin Riley,Base,Base
33,Wyatt Langford,Base,Base
34,Salvador Perez,Base,Base
35,Adley Rutschman,Base,Base
36,Triston Casas,Base,Base
37,Coby Mayo,Base,Base
38,Corey Seager,Base,Base
39,Eury Pérez,Base,Base
40,Cole Ragans,Base,Base
41,Tomoyuki Sugano,Base,Base
42,Dylan Crews,Base,Base
43,Kyle Tucker,Base,Base
44,Elly De La Cruz,Base,Base
45,Zack Wheeler,Base,Base
46,Connor Norby,Base,Base
47,Shay Whitcomb,Base,Base
48,Shane McClanahan,Base,Base
49,CJ Abrams,Base,Base
50,Jackson Jobe,Base,Base
51,Shota Imanaga,Base,Base
52,Cody Bellinger,Base,Base
53,Ceddanne Rafaela,Base,Base
54,David Festa,Base,Base
55,Zach Neto,Base,Base
56,Pete Alonso,Base,Base
57,Thomas Saggese,Base,Base
58,Riley Greene,Base,Base
59,Jace Jung,Base,Base
60,Willy Adames,Base,Base
61,Hurston Waldrep,Base,Base
62,Will Smith,Base,Base
63,Jose Altuve,Base,Base
64,Jackson Merrill,Base,Base
65,Trea Turner,Base,Base
66,Bryan Reynolds,Base,Base
67,Christian Yelich,Base,Base
68,Nolan Arenado,Base,Base
69,River Ryan,Base,Base
70,William Contreras,Base,Base
71,Ozzie Albies,Base,Base
72,Brooks Lee,Base,Base
73,Carlos Correa,Base,Base
74,Matt Chapman,Base,Base
75,Orelvis Martinez,Base,Base
76,Ketel Marte,Base,Base
77,Jackson Holliday,Base,Base
78,Spencer Schwellenbach,Base,Base
79,Julio Rodríguez,Base,Base
80,Kumar Rocker,Base,Base
81,Jhonkensy Noel,Base,Base
82,Chris Sale,Base,Base
83,Luisangel Acuña,Base,Base
84,Ezequiel Tovar,Base,Base
85,Ben Rice,Base,Base
86,Francisco Lindor,Base,Base
87,Logan Gilbert,Base,Base
88,Luis Robert Jr.,Base,Base
89,José Ramírez,Base,Base
90,Jung Hoo Lee,Base,Base
91,Hyeseong Kim,Base,Base
92,Bo Bichette,Base,Base
93,Tyler Locklear,Base,Base
94,Caden Dana,Base,Base
95,Kevin Alcántara,Base,Base
96,Corbin Carroll,Base,Base
97,Nick Yorke,Base,Base
98,Matt Olson,Base,Base
99,Aaron Judge,Base,Base
100,Masyn Winn,Base,Base
BP-1,Walker Jenkins,Bowman Prospects,BP
BP-2,Zyhir Hope,Bowman Prospects,BP
BP-3,Romeo Sanabria,Bowman Prospects,BP
BP-4,Asbel Gonzalez,Bowman Prospects,BP
BP-5,Franyerber Montilla,Bowman Prospects,BP
BP-6,Wen-Hui Pan,Bowman Prospects,BP
BP-7,Gregory Barrios,Bowman Prospects,BP
BP-8,Dawel Joseph,Bowman Prospects,BP
BP-9,Esteban Mejia,Bowman Prospects,BP
BP-10,Cade Horton,Bowman Prospects,BP
BP-11,Jackson Humphries,Bowman Prospects,BP
BP-12,Hayden Alvarez,Bowman Prospects,BP
BP-13,Josue Briceno,Bowman Prospects,BP
BP-14,Owen Wild,Bowman Prospects,BP
BP-15,Walker Janek,Bowman Prospects,BP
BP-16,Engelth Urena,Bowman Prospects,BP
BP-17,Colt Emerson,Bowman Prospects,BP
BP-18,Ichiro Cano Hernandez,Bowman Prospects,BP
BP-19,Fabian Lopez,Bowman Prospects,BP
BP-20,Ashly Andujar,Bowman Prospects,BP
BP-21,Slade Caldwell,Bowman Prospects,BP
BP-22,JJ Wetherholt,Bowman Prospects,BP
BP-23,Lazaro Montes,Bowman Prospects,BP
BP-24,Max Clark,Bowman Prospects,BP
BP-25,Quinn Mathews,Bowman Prospects,BP
BP-26,Jancel Villarroel,Bowman Prospects,BP
BP-27,Yu-Min Lin,Bowman Prospects,BP
BP-28,Carlos Tavares,Bowman Prospects,BP
BP-29,David Ortiz Jr.,Bowman Prospects,BP
BP-30,Bishop Letson,Bowman Prospects,BP
BP-31,Ricardo Yan,Bowman Prospects,BP
BP-32,Cole Fontenelle,Bowman Prospects,BP
BP-33,Aron Estrada,Bowman Prospects,BP
BP-34,Rafael Flores,Bowman Prospects,BP
BP-35,Will Simpson,Bowman Prospects,BP
BP-36,Yophery Rodriguez,Bowman Prospects,BP
BP-37,Esmith Pineda,Bowman Prospects,BP
BP-38,Luis Pena,Bowman Prospects,BP
BP-39,James Tibbs III,Bowman Prospects,BP
BP-40,Robert Calaz,Bowman Prospects,BP
BP-41,Mitch Jebb,Bowman Prospects,BP
BP-42,Kristian Campbell,Bowman Prospects,BP
BP-43,Jhostynxon Garcia,Bowman Prospects,BP
BP-44,Hagen Smith,Bowman Prospects,BP
BP-45,Victor Rodrigues,Bowman Prospects,BP
BP-46,Cam Caminiti,Bowman Prospects,BP
BP-47,Dylan Fien,Bowman Prospects,BP
BP-48,Cam Smith,Bowman Prospects,BP
BP-49,Bryce Rainer,Bowman Prospects,BP
BP-50,Sammy Hernandez,Bowman Prospects,BP
BP-51,Hyun-Seok Jang,Bowman Prospects,BP
