set_key,year,brand,product,section,section_card_count,card_number,player_name_raw,affiliation_raw,raw_line,is_multi_player
2025_topps_chrome,2025,Topps,Chrome,Base,300,1,Shohei Ohtani,Los Angeles Dodgers,1	Shohei Ohtani	Los Angeles Dodgers,False
2025_topps_chrome,2025,Topps,Chrome,Base,300,2,J.T. Realmuto,Philadelphia Phillies,2	J.T. Realmuto	Philadelphia Phillies,False
2025_topps_chrome,2025,Topps,Chrome,Base,300,3,Brooks Baldwin,Chicago White Sox	RC,3	Brooks Baldwin	Chicago White Sox	RC,False
2025_topps_chrome,2025,Topps,Chrome,Base,300,4,Zac Gallen,Arizona Diamondbacks,4	Zac Gallen	Arizona Diamondbacks,False
2025_topps_chrome,2025,Topps,Chrome,Base,300,5,Cedric Mullins,Baltimore Orioles,5	Cedric Mullins	Baltimore Orioles,False
2025_topps_chrome,2025,Topps,Chrome,Base,300,6,Trey Sweeney,Detroit Tigers	RC,6	Trey Sweeney	Detroit Tigers	RC,False
2025_topps_chrome,2025,Topps,Chrome,Base,300,7,Keider Montero,Detroit Tigers	RC,7	Keider Montero	Detroit Tigers	RC,False
2025_topps_chrome,2025,Topps,Chrome,Base,300,8,Yilber Diaz,Arizona Diamondbacks	RC,8	Yilber Diaz	Arizona Diamondbacks	RC,False
2025_topps_chrome,2025,Topps,Chrome,Base,300,9,Bryan Reynolds,Pittsburgh Pirates,9	Bryan Reynolds	Pittsburgh Pirates,False
2025_topps_chrome,2025,Topps,Chrome,Base,300,10,Connor Wong,Boston Red Sox,10	Connor Wong	Boston Red Sox,False
2025_topps_chrome,2025,Topps,Chrome,Base,300,11,Logan Gilbert,Seattle Mariners,11	Logan Gilbert	Seattle Mariners,False
2025_topps_chrome,2025,Topps,Chrome,Base,300,12,José Ramírez,Cleveland Guardians,12	José Ramírez	Cleveland Guardians,False
2025_topps_chrome,2025,Topps,Chrome,Base,300,13,Shane Bieber,Cleveland Guardians,13	Shane Bieber	Cleveland Guardians,False
