set_key,year,brand,product,section,section_card_count,card_number,player_name_raw,affiliation_raw,raw_line,is_multi_player
2026_topps_heritage,2026,Topps,Heritage,Chrome,,1,Aaron Judge/Trea Turner,New York Yankees/Philadelphia Phillies	(League Leaders),1	Aaron Judge/Trea Turner	New York Yankees/Philadelphia Phillies	(League Leaders),True
2026_topps_heritage,2026,Topps,Heritage,Chrome,,2,Kyle Schwarber/Cal Raleigh,Philadelphia Phillies/Seattle Mariners	(League Leaders),2	Kyle Schwarber/Cal Raleigh	Philadelphia Phillies/Seattle Mariners	(League Leaders),True
2026_topps_heritage,2026,Topps,Heritage,Chrome,,3,Kyle Schwarber/Cal Raleigh,Philadelphia Phillies/Seattle Mariners	(League Leaders),3	Kyle Schwarber/Cal Raleigh	Philadelphia Phillies/Seattle Mariners	(League Leaders),True
2026_topps_heritage,2026,Topps,Heritage,Chrome,,4,Oneil Cruz/José Caballero,Pittsburgh Pirates/New York Yankees	(League Leaders),4	Oneil Cruz/José Caballero	Pittsburgh Pirates/New York Yankees	(League Leaders),True
2026_topps_heritage,2026,Topps,Heritage,Chrome,,5,Freddy Peralta/Max Fried,Milwaukee Brewers/New York Yankees	(League Leaders),5	Freddy Peralta/Max Fried	Milwaukee Brewers/New York Yankees	(League Leaders),True
2026_topps_heritage,2026,Topps,Heritage,Chrome,,6,Logan Webb/Garrett Crochet,San Francisco Giants/Boston Red Sox	(League Leaders),6	Logan Webb/Garrett Crochet	San Francisco Giants/Boston Red Sox	(League Leaders),True
2026_topps_heritage,2026,Topps,Heritage,Chrome,,7,Paul Skenes/Tarik Skubal,Pittsburgh Pirates/Detroit Tigers	(League Leaders),7	Paul Skenes/Tarik Skubal	Pittsburgh Pirates/Detroit Tigers	(League Leaders),True
2026_topps_heritage,2026,Topps,Heritage,Chrome,,8,Robert Suarez/Carlos Estevéz,San Diego Padres/Kansas City Royals	(League Leaders),8	Robert Suarez/Carlos Estevéz	San Diego Padres/Kansas City Royals	(League Leaders),True
2026_topps_heritage,2026,Topps,Heritage,Chrome,,9,"Josh Hader,",Houston Astros,"9	Josh Hader,	Houston Astros",False
2026_topps_heritage,2026,Topps,Heritage,Chrome,,10,"Aaron Judge,",New York Yankees,"10	Aaron Judge,	New York Yankees",False
2026_topps_heritage,2026,Topps,Heritage,Chrome,,11,"Jose Altuve,",Houston Astros,"11	Jose Altuve,	Houston Astros",False
2026_topps_heritage,2026,Topps,Heritage,Chrome,,12,"Mookie Betts,",Los Angeles Dodgers,"12	Mookie Betts,	Los Angeles Dodgers",False
2026_topps_heritage,2026,Topps,Heritage,Chrome,,13,"Agustín Ramírez,",Miami Marlins,"13	Agustín Ramírez,	Miami Marlins",False
2026_topps_heritage,2026,Topps,Heritage,Chrome,,14,"Jhoan Duran,",Philadelphia Phillies,"14	Jhoan Duran,	Philadelphia Phillies",False
2026_topps_heritage,2026,Topps,Heritage,Chrome,,15,"Jarren Duran,",Boston Red Sox,"15	Jarren Duran,	Boston Red Sox",False
2026_topps_heritage,2026,Topps,Heritage,Chrome,,16,"Kyle Bradish,",Baltimore Orioles,"16	Kyle Bradish,	Baltimore Orioles",False
2026_topps_heritage,2026,Topps,Heritage,Chrome,,17,"Jacob Wilson,",Athletics,"17	Jacob Wilson,	Athletics",False
2026_topps_heritage,2026,Topps,Heritage,Chrome,,18,"Eury Pérez,",Miami Marlins,"18	Eury Pérez,	Miami Marlins",False
2026_topps_heritage,2026,Topps,Heritage,Chrome,,19,"Brett Baty,",New York Mets,"19	Brett Baty,	New York Mets",False
2026_topps_heritage,2026,Topps,Heritage,Chrome,,20,"Jonathan Aranda,",Tampa Bay Rays,"20	Jonathan Aranda,	Tampa Bay Rays",False
2026_topps_heritage,2026,Topps,Heritage,Chrome,,21,"Ernie Clement,",Toronto Blue Jays,"21	Ernie Clement,	Toronto Blue Jays",False
2026_topps_heritage,2026,Topps,Heritage,Chrome,,22,"Kris Bryant,",Colorado Rockies,"22	Kris Bryant,	Colorado Rockies",False
2026_topps_heritage,2026,Topps,Heritage,Chrome,,23,"Garrett Crochet,",Boston Red Sox,"23	Garrett Crochet,	Boston Red Sox",False
2026_topps_heritage,2026,Topps,Heritage,Chrome,,24,"Luis Castillo,",Seattle Mariners,"24	Luis Castillo,	Seattle Mariners",False
2026_topps_heritage,2026,Topps,Heritage,Chrome,,25,"Yordan Alvarez,",Houston Astros,"25	Yordan Alvarez,	Houston Astros",False
2026_topps_heritage,2026,Topps,Heritage,Chrome,,26,"Jaden Hill,",Colorado Rockies,"26	Jaden Hill,	Colorado Rockies",False
2026_topps_heritage,2026,Topps,Heritage,Chrome,,27,"Casey Schmitt,",San Francisco Giants,"27	Casey Schmitt,	San Francisco Giants",False
2026_topps_heritage,2026,Topps,Heritage,Chrome,,28,"Nico Hoerner,",Chicago Cubs,"28	Nico Hoerner,	Chicago Cubs",False
2026_topps_heritage,2026,Topps,Heritage,Chrome,,29,"Eugenio Suárez,",Seattle Mariners,"29	Eugenio Suárez,	Seattle Mariners",False
2026_topps_heritage,2026,Topps,Heritage,Chrome,,30,"Connor Norby,",Miami Marlins,"30	Connor Norby,	Miami Marlins",False
2026_topps_heritage,2026,Topps,Heritage,Chrome,,31,"Andrew Abbott,",Cincinnati Reds,"31	Andrew Abbott,	Cincinnati Reds",False
2026_topps_heritage,2026,Topps,Heritage,Chrome,,32,"Andre Granillo,",St. Louis Cardinals	RC,"32	Andre Granillo,	St. Louis Cardinals	RC",False
2026_topps_heritage,2026,Topps,Heritage,Chrome,,33,"Paul Skenes,",Pittsburgh Pirates,"33	Paul Skenes,	Pittsburgh Pirates",False
2026_topps_heritage,2026,Topps,Heritage,Chrome,,34,"Ryan Pepiot,",Tampa Bay Rays,"34	Ryan Pepiot,	Tampa Bay Rays",False
2026_topps_heritage,2026,Topps,Heritage,Chrome,,35,"Yoán Moncada,",Angels,"35	Yoán Moncada,	Angels",False
2026_topps_heritage,2026,Topps,Heritage,Chrome,,36,"Edwin Díaz,",Los Angeles Dodgers,"36	Edwin Díaz,	Los Angeles Dodgers",False
2026_topps_heritage,2026,Topps,Heritage,Chrome,,37,"Jorge Soler,",Angels,"37	Jorge Soler,	Angels",False
2026_topps_heritage,2026,Topps,Heritage,Chrome,,38,"Taj Bradley,",Minnesota Twins,"38	Taj Bradley,	Minnesota Twins",False
2026_topps_heritage,2026,Topps,Heritage,Chrome,,39,"Roki Sasaki,",Los Angeles Dodgers,"39	Roki Sasaki,	Los Angeles Dodgers",False
2026_topps_heritage,2026,Topps,Heritage,Chrome,,40,"Nathan Eovaldi,",Texas Rangers,"40	Nathan Eovaldi,	Texas Rangers",False
2026_topps_heritage,2026,Topps,Heritage,Chrome,,41,"Spencer Strider,",Atlanta Braves,"41	Spencer Strider,	Atlanta Braves",False
2026_topps_heritage,2026,Topps,Heritage,Chrome,,42,"Jo Adell,",Angels,"42	Jo Adell,	Angels",False
2026_topps_heritage,2026,Topps,Heritage,Chrome,,43,"Luis García Jr.,",Washington Nationals,"43	Luis García Jr.,	Washington Nationals",False
2026_topps_heritage,2026,Topps,Heritage,Chrome,,44,"Austin Martin,",Minnesota Twins,"44	Austin Martin,	Minnesota Twins",False
2026_topps_heritage,2026,Topps,Heritage,Chrome,,45,"Michael A. Taylor,",Chicago White Sox,"45	Michael A. Taylor,	Chicago White Sox",False
2026_topps_heritage,2026,Topps,Heritage,Chrome,,46,"Vladimir Guerrero Jr.,",Toronto Blue Jays,"46	Vladimir Guerrero Jr.,	Toronto Blue Jays",False
2026_topps_heritage,2026,Topps,Heritage,Chrome,,47,"Yandy Díaz,",Tampa Bay Rays,"47	Yandy Díaz,	Tampa Bay Rays",False
2026_topps_heritage,2026,Topps,Heritage,Chrome,,48,"Dylan Beavers,",Baltimore Orioles	RC,"48	Dylan Beavers,	Baltimore Orioles	RC",False
2026_topps_heritage,2026,Topps,Heritage,Chrome,,49,"Coby Mayo,",Baltimore Orioles,"49	Coby Mayo,	Baltimore Orioles",False
2026_topps_heritage,2026,Topps,Heritage,Chrome,,50,"Robert Hassell III,",Washington Nationals,"50	Robert Hassell III,	Washington Nationals",False
2026_topps_heritage,2026,Topps,Heritage,Chrome,,51,"Jurickson Profar,",Atlanta Braves,"51	Jurickson Profar,	Atlanta Braves",False
2026_topps_heritage,2026,Topps,Heritage,Chrome,,52,"José Ramírez,",Cleveland Guardians,"52	José Ramírez,	Cleveland Guardians",False
2026_topps_heritage,2026,Topps,Heritage,Chrome,,53,"Hunter Greene,",Cincinnati Reds,"53	Hunter Greene,	Cincinnati Reds",False
2026_topps_heritage,2026,Topps,Heritage,Chrome,,54,"Jeff McNeil,",New York Mets,"54	Jeff McNeil,	New York Mets",False
2026_topps_heritage,2026,Topps,Heritage,Chrome,,55,"Ronald Acuña Jr.,",Atlanta Braves,"55	Ronald Acuña Jr.,	Atlanta Braves",False
2026_topps_heritage,2026,Topps,Heritage,Chrome,,56,"José Berríos,",Toronto Blue Jays,"56	José Berríos,	Toronto Blue Jays",False
2026_topps_heritage,2026,Topps,Heritage,Chrome,,57,"Patrick Bailey,",San Francisco Giants,"57	Patrick Bailey,	San Francisco Giants",False
2026_topps_heritage,2026,Topps,Heritage,Chrome,,58,"Chandler Simpson,",Tampa Bay Rays,"58	Chandler Simpson,	Tampa Bay Rays",False
2026_topps_heritage,2026,Topps,Heritage,Chrome,,59,"Harry Ford,",Seattle Mariners	RC,"59	Harry Ford,	Seattle Mariners	RC",False
2026_topps_heritage,2026,Topps,Heritage,Chrome,,60,"Brooks Lee,",Minnesota Twins,"60	Brooks Lee,	Minnesota Twins",False
2026_topps_heritage,2026,Topps,Heritage,Chrome,,61,"Miguel Vargas,",Chicago White Sox,"61	Miguel Vargas,	Chicago White Sox",False
2026_topps_heritage,2026,Topps,Heritage,Chrome,,62,"Rafael Devers,",San Francisco Giants,"62	Rafael Devers,	San Francisco Giants",False
2026_topps_heritage,2026,Topps,Heritage,Chrome,,63,"Mike Yastrzemski,",Kansas City Royals,"63	Mike Yastrzemski,	Kansas City Royals",False
2026_topps_heritage,2026,Topps,Heritage,Chrome,,64,"Mitch Keller,",Pittsburgh Pirates,"64	Mitch Keller,	Pittsburgh Pirates",False
2026_topps_heritage,2026,Topps,Heritage,Chrome,,65,"Mason Miller,",San Diego Padres,"65	Mason Miller,	San Diego Padres",False
2026_topps_heritage,2026,Topps,Heritage,Chrome,,66,"Darell Hernaiz,",Athletics,"66	Darell Hernaiz,	Athletics",False
2026_topps_heritage,2026,Topps,Heritage,Chrome,,67,"Luis Morales,",Athletics	RC,"67	Luis Morales,	Athletics	RC",False
2026_topps_heritage,2026,Topps,Heritage,Chrome,,68,"Cade Cavalli,",Washington Nationals,"68	Cade Cavalli,	Washington Nationals",False
2026_topps_heritage,2026,Topps,Heritage,Chrome,,69,"Cam Smith,",Houston Astros,"69	Cam Smith,	Houston Astros",False
2026_topps_heritage,2026,Topps,Heritage,Chrome,,70,"Elly De La Cruz,",Cincinnati Reds	RC,"70	Elly De La Cruz,	Cincinnati Reds	RC",False
2026_topps_heritage,2026,Topps,Heritage,Chrome,,71,"Reese Olson,",Detroit Tigers,"71	Reese Olson,	Detroit Tigers",False
2026_topps_heritage,2026,Topps,Heritage,Chrome,,72,"Bryce Harper,",Philadelphia Phillies,"72	Bryce Harper,	Philadelphia Phillies",False
2026_topps_heritage,2026,Topps,Heritage,Chrome,,73,"Dillon Dingler,",Detroit Tigers,"73	Dillon Dingler,	Detroit Tigers",False
2026_topps_heritage,2026,Topps,Heritage,Chrome,,74,"Tanner Bibee,",Cleveland Guardians	RC,"74	Tanner Bibee,	Cleveland Guardians	RC",False
2026_topps_heritage,2026,Topps,Heritage,Chrome,,75,"Dane Myers,",Miami Marlins,"75	Dane Myers,	Miami Marlins",False
2026_topps_heritage,2026,Topps,Heritage,Chrome,,76,"Sandy Alcantara,",Miami Marlins,"76	Sandy Alcantara,	Miami Marlins",False
2026_topps_heritage,2026,Topps,Heritage,Chrome,,77,"Mark Vientos,",New York Mets,"77	Mark Vientos,	New York Mets",False
2026_topps_heritage,2026,Topps,Heritage,Chrome,,78,"Noah Cameron,",Kansas City Royals,"78	Noah Cameron,	Kansas City Royals",False
2026_topps_heritage,2026,Topps,Heritage,Chrome,,79,"Carson Whisenhunt,",San Francisco Giants	RC,"79	Carson Whisenhunt,	San Francisco Giants	RC",False
2026_topps_heritage,2026,Topps,Heritage,Chrome,,80,"Austin Hays,",Cincinnati Reds,"80	Austin Hays,	Cincinnati Reds",False
2026_topps_heritage,2026,Topps,Heritage,Chrome,,81,"Alec Bohm,",Philadelphia Phillies,"81	Alec Bohm,	Philadelphia Phillies",False
2026_topps_heritage,2026,Topps,Heritage,Chrome,,82,"Logan Webb,",San Francisco Giants,"82	Logan Webb,	San Francisco Giants",False
2026_topps_heritage,2026,Topps,Heritage,Chrome,,83,"Bradley Blalock,",Colorado Rockies,"83	Bradley Blalock,	Colorado Rockies",False
2026_topps_heritage,2026,Topps,Heritage,Chrome,,84,"Maikel Garcia,",Kansas City Royals,"84	Maikel Garcia,	Kansas City Royals",False
2026_topps_heritage,2026,Topps,Heritage,Chrome,,85,"Royce Lewis,",Minnesota Twins,"85	Royce Lewis,	Minnesota Twins",False
2026_topps_heritage,2026,Topps,Heritage,Chrome,,86,"Roman Anthony,",Boston Red Sox	RC,"86	Roman Anthony,	Boston Red Sox	RC",False
2026_topps_heritage,2026,Topps,Heritage,Chrome,,87,"Slade Cecconi,",Cleveland Guardians,"87	Slade Cecconi,	Cleveland Guardians",False
2026_topps_heritage,2026,Topps,Heritage,Chrome,,88,"Owen Caissie,",Chicago Cubs	RC,"88	Owen Caissie,	Chicago Cubs	RC",False
2026_topps_heritage,2026,Topps,Heritage,Chrome,,89,"Ramón Laureano,",San Diego Padres,"89	Ramón Laureano,	San Diego Padres",False
2026_topps_heritage,2026,Topps,Heritage,Chrome,,90,"Mike Tauchman,",Chicago White Sox,"90	Mike Tauchman,	Chicago White Sox",False
2026_topps_heritage,2026,Topps,Heritage,Chrome,,91,"Chase Dollander,",Colorado Rockies,"91	Chase Dollander,	Colorado Rockies",False
2026_topps_heritage,2026,Topps,Heritage,Chrome,,92,"Kyle Freeland,",Colorado Rockies,"92	Kyle Freeland,	Colorado Rockies",False
2026_topps_heritage,2026,Topps,Heritage,Chrome,,93,"Teoscar Hernández,",Los Angeles Dodgers,"93	Teoscar Hernández,	Los Angeles Dodgers",False
2026_topps_heritage,2026,Topps,Heritage,Chrome,,94,"Lawrence Butler,",Athletics,"94	Lawrence Butler,	Athletics",False
2026_topps_heritage,2026,Topps,Heritage,Chrome,,95,"Brendan Donovan,",St. Louis Cardinals,"95	Brendan Donovan,	St. Louis Cardinals",False
2026_topps_heritage,2026,Topps,Heritage,Chrome,,96,"Mike Burrows,",Pittsburgh Pirates,"96	Mike Burrows,	Pittsburgh Pirates",False
2026_topps_heritage,2026,Topps,Heritage,Chrome,,97,"Dansby Swanson,",Chicago Cubs,"97	Dansby Swanson,	Chicago Cubs",False
2026_topps_heritage,2026,Topps,Heritage,Chrome,,98,"Jacob deGrom,",Texas Rangers,"98	Jacob deGrom,	Texas Rangers",False
2026_topps_heritage,2026,Topps,Heritage,Chrome,,99,"Bryan Woo,",Seattle Mariners,"99	Bryan Woo,	Seattle Mariners",False
2026_topps_heritage,2026,Topps,Heritage,Chrome,,100,"Noelvi Marte,",Cincinnati Reds,"100	Noelvi Marte,	Cincinnati Reds",False
2026_topps_heritage,2026,Topps,Heritage,Chrome,,101,"Tyler Soderstrom,",Athletics,"101	Tyler Soderstrom,	Athletics",False
2026_topps_heritage,2026,Topps,Heritage,Chrome,,102,"Isaac Collins,",Milwaukee Brewers,"102	Isaac Collins,	Milwaukee Brewers",False
2026_topps_heritage,2026,Topps,Heritage,Chrome,,103,"Brent Rooker,",Athletics,"103	Brent Rooker,	Athletics",False
2026_topps_heritage,2026,Topps,Heritage,Chrome,,104,"Jasson Domínguez,",New York Yankees,"104	Jasson Domínguez,	New York Yankees",False
2026_topps_heritage,2026,Topps,Heritage,Chrome,,105,"Max Muncy,",Athletics,"105	Max Muncy,	Athletics",False
2026_topps_heritage,2026,Topps,Heritage,Chrome,,106,"Spencer Torkelson,",Detroit Tigers,"106	Spencer Torkelson,	Detroit Tigers",False
2026_topps_heritage,2026,Topps,Heritage,Chrome,,107,"Javier Báez,",Detroit Tigers,"107	Javier Báez,	Detroit Tigers",False
2026_topps_heritage,2026,Topps,Heritage,Chrome,,108,"George Springer,",Toronto Blue Jays,"108	George Springer,	Toronto Blue Jays",False
2026_topps_heritage,2026,Topps,Heritage,Chrome,,109,"Caleb Durbin,",Milwaukee Brewers,"109	Caleb Durbin,	Milwaukee Brewers",False
2026_topps_heritage,2026,Topps,Heritage,Chrome,,110,"Cristopher Sánchez,",Philadelphia Phillies,"110	Cristopher Sánchez,	Philadelphia Phillies",False
2026_topps_heritage,2026,Topps,Heritage,Chrome,,111,"Robbie Ray,",San Francisco Giants,"111	Robbie Ray,	San Francisco Giants",False
