set_key,year,brand,product,section,section_card_count,card_number,player_name_raw,affiliation_raw,raw_line,is_multi_player
2026_topps_update,2026,Topps,Update,BASE SET,,US1,Kristian Campbell,Boston Red Sox	Rookie,US1	Kristian Campbell	Boston Red Sox	Rookie,False
2026_topps_update,2026,Topps,Update,BASE SET,,US2,Zac Veen,Colorado Rockies	Rookie Debut,US2	Zac Veen	Colorado Rockies	Rookie Debut,False
2026_topps_update,2026,Topps,Update,BASE SET,,US3,Jamie Westbrook,Tampa Bay Rays	Rookie,US3	Jamie Westbrook	Tampa Bay Rays	Rookie,False
2026_topps_update,2026,Topps,Update,BASE SET,,US4,Alex Verdugo,Atlanta Braves,US4	Alex Verdugo	Atlanta Braves,False
2026_topps_update,2026,Topps,Update,BASE SET,,US5,Jeff Criswell,Colorado Rockies	Rookie,US5	Jeff Criswell	Colorado Rockies	Rookie,False
2026_topps_update,2026,Topps,Update,BASE SET,,US6,Levi Jordan,Cincinnati Reds	Rookie,US6	Levi Jordan	Cincinnati Reds	Rookie,False
2026_topps_update,2026,Topps,Update,BASE SET,,US7,Christian Vázquez,Minnesota Twins,US7	Christian Vázquez	Minnesota Twins,False
2026_topps_update,2026,Topps,Update,BASE SET,,US8,Tanner Gordon,Colorado Rockies	Rookie,US8	Tanner Gordon	Colorado Rockies	Rookie,False
2026_topps_update,2026,Topps,Update,BASE SET,,US9,Jeff Hoffman,Toronto Blue Jays,US9	Jeff Hoffman	Toronto Blue Jays,False
2026_topps_update,2026,Topps,Update,BASE SET,,US10,Alejandro Osuna,Texas Rangers	Rookie,US10	Alejandro Osuna	Texas Rangers	Rookie,False
2026_topps_update,2026,Topps,Update,BASE SET,,US11,Agustín Ramírez,Miami Marlins	Rookie,US11	Agustín Ramírez	Miami Marlins	Rookie,False
2026_topps_update,2026,Topps,Update,BASE SET,,US12,Andrés Muñoz,Seattle Mariners,US12	Andrés Muñoz	Seattle Mariners,False
2026_topps_update,2026,Topps,Update,BASE SET,,US13,Jose Trevino,Cincinnati Reds,US13	Jose Trevino	Cincinnati Reds,False
2026_topps_update,2026,Topps,Update,BASE SET,,US14,Denzel Clarke,Athletics	Rookie,US14	Denzel Clarke	Athletics	Rookie,False
2026_topps_update,2026,Topps,Update,BASE SET,,US15,Kyren Paris,Angels,US15	Kyren Paris	Angels,False
2026_topps_update,2026,Topps,Update,BASE SET,,US16,Luke Keaschall,Minnesota Twins	Rookie,US16	Luke Keaschall	Minnesota Twins	Rookie,False
2026_topps_update,2026,Topps,Update,BASE SET,,US17,Garrett McDaniels,Angels	Rookie,US17	Garrett McDaniels	Angels	Rookie,False
2026_topps_update,2026,Topps,Update,BASE SET,,US18,Evan Phillips,Los Angeles Dodgers,US18	Evan Phillips	Los Angeles Dodgers,False
2026_topps_update,2026,Topps,Update,BASE SET,,US19,Rowdy Tellez,Seattle Mariners,US19	Rowdy Tellez	Seattle Mariners,False
2026_topps_update,2026,Topps,Update,BASE SET,,US20,Mitch Spence,Athletics,US20	Mitch Spence	Athletics,False
2026_topps_update,2026,Topps,Update,BASE SET,,US21,Thomas Saggese,St. Louis Cardinals	Rookie Debut,US21	Thomas Saggese	St. Louis Cardinals	Rookie Debut,False
2026_topps_update,2026,Topps,Update,BASE SET,,US22,Blade Tidwell,New York Mets	Rookie,US22	Blade Tidwell	New York Mets	Rookie,False
2026_topps_update,2026,Topps,Update,BASE SET,,US23,Gio Urshela,Athletics,US23	Gio Urshela	Athletics,False
2026_topps_update,2026,Topps,Update,BASE SET,,US24,Yoán Moncada,Angels,US24	Yoán Moncada	Angels,False
2026_topps_update,2026,Topps,Update,BASE SET,,US25,Ben Rice,New York Yankees	Rookie Debut,US25	Ben Rice	New York Yankees	Rookie Debut,False
2026_topps_update,2026,Topps,Update,BASE SET,,US26,José Ramírez,Cleveland Guardians	Veteran Combos,US26	José Ramírez	Cleveland Guardians	Veteran Combos,False
2026_topps_update,2026,Topps,Update,BASE SET,,US26,Steven Kwan,Cleveland Guardians	Veteran Combos,US26	Steven Kwan	Cleveland Guardians	Veteran Combos,False
2026_topps_update,2026,Topps,Update,BASE SET,,US27,Justin Turner,Chicago Cubs,US27	Justin Turner	Chicago Cubs,False
2026_topps_update,2026,Topps,Update,BASE SET,,US28,Grant Koch,Pittsburgh Pirates	Rookie,US28	Grant Koch	Pittsburgh Pirates	Rookie,False
2026_topps_update,2026,Topps,Update,BASE SET,,US29,Luis Matos,San Francisco Giants,US29	Luis Matos	San Francisco Giants,False
2026_topps_update,2026,Topps,Update,BASE SET,,US30,Eric Haase,Milwaukee Brewers,US30	Eric Haase	Milwaukee Brewers,False
2026_topps_update,2026,Topps,Update,BASE SET,,US31,Zach Agnos,Colorado Rockies	Rookie,US31	Zach Agnos	Colorado Rockies	Rookie,False
2026_topps_update,2026,Topps,Update,BASE SET,,US32,Braxton Ashcraft,Pittsburgh Pirates	Rookie,US32	Braxton Ashcraft	Pittsburgh Pirates	Rookie,False
2026_topps_update,2026,Topps,Update,BASE SET,,US33,Travis d'Arnaud,Angels,US33	Travis d'Arnaud	Angels,False
2026_topps_update,2026,Topps,Update,BASE SET,,US34,Hayden Birdsong,San Francisco Giants	Rookie Debut,US34	Hayden Birdsong	San Francisco Giants	Rookie Debut,False
