set_key,year,brand,product,section,section_card_count,card_number,player_slot,player_name_raw,affiliation_raw,is_multi_player,raw_line
2024_bowman_chrome,2024,Bowman,Chrome,Base,,1,1,Bobby Witt Jr.,Kansas City Royals,False,Base	1	Bobby Witt Jr.	Kansas City Royals
2024_bowman_chrome,2024,Bowman,Chrome,Base,,2,1,Royce Lewis,Minnesota Twins,False,Base	2	Royce Lewis	Minnesota Twins
2024_bowman_chrome,2024,Bowman,Chrome,Base,,3,1,Corbin Carroll,Arizona Diamondbacks,False,Base	3	Corbin Carroll	Arizona Diamondbacks
2024_bowman_chrome,2024,Bowman,Chrome,Base,,4,1,Noelvi Marte,Cincinnati Reds	RC,False,Base	4	Noelvi Marte	Cincinnati Reds	RC
2024_bowman_chrome,2024,Bowman,Chrome,Base,,5,1,Ceddanne Rafaela,Boston Red Sox	RC,False,Base	5	Ceddanne Rafaela	Boston Red Sox	RC
2024_bowman_chrome,2024,Bowman,Chrome,Base,,6,1,Marcus Semien,Texas Rangers,False,Base	6	Marcus Semien	Texas Rangers
2024_bowman_chrome,2024,Bowman,Chrome,Base,,7,1,Henry Davis,Pittsburgh Pirates	(RC),False,Base	7	Henry Davis	Pittsburgh Pirates	(RC)
2024_bowman_chrome,2024,Bowman,Chrome,Base,,8,1,Triston Casas,Boston Red Sox,False,Base	8	Triston Casas	Boston Red Sox
2024_bowman_chrome,2024,Bowman,Chrome,Base,,9,1,Gunnar Henderson,Baltimore Orioles,False,Base	9	Gunnar Henderson	Baltimore Orioles
2024_bowman_chrome,2024,Bowman,Chrome,Base,,10,1,Jordan Wicks,Chicago Cubs	RC,False,Base	10	Jordan Wicks	Chicago Cubs	RC
2024_bowman_chrome,2024,Bowman,Chrome,Base,,11,1,Matt Olson,Atlanta Braves,False,Base	11	Matt Olson	Atlanta Braves
2024_bowman_chrome,2024,Bowman,Chrome,Base,,12,1,Manny Machado,San Diego Padres,False,Base	12	Manny Machado	San Diego Padres
2024_bowman_chrome,2024,Bowman,Chrome,Base,,13,1,Davis Schneider,Toronto Blue Jays	RC,False,Base	13	Davis Schneider	Toronto Blue Jays	RC
