set_key,year,brand,product,section,section_card_count,card_number,player_slot,player_name_raw,affiliation_raw,is_multi_player,raw_line
2024_bowman_draft,2024,Bowman,Draft,Bowman Base,,BD-1,1,Travis Bazzana,Cleveland Guardians,False,Bowman Base	BD-1	Travis Bazzana	Cleveland Guardians
2024_bowman_draft,2024,Bowman,Draft,Bowman Base,,BD-2,1,Hagen Smith,Chicago White Sox,False,Bowman Base	BD-2	Hagen Smith	Chicago White Sox
2024_bowman_draft,2024,Bowman,Draft,Bowman Base,,BD-3,1,Josh Hartle,Pittsburgh Pirates,False,Bowman Base	BD-3	Josh Hartle	Pittsburgh Pirates
2024_bowman_draft,2024,Bowman,Draft,Bowman Base,,BD-4,1,Thayron Liranzo,Detroit Tigers,False,Bowman Base	BD-4	Thayron Liranzo	Detroit Tigers
2024_bowman_draft,2024,Bowman,Draft,Bowman Base,,BD-5,1,Luis Guanipa,Atlanta Braves,False,Bowman Base	BD-5	Luis Guanipa	Atlanta Braves
2024_bowman_draft,2024,Bowman,Draft,Bowman Base,,BD-6,1,Jaron DeBerry,Milwaukee Brewers,False,Bowman Base	BD-6	Jaron DeBerry	Milwaukee Brewers
2024_bowman_draft,2024,Bowman,Draft,Bowman Base,,BD-7,1,Ethan Schiefelbein,Detroit Tigers,False,Bowman Base	BD-7	Ethan Schiefelbein	Detroit Tigers
2024_bowman_draft,2024,Bowman,Draft,Bowman Base,,BD-8,1,Jac Caglianone,Kansas City Royals,False,Bowman Base	BD-8	Jac Caglianone	Kansas City Royals
2024_bowman_draft,2024,Bowman,Draft,Bowman Base,,BD-9,1,Cole Messina,Colorado Rockies,False,Bowman Base	BD-9	Cole Messina	Colorado Rockies
2024_bowman_draft,2024,Bowman,Draft,Bowman Base,,BD-10,1,Gage Ziehl,New York Yankees,False,Bowman Base	BD-10	Gage Ziehl	New York Yankees
2024_bowman_draft,2024,Bowman,Draft,Bowman Base,,BD-11,1,Jared Thomas,Colorado Rockies,False,Bowman Base	BD-11	Jared Thomas	Colorado Rockies
2024_bowman_draft,2024,Bowman,Draft,Bowman Base,,BD-12,1,Carter Johnson,Miami Marlins,False,Bowman Base	BD-12	Carter Johnson	Miami Marlins
2024_bowman_draft,2024,Bowman,Draft,Bowman Base,,BD-13,1,Christian Moore,Los Angeles Angels,False,Bowman Base	BD-13	Christian Moore	Los Angeles Angels
2024_bowman_draft,2024,Bowman,Draft,Bowman Base,,BD-14,1,Nick McLain,Chicago White Sox,False,Bowman Base	BD-14	Nick McLain	Chicago White Sox
2024_bowman_draft,2024,Bowman,Draft,Bowman Base,,BD-15,1,Colt Emerson,Seattle Mariners,False,Bowman Base	BD-15	Colt Emerson	Seattle Mariners
2024_bowman_draft,2024,Bowman,Draft,Bowman Base,,BD-16,1,Dante Nori,Philadelphia Phillies,False,Bowman Base	BD-16	Dante Nori	Philadelphia Phillies
2024_bowman_draft,2024,Bowman,Draft,Bowman Base,,BD-17,1,Woody Hadeen,Detroit Tigers,False,Bowman Base	BD-17	Woody Hadeen	Detroit Tigers
2024_bowman_draft,2024,Bowman,Draft,Bowman Base,,BD-18,1,Ryan Waldschmidt,Arizona Diamondbacks,False,Bowman Base	BD-18	Ryan Waldschmidt	Arizona Diamondbacks
2024_bowman_draft,2024,Bowman,Draft,Bowman Base,,BD-19,1,Roman Anthony,Boston Red Sox,False,Bowman Base	BD-19	Roman Anthony	Boston Red Sox
2024_bowman_draft,2024,Bowman,Draft,Bowman Base,,BD-20,1,Cam Caminiti,Atlanta Braves,False,Bowman Base	BD-20	Cam Caminiti	Atlanta Braves
2024_bowman_draft,2024,Bowman,Draft,Bowman Base,,BD-21,1,Griff O'Ferrall,Baltimore Orioles,False,Bowman Base	BD-21	Griff O'Ferrall	Baltimore Orioles
2024_bowman_draft,2024,Bowman,Draft,Bowman Base,,BD-22,1,Konnor Griffin,Pittsburgh Pirates,False,Bowman Base	BD-22	Konnor Griffin	Pittsburgh Pirates
2024_bowman_draft,2024,Bowman,Draft,Bowman Base,,BD-23,1,Rhett Lowder,Cincinnati Reds,False,Bowman Base	BD-23	Rhett Lowder	Cincinnati Reds
2024_bowman_draft,2024,Bowman,Draft,Bowman Base,,BD-24,1,Kellon Lindsey,Los Angeles Dodgers,False,Bowman Base	BD-24	Kellon Lindsey	Los Angeles Dodgers
2024_bowman_draft,2024,Bowman,Draft,Bowman Base,,BD-25,1,Harry Ford,Seattle Mariners,False,Bowman Base	BD-25	Harry Ford	Seattle Mariners
2024_bowman_draft,2024,Bowman,Draft,Bowman Base,,BD-26,1,Matt Shaw,Chicago Cubs,False,Bowman Base	BD-26	Matt Shaw	Chicago Cubs
2024_bowman_draft,2024,Bowman,Draft,Bowman Base,,BD-27,1,Blake Wright,Colorado Rockies,False,Bowman Base	BD-27	Blake Wright	Colorado Rockies
2024_bowman_draft,2024,Bowman,Draft,Bowman Base,,BD-28,1,Carson Benge,New York Mets,False,Bowman Base	BD-28	Carson Benge	New York Mets
2024_bowman_draft,2024,Bowman,Draft,Bowman Base,,BD-29,1,Ivan Luciano,Arizona Diamondbacks,False,Bowman Base	BD-29	Ivan Luciano	Arizona Diamondbacks
2024_bowman_draft,2024,Bowman,Draft,Bowman Base,,BD-30,1,Jacob Cozart,Cleveland Guardians,False,Bowman Base	BD-30	Jacob Cozart	Cleveland Guardians
2024_bowman_draft,2024,Bowman,Draft,Bowman Base,,BD-31,1,Caleb Bonemer,Chicago White Sox,False,Bowman Base	BD-31	Caleb Bonemer	Chicago White Sox
2024_bowman_draft,2024,Bowman,Draft,Bowman Base,,BD-32,1,Mike Sirota,Cincinnati Reds,False,Bowman Base	BD-32	Mike Sirota	Cincinnati Reds
2024_bowman_draft,2024,Bowman,Draft,Bowman Base,,BD-33,1,Casey Saucke,Chicago White Sox,False,Bowman Base	BD-33	Casey Saucke	Chicago White Sox
2024_bowman_draft,2024,Bowman,Draft,Bowman Base,,BD-34,1,Boston Bateman,San Diego Padres,False,Bowman Base	BD-34	Boston Bateman	San Diego Padres
2024_bowman_draft,2024,Bowman,Draft,Bowman Base,,BD-35,1,JD Dix,Arizona Diamondbacks,False,Bowman Base	BD-35	JD Dix	Arizona Diamondbacks
2024_bowman_draft,2024,Bowman,Draft,Bowman Base,,BD-36,1,Johnny King,Toronto Blue Jays,False,Bowman Base	BD-36	Johnny King	Toronto Blue Jays
2024_bowman_draft,2024,Bowman,Draft,Bowman Base,,BD-37,1,Braylon Doughty,Cleveland Guardians,False,Bowman Base	BD-37	Braylon Doughty	Cleveland Guardians
2024_bowman_draft,2024,Bowman,Draft,Bowman Base,,BD-38,1,Noble Meyer,Miami Marlins,False,Bowman Base	BD-38	Noble Meyer	Miami Marlins
2024_bowman_draft,2024,Bowman,Draft,Bowman Base,,BD-39,1,Brody Brecht,Colorado Rockies,False,Bowman Base	BD-39	Brody Brecht	Colorado Rockies
2024_bowman_draft,2024,Bowman,Draft,Bowman Base,,BD-40,1,James Tibbs III,San Francisco Giants,False,Bowman Base	BD-40	James Tibbs III	San Francisco Giants
2024_bowman_draft,2024,Bowman,Draft,Bowman Base,,BD-41,1,Ryan Johnson,Los Angeles Angels,False,Bowman Base	BD-41	Ryan Johnson	Los Angeles Angels
2024_bowman_draft,2024,Bowman,Draft,Bowman Base,,BD-42,1,Dylan Dreiling,Texas Rangers,False,Bowman Base	BD-42	Dylan Dreiling	Texas Rangers
2024_bowman_draft,2024,Bowman,Draft,Bowman Base,,BD-43,1,Tink Hence,St. Louis Cardinals,False,Bowman Base	BD-43	Tink Hence	St. Louis Cardinals
2024_bowman_draft,2024,Bowman,Draft,Bowman Base,,BD-44,1,Tyson Lewis,Cincinnati Reds,False,Bowman Base	BD-44	Tyson Lewis	Cincinnati Reds
2024_bowman_draft,2024,Bowman,Draft,Bowman Base,,BD-45,1,Ty Southisene,Chicago Cubs,False,Bowman Base	BD-45	Ty Southisene	Chicago Cubs
2024_bowman_draft,2024,Bowman,Draft,Bowman Base,,BD-46,1,Dalton Rushing,Los Angeles Dodgers,False,Bowman Base	BD-46	Dalton Rushing	Los Angeles Dodgers
2024_bowman_draft,2024,Bowman,Draft,Bowman Base,,BD-47,1,Josue De Paula,Los Angeles Dodgers,False,Bowman Base	BD-47	Josue De Paula	Los Angeles Dodgers
2024_bowman_draft,2024,Bowman,Draft,Bowman Base,,BD-48,1,Bryce Eldridge,San Francisco Giants,False,Bowman Base	BD-48	Bryce Eldridge	San Francisco Giants
2024_bowman_draft,2024,Bowman,Draft,Bowman Base,,BD-49,1,John Spikerman,Philadelphia Phillies,False,Bowman Base	BD-49	John Spikerman	Philadelphia Phillies
2024_bowman_draft,2024,Bowman,Draft,Bowman Base,,BD-50,1,Connor Foley,Arizona Diamondbacks,False,Bowman Base	BD-50	Connor Foley	Arizona Diamondbacks
2024_bowman_draft,2024,Bowman,Draft,Bowman Base,,BD-51,1,Tyson Neighbors,San Diego Padres,False,Bowman Base	BD-51	Tyson Neighbors	San Diego Padres
2024_bowman_draft,2024,Bowman,Draft,Bowman Base,,BD-52,1,Ryan Clifford,New York Mets,False,Bowman Base	BD-52	Ryan Clifford	New York Mets
2024_bowman_draft,2024,Bowman,Draft,Bowman Base,,BD-53,1,Daniel Eagen,Arizona Diamondbacks,False,Bowman Base	BD-53	Daniel Eagen	Arizona Diamondbacks
2024_bowman_draft,2024,Bowman,Draft,Bowman Base,,BD-54,1,Josh Kuroda-Grauer,Oakland Athletics,False,Bowman Base	BD-54	Josh Kuroda-Grauer	Oakland Athletics
2024_bowman_draft,2024,Bowman,Draft,Bowman Base,,BD-55,1,Chase Burns,Cincinnati Reds,False,Bowman Base	BD-55	Chase Burns	Cincinnati Reds
2024_bowman_draft,2024,Bowman,Draft,Bowman Base,,BD-56,1,Nick Kurtz,Oakland Athletics,False,Bowman Base	BD-56	Nick Kurtz	Oakland Athletics
2024_bowman_draft,2024,Bowman,Draft,Bowman Base,,BD-57,1,Kavares Tears,San Diego Padres,False,Bowman Base	BD-57	Kavares Tears	San Diego Padres
2024_bowman_draft,2024,Bowman,Draft,Bowman Base,,BD-58,1,Braden Montgomery,Boston Red Sox,False,Bowman Base	BD-58	Braden Montgomery	Boston Red Sox
2024_bowman_draft,2024,Bowman,Draft,Bowman Base,,BD-59,1,Khal Stephen,Toronto Blue Jays,False,Bowman Base	BD-59	Khal Stephen	Toronto Blue Jays
2024_bowman_draft,2024,Bowman,Draft,Bowman Base,,BD-60,1,Griffin Burkholder,Philadelphia Phillies,False,Bowman Base	BD-60	Griffin Burkholder	Philadelphia Phillies
2024_bowman_draft,2024,Bowman,Draft,Bowman Base,,BD-61,1,Zac Veen,Colorado Rockies,False,Bowman Base	BD-61	Zac Veen	Colorado Rockies
2024_bowman_draft,2024,Bowman,Draft,Bowman Base,,BD-62,1,Seaver King,Washington Nationals,False,Bowman Base	BD-62	Seaver King	Washington Nationals
2024_bowman_draft,2024,Bowman,Draft,Bowman Base,,BD-63,1,Payton Tolle,Boston Red Sox,False,Bowman Base	BD-63	Payton Tolle	Boston Red Sox
2024_bowman_draft,2024,Bowman,Draft,Bowman Base,,BD-64,1,Gage Miller,Miami Marlins,False,Bowman Base	BD-64	Gage Miller	Miami Marlins
