set_key,year,brand,product,section,section_card_count,card_number,player_slot,player_name_raw,affiliation_raw,is_multi_player,raw_line
2024_bowman,2024,Bowman,Bowman,Base,,1,1,Kodai Senga,New York Mets,False,Base	1	Kodai Senga	New York Mets
2024_bowman,2024,Bowman,Bowman,Base,,2,1,Masyn Winn,St. Louis Cardinals	RC,False,Base	2	Masyn Winn	St. Louis Cardinals	RC
2024_bowman,2024,Bowman,Bowman,Base,,3,1,Spencer Steer,Cincinnati Reds,False,Base	3	Spencer Steer	Cincinnati Reds
2024_bowman,2024,Bowman,Bowman,Base,,4,1,Trea Turner,Philadelphia Phillies,False,Base	4	Trea Turner	Philadelphia Phillies
2024_bowman,2024,Bowman,Bowman,Base,,5,1,Masataka Yoshida,Boston Red Sox,False,Base	5	Masataka Yoshida	Boston Red Sox
2024_bowman,2024,Bowman,Bowman,Base,,6,1,Adolis García,Texas Rangers,False,Base	6	Adolis García	Texas Rangers
2024_bowman,2024,Bowman,Bowman,Base,,7,1,Aaron Judge,New York Yankees,False,Base	7	Aaron Judge	New York Yankees
2024_bowman,2024,Bowman,Bowman,Base,,8,1,Sandy Alcantara,Miami Marlins,False,Base	8	Sandy Alcantara	Miami Marlins
2024_bowman,2024,Bowman,Bowman,Base,,9,1,Heston Kjerstad,Baltimore Orioles	RC,False,Base	9	Heston Kjerstad	Baltimore Orioles	RC
2024_bowman,2024,Bowman,Bowman,Base,,10,1,Rafael Devers,Boston Red Sox,False,Base	10	Rafael Devers	Boston Red Sox
2024_bowman,2024,Bowman,Bowman,Base,,11,1,Kyle Harrison,San Francisco Giants	RC,False,Base	11	Kyle Harrison	San Francisco Giants	RC
2024_bowman,2024,Bowman,Bowman,Base,,12,1,Luis Matos,San Francisco Giants	RC,False,Base	12	Luis Matos	San Francisco Giants	RC
2024_bowman,2024,Bowman,Bowman,Base,,13,1,Ronny Mauricio,New York Mets	RC,False,Base	13	Ronny Mauricio	New York Mets	RC
2024_bowman,2024,Bowman,Bowman,Base,,14,1,Zack Gelof,Oakland Athletics	RC,False,Base	14	Zack Gelof	Oakland Athletics	RC
2024_bowman,2024,Bowman,Bowman,Base,,15,1,Tyler Soderstrom,Oakland Athletics	RC,False,Base	15	Tyler Soderstrom	Oakland Athletics	RC
2024_bowman,2024,Bowman,Bowman,Base,,16,1,Riley Greene,Detroit Tigers,False,Base	16	Riley Greene	Detroit Tigers
2024_bowman,2024,Bowman,Bowman,Base,,17,1,Jasson Domínguez,New York Yankees	(RC),False,Base	17	Jasson Domínguez	New York Yankees	(RC)
2024_bowman,2024,Bowman,Bowman,Base,,18,1,Marco Luciano,San Francisco Giants	(RC),False,Base	18	Marco Luciano	San Francisco Giants	(RC)
2024_bowman,2024,Bowman,Bowman,Base,,19,1,Mike Trout,Los Angeles Angels,False,Base	19	Mike Trout	Los Angeles Angels
2024_bowman,2024,Bowman,Bowman,Base,,20,1,Junior Caminero,Tampa Bay Rays	RC,False,Base	20	Junior Caminero	Tampa Bay Rays	RC
2024_bowman,2024,Bowman,Bowman,Base,,21,1,Alexander Canario,Chicago Cubs	RC,False,Base	21	Alexander Canario	Chicago Cubs	RC
2024_bowman,2024,Bowman,Bowman,Base,,22,1,Elly De La Cruz,Cincinnati Reds	RC,False,Base	22	Elly De La Cruz	Cincinnati Reds	RC
2024_bowman,2024,Bowman,Bowman,Base,,23,1,Carlos Correa,Minnesota Twins,False,Base	23	Carlos Correa	Minnesota Twins
2024_bowman,2024,Bowman,Bowman,Base,,24,1,Corey Seager,Texas Rangers,False,Base	24	Corey Seager	Texas Rangers
2024_bowman,2024,Bowman,Bowman,Base,,25,1,Corbin Carroll,Arizona Diamondbacks,False,Base	25	Corbin Carroll	Arizona Diamondbacks
2024_bowman,2024,Bowman,Bowman,Base,,26,1,CJ Abrams,Washington Nationals,False,Base	26	CJ Abrams	Washington Nationals
