set_key,year,brand,product,section,section_card_count,card_number,player_slot,player_name_raw,affiliation_raw,is_multi_player,raw_line
2024_topps_chrome_update,2024,Topps,Chrome Update,Base,,USC1,1,Juan Soto,New York Yankees,False,Base	USC1	Juan Soto	New York Yankees
2024_topps_chrome_update,2024,Topps,Chrome Update,Base,,USC2,1,Jorge Soler,Atlanta Braves,False,Base	USC2	Jorge Soler	Atlanta Braves
2024_topps_chrome_update,2024,Topps,Chrome Update,Base,,USC3,1,Christopher Morel,Tampa Bay Rays,False,Base	USC3	Christopher Morel	Tampa Bay Rays
2024_topps_chrome_update,2024,Topps,Chrome Update,Base,,USC4,1,Carlos Carrasco,Cleveland Guardians,False,Base	USC4	Carlos Carrasco	Cleveland Guardians
2024_topps_chrome_update,2024,Topps,Chrome Update,Base,,USC5,1,Mitch Garver,Seattle Mariners,False,Base	USC5	Mitch Garver	Seattle Mariners
2024_topps_chrome_update,2024,Topps,Chrome Update,Base,,USC6,1,Aroldis Chapman,Pittsburgh Pirates,False,Base	USC6	Aroldis Chapman	Pittsburgh Pirates
2024_topps_chrome_update,2024,Topps,Chrome Update,Base,,USC7,1,Joey Gallo,Washington Nationals,False,Base	USC7	Joey Gallo	Washington Nationals
2024_topps_chrome_update,2024,Topps,Chrome Update,Base,,USC8,1,Colt Keith,Detroit Tigers	RC,False,Base	USC8	Colt Keith	Detroit Tigers	RC
2024_topps_chrome_update,2024,Topps,Chrome Update,Base,,USC9,1,Naoyuki Uwasawa,Boston Red Sox	RC,False,Base	USC9	Naoyuki Uwasawa	Boston Red Sox	RC
2024_topps_chrome_update,2024,Topps,Chrome Update,Base,,USC10,1,Zach Eflin,Baltimore Orioles,False,Base	USC10	Zach Eflin	Baltimore Orioles
2024_topps_chrome_update,2024,Topps,Chrome Update,Base,,USC11,1,Michael Lorenzen,Kansas City Royals,False,Base	USC11	Michael Lorenzen	Kansas City Royals
2024_topps_chrome_update,2024,Topps,Chrome Update,Base,,USC12,1,Jonathan Cannon,Chicago White Sox	RC,False,Base	USC12	Jonathan Cannon	Chicago White Sox	RC
2024_topps_chrome_update,2024,Topps,Chrome Update,Base,,USC13,1,Mitchell Parker,Washington Nationals	RC,False,Base	USC13	Mitchell Parker	Washington Nationals	RC
