set_key,year,brand,product,section,section_card_count,card_number,player_slot,player_name_raw,affiliation_raw,is_multi_player,raw_line
2025_bowman_draft,2025,Bowman,Draft,Base Set,200,BD-1,1,"Eli Willits,",Washington Nationals,False,"BD-1	Eli Willits,	Washington Nationals"
2025_bowman_draft,2025,Bowman,Draft,Base Set,200,BD-2,1,"Xavier Neyens,",Houston Astros,False,"BD-2	Xavier Neyens,	Houston Astros"
2025_bowman_draft,2025,Bowman,Draft,Base Set,200,BD-3,1,"Kade Anderson,",Seattle Mariners,False,"BD-3	Kade Anderson,	Seattle Mariners"
2025_bowman_draft,2025,Bowman,Draft,Base Set,200,BD-4,1,"Gage Wood,",Philadelphia Phillies,False,"BD-4	Gage Wood,	Philadelphia Phillies"
2025_bowman_draft,2025,Bowman,Draft,Base Set,200,BD-5,1,"Max Belyeu,",Colorado Rockies,False,"BD-5	Max Belyeu,	Colorado Rockies"
2025_bowman_draft,2025,Bowman,Draft,Base Set,200,BD-6,1,"Aidan West,",Los Angeles Dodgers,False,"BD-6	Aidan West,	Los Angeles Dodgers"
2025_bowman_draft,2025,Bowman,Draft,Base Set,200,BD-7,1,"Taitn Gray,",Tampa Bay Rays,False,"BD-7	Taitn Gray,	Tampa Bay Rays"
2025_bowman_draft,2025,Bowman,Draft,Base Set,200,BD-8,1,"JoJo Parker,",Toronto Blue Jays,False,"BD-8	JoJo Parker,	Toronto Blue Jays"
2025_bowman_draft,2025,Bowman,Draft,Base Set,200,BD-9,1,"Spencer Jones,",New York Yankees,False,"BD-9	Spencer Jones,	New York Yankees"
2025_bowman_draft,2025,Bowman,Draft,Base Set,200,BD-10,1,"Billy Carlson,",Chicago White Sox,False,"BD-10	Billy Carlson,	Chicago White Sox"
2025_bowman_draft,2025,Bowman,Draft,Base Set,200,BD-11,1,"Mike Sirota,",Los Angeles Dodgers,False,"BD-11	Mike Sirota,	Los Angeles Dodgers"
2025_bowman_draft,2025,Bowman,Draft,Base Set,200,BD-12,1,"Liam Doyle,",St. Louis Cardinals,False,"BD-12	Liam Doyle,	St. Louis Cardinals"
2025_bowman_draft,2025,Bowman,Draft,Base Set,200,BD-13,1,"Franklin Arias,",Boston Red Sox,False,"BD-13	Franklin Arias,	Boston Red Sox"
2025_bowman_draft,2025,Bowman,Draft,Base Set,200,BD-14,1,"J.D. Thompson,",Milwaukee Brewers,False,"BD-14	J.D. Thompson,	Milwaukee Brewers"
2025_bowman_draft,2025,Bowman,Draft,Base Set,200,BD-15,1,"Gavin Fien,",Texas Rangers,False,"BD-15	Gavin Fien,	Texas Rangers"
2025_bowman_draft,2025,Bowman,Draft,Base Set,200,BD-16,1,"Ike Irish,",Baltimore Orioles,False,"BD-16	Ike Irish,	Baltimore Orioles"
2025_bowman_draft,2025,Bowman,Draft,Base Set,200,BD-17,1,"Ethan Conrad,",Chicago Cubs,False,"BD-17	Ethan Conrad,	Chicago Cubs"
2025_bowman_draft,2025,Bowman,Draft,Base Set,200,BD-18,1,"Braden Montgomery,",Chicago White Sox,False,"BD-18	Braden Montgomery,	Chicago White Sox"
2025_bowman_draft,2025,Bowman,Draft,Base Set,200,BD-19,1,"Roc Riggio,",Colorado Rockies,False,"BD-19	Roc Riggio,	Colorado Rockies"
2025_bowman_draft,2025,Bowman,Draft,Base Set,200,BD-20,1,"Steele Hall,",Cincinnati Reds,False,"BD-20	Steele Hall,	Cincinnati Reds"
