set_key,year,brand,product,section,section_card_count,card_number,player_slot,player_name_raw,affiliation_raw,is_multi_player,raw_line
2025_topps_series1,2025,Topps,Series 1,1990 Topps Baseball Checklist,100,T90-1,1,Mike Trout,Los Angeles Angels,False,T90-1	Mike Trout	Los Angeles Angels
2025_topps_series1,2025,Topps,Series 1,1990 Topps Baseball Checklist,100,T90-2,1,Mike Schmidt,Philadelphia Phillies,False,T90-2	Mike Schmidt	Philadelphia Phillies
2025_topps_series1,2025,Topps,Series 1,1990 Topps Baseball Checklist,100,T90-3,1,Barry Larkin,Cincinnati Reds,False,T90-3	Barry Larkin	Cincinnati Reds
2025_topps_series1,2025,Topps,Series 1,1990 Topps Baseball Checklist,100,T90-4,1,Corey Seager,Texas Rangers,False,T90-4	Corey Seager	Texas Rangers
2025_topps_series1,2025,Topps,Series 1,1990 Topps Baseball Checklist,100,T90-5,1,Yadier Molina,St. Louis Cardinals,False,T90-5	Yadier Molina	St. Louis Cardinals
2025_topps_series1,2025,Topps,Series 1,1990 Topps Baseball Checklist,100,T90-6,1,Tyler Locklear,Seattle Mariners	Rookie,False,T90-6	Tyler Locklear	Seattle Mariners	Rookie
2025_topps_series1,2025,Topps,Series 1,1990 Topps Baseball Checklist,100,T90-7,1,Wade Boggs,Boston Red Sox,False,T90-7	Wade Boggs	Boston Red Sox
2025_topps_series1,2025,Topps,Series 1,1990 Topps Baseball Checklist,100,T90-8,1,Drew Thorpe,Chicago White Sox	Rookie,False,T90-8	Drew Thorpe	Chicago White Sox	Rookie
2025_topps_series1,2025,Topps,Series 1,1990 Topps Baseball Checklist,100,T90-9,1,Jose Altuve,Houston Astros,False,T90-9	Jose Altuve	Houston Astros
2025_topps_series1,2025,Topps,Series 1,1990 Topps Baseball Checklist,100,T90-10,1,Juan Soto,New York Yankees,False,T90-10	Juan Soto	New York Yankees
2025_topps_series1,2025,Topps,Series 1,1990 Topps Baseball Checklist,100,T90-11,1,Jackie Robinson,Brooklyn Dodgers,False,T90-11	Jackie Robinson	Brooklyn Dodgers
2025_topps_series1,2025,Topps,Series 1,1990 Topps Baseball Checklist,100,T90-12,1,Vladimir Guerrero Jr.,Toronto Blue Jays,False,T90-12	Vladimir Guerrero Jr.	Toronto Blue Jays
2025_topps_series1,2025,Topps,Series 1,1990 Topps Baseball Checklist,100,T90-13,1,Matt Olson,Atlanta Braves,False,T90-13	Matt Olson	Atlanta Braves
