set_key,year,brand,product,section,section_card_count,card_number,player_slot,player_name_raw,affiliation_raw,is_multi_player,raw_line
2026_topps_update,2026,Topps,Update,BASE SET,,US1,1,Kristian Campbell,Boston Red Sox	Rookie,False,US1	Kristian Campbell	Boston Red Sox	Rookie
2026_topps_update,2026,Topps,Update,BASE SET,,US2,1,Zac Veen,Colorado Rockies	Rookie Debut,False,US2	Zac Veen	Colorado Rockies	Rookie Debut
2026_topps_update,2026,Topps,Update,BASE SET,,US3,1,Jamie Westbrook,Tampa Bay Rays	Rookie,False,US3	Jamie Westbrook	Tampa Bay Rays	Rookie
2026_topps_update,2026,Topps,Update,BASE SET,,US4,1,Alex Verdugo,Atlanta Braves,False,US4	Alex Verdugo	Atlanta Braves
2026_topps_update,2026,Topps,Update,BASE SET,,US5,1,Jeff Criswell,Colorado Rockies	Rookie,False,US5	Jeff Criswell	Colorado Rockies	Rookie
2026_topps_update,2026,Topps,Update,BASE SET,,US6,1,Levi Jordan,Cincinnati Reds	Rookie,False,US6	Levi Jordan	Cincinnati Reds	Rookie
2026_topps_update,2026,Topps,Update,BASE SET,,US7,1,Christian Vázquez,Minnesota Twins,False,US7	Christian Vázquez	Minnesota Twins
2026_topps_update,2026,Topps,Update,BASE SET,,US8,1,Tanner Gordon,Colorado Rockies	Rookie,False,US8	Tanner Gordon	Colorado Rockies	Rookie
2026_topps_update,2026,Topps,Update,BASE SET,,US9,1,Jeff Hoffman,Toronto Blue Jays,False,US9	Jeff Hoffman	Toronto Blue Jays
2026_topps_update,2026,Topps,Update,BASE SET,,US10,1,Alejandro Osuna,Texas Rangers	Rookie,False,US10	Alejandro Osuna	Texas Rangers	Rookie
2026_topps_update,2026,Topps,Update,BASE SET,,US11,1,Agustín Ramírez,Miami Marlins	Rookie,False,US11	Agustín Ramírez	Miami Marlins	Rookie
2026_topps_update,2026,Topps,Update,BASE SET,,US12,1,Andrés Muñoz,Seattle Mariners,False,US12	Andrés Muñoz	Seattle Mariners
