set_key,year,brand,product,player_name_key,player_name_display,card_count,section_count,sections,affiliation_count,affiliations
2024_bowman,2024,Bowman,Bowman,aaron judge,Aaron Judge,2,2,55 Bowman Anime|Base,1,New York Yankees
2024_bowman,2024,Bowman,Bowman,abimelec ortiz,Abimelec Ortiz,3,3,Bowman Chrome Prospects|Bowman Prospects|Chrome Prospect Autographs,1,Texas Rangers
2024_bowman,2024,Bowman,Bowman,abraham nunez,Abraham Nunez,2,2,Bowman Chrome Prospects|Bowman Prospects,1,Chicago White Sox
2024_bowman,2024,Bowman,Bowman,adael amador,Adael Amador,2,2,Bowman Scouts' Top 100|Bowman Scouts' Top 100 Autographs,1,Colorado Rockies
2024_bowman,2024,Bowman,Bowman,adley rutschman,Adley Rutschman,1,1,Base,1,Baltimore Orioles
2024_bowman,2024,Bowman,Bowman,adolis garcía,Adolis García,1,1,Base,1,Texas Rangers
2024_bowman,2024,Bowman,Bowman,adrian santana,Adrian Santana,2,2,Bowman Chrome Prospects|Bowman Prospects,1,Tampa Bay Rays
2024_bowman,2024,Bowman,Bowman,agustin ramirez,Agustin Ramirez,3,3,Bowman Chrome Prospects|Bowman Prospects|Chrome Prospect Autographs,1,New York Yankees
2024_bowman,2024,Bowman,Bowman,aidan miller,Aidan Miller,13,14,All America Game Autographs|Bowman Chrome Prospects|Bowman Prospects|Bowman Scouts' Top 100|Bowman Scouts' Top 100 Autographs|Chrome Prospect Autographs|Chrome Prospects Special Die-Cut Variations|Gladiators of the Diamond|Gladiators of the Diamond Autographs|Origin of Greatness|Prospect Power-Up|Prospects Power-Up Autographs|Rising Infernos|Rising Infernos Autographs,1,Philadelphia Phillies
2024_bowman,2024,Bowman,Bowman,aidan smith,Aidan Smith,3,3,Bowman Chrome Prospects|Bowman Prospects|Chrome Prospect Autographs,1,Seattle Mariners
2024_bowman,2024,Bowman,Bowman,aj smith-shawver,AJ Smith-Shawver,1,1,Base,1,Atlanta Braves	RC
2024_bowman,2024,Bowman,Bowman,alberto rios,Alberto Rios,2,2,Bowman Chrome Prospects|Bowman Prospects,1,Los Angeles Angels
2024_bowman,2024,Bowman,Bowman,alex ramírez,Alex Ramírez,1,1,Bowman Scouts' Top 100,1,New York Mets
2024_bowman,2024,Bowman,Bowman,alex verdugo,Alex Verdugo,1,1,Base,1,New York Yankees
2024_bowman,2024,Bowman,Bowman,alexander canario,Alexander Canario,2,2,Base|Chrome Rookie Autographs,2,Chicago Cubs|Chicago Cubs	RC
2024_bowman,2024,Bowman,Bowman,alfonsin rosario,Alfonsin Rosario,1,1,Chrome Prospect Autographs,1,Chicago Cubs
2024_bowman,2024,Bowman,Bowman,alfredo duno,Alfredo Duno,4,4,Bowman Chrome Prospects|Bowman Prospects|Bowman Scouts' Top 100|Bowman Scouts' Top 100 Autographs,1,Cincinnati Reds
2024_bowman,2024,Bowman,Bowman,allan castro,Allan Castro,3,3,Bowman Chrome Prospects|Bowman Prospects|Chrome Prospect Autographs,1,Boston Red Sox
2024_bowman,2024,Bowman,Bowman,andrew abbott,Andrew Abbott,1,1,Base,1,Cincinnati Reds	RC
2024_bowman,2024,Bowman,Bowman,andrew painter,Andrew Painter,1,1,Bowman Scouts' Top 100,1,Philadelphia Phillies
2024_bowman,2024,Bowman,Bowman,aneudis mordán,Aneudis Mordán,1,1,Chrome Prospect Autographs,1,Baltimore Orioles
2024_bowman,2024,Bowman,Bowman,anthony baptist,Anthony Baptist,3,3,Bowman Chrome Prospects|Bowman Prospects|Chrome Prospect Autographs,1,New York Mets
2024_bowman,2024,Bowman,Bowman,anthony huezo,Anthony Huezo,3,3,Bowman Chrome Prospects|Bowman Prospects|Chrome Prospect Autographs,1,Houston Astros
2024_bowman,2024,Bowman,Bowman,anthony scull,Anthony Scull,3,3,Bowman Chrome Prospects|Bowman Prospects|Chrome Prospect Autographs,1,Los Angeles Angels
2024_bowman,2024,Bowman,Bowman,anthony solometo,Anthony Solometo,1,1,Bowman Scouts' Top 100,1,Pittsburgh Pirates
2024_bowman,2024,Bowman,Bowman,anthony volpe,Anthony Volpe,1,1,Base,1,New York Yankees
2024_bowman,2024,Bowman,Bowman,antonio anderson,Antonio Anderson,3,3,Bowman Chrome Prospects|Bowman Prospects|Chrome Prospect Autographs,1,Boston Red Sox
2024_bowman,2024,Bowman,Bowman,arjun nimmala,Arjun Nimmala,10,10,Bowman AI|Bowman Chrome Prospects|Bowman Prospect Autographs|Bowman Prospects|Bowman Scouts' Top 100|Bowman Scouts' Top 100 Autographs|Chrome Prospect Autographs|Chrome Prospects Special Die-Cut Variations|Dual Bowman Prospect Autographs|Rising Infernos Autographs,2,New York Yankees|Toronto Blue Jays
2024_bowman,2024,Bowman,Bowman,austin riley,Austin Riley,1,1,Base,1,Atlanta Braves
2024_bowman,2024,Bowman,Bowman,austin wells,Austin Wells,3,3,Base|Chrome Rookie Autographs|Rookie of the Year Favorites,2,New York Yankees|New York Yankees	RC
2024_bowman,2024,Bowman,Bowman,barrett kent,Barrett Kent,1,1,Chrome Prospect Autographs,1,Los Angeles Angels
2024_bowman,2024,Bowman,Bowman,ben williamson,Ben Williamson,3,3,Bowman Chrome Prospects|Bowman Prospects|Chrome Prospect Autographs,1,Seattle Mariners
2024_bowman,2024,Bowman,Bowman,blake mitchell,Blake Mitchell,4,4,Bowman Chrome Prospects|Bowman Prospects|Bowman Scouts' Top 100|Bowman Scouts' Top 100 Autographs,1,Kansas City Royals
2024_bowman,2024,Bowman,Bowman,blake snell,Blake Snell,1,1,Base,1,San Diego Padres
2024_bowman,2024,Bowman,Bowman,blaze jordan,Blaze Jordan,1,1,Bowman Scouts' Top 100,1,Boston Red Sox
2024_bowman,2024,Bowman,Bowman,bo bichette,Bo Bichette,1,1,Base,1,Toronto Blue Jays
2024_bowman,2024,Bowman,Bowman,bob gibson,Bob Gibson,1,1,Chrome Retrofractors,1,St. Louis Cardinals
2024_bowman,2024,Bowman,Bowman,bobby witt jr.,Bobby Witt Jr.,1,1,Base,1,Kansas City Royals
2024_bowman,2024,Bowman,Bowman,boston baro,Boston Baro,1,1,Chrome Prospect Autographs,1,New York Mets
2024_bowman,2024,Bowman,Bowman,brady house,Brady House,2,2,Bowman Prospect Autographs|Bowman Scouts' Top 100,1,Washington Nationals
2024_bowman,2024,Bowman,Bowman,brando mayea,Brando Mayea,3,3,Bowman Chrome Prospects|Bowman Prospects|Bowman Scouts' Top 100,1,New York Yankees
2024_bowman,2024,Bowman,Bowman,brayden taylor,Brayden Taylor,3,3,Bowman Chrome Prospects|Bowman Prospects|Bowman Scouts' Top 100,1,Tampa Bay Rays
2024_bowman,2024,Bowman,Bowman,brice matthews,Brice Matthews,4,4,Bowman Chrome Prospects|Bowman Prospect Autographs|Bowman Prospects|Chrome Prospect Autographs,1,Houston Astros
2024_bowman,2024,Bowman,Bowman,brock porter,Brock Porter,3,3,Bowman Chrome Prospects|Bowman Prospects|Chrome Prospect Autographs,1,Texas Rangers
2024_bowman,2024,Bowman,Bowman,brock vradenburg,Brock Vradenburg,2,2,Bowman Chrome Prospects|Bowman Prospects,1,Miami Marlins
2024_bowman,2024,Bowman,Bowman,brock wilken,Brock Wilken,6,6,Bowman Chrome Prospects|Bowman Prospects|Chrome Prospect Autographs|Chrome Prospects Special Die-Cut Variations|Prospect Power-Up|Prospects Power-Up Autographs,1,Milwaukee Brewers
2024_bowman,2024,Bowman,Bowman,brooks brannon,Brooks Brannon,2,2,Bowman Chrome Prospects|Bowman Prospects,1,Boston Red Sox
2024_bowman,2024,Bowman,Bowman,brooks lee,Brooks Lee,4,4,Bowman Chrome Prospects|Bowman Prospects|Bowman Scouts' Top 100|Bowman Scouts' Top 100 Autographs,1,Minnesota Twins
