set_key,year,brand,product,player_name_key,player_name_display,card_count,section_count,sections,affiliation_count,affiliations
2024_topps_chrome,2024,Topps,Chrome,aaron judge,Aaron Judge,10,10,1989 Topps Baseball|1989 Topps Baseball Chrome Layer Variations|Base|Chrome All Etch|Exposé|Strokes|Summertime in the Park|Topps Chrome Authentics|Topps Chrome Authentics Autographs|Ultraviolet All-Stars,1,New York Yankees
2024_topps_chrome,2024,Topps,Chrome,aaron nola,Aaron Nola,1,1,Base,1,Philadelphia Phillies
2024_topps_chrome,2024,Topps,Chrome,abner uribe,Abner Uribe,1,1,Base,1,Milwaukee Brewers	RC
2024_topps_chrome,2024,Topps,Chrome,adley rutschman,Adley Rutschman,10,10,Base|Chrome All Etch|Exposé|Future Stars|Future Stars Autographs|Let's Go|On the Spot Die-Cut Autographs|Topps Chrome Authentics|Topps Chrome Authentics Autographs|Youthquake,1,Baltimore Orioles
2024_topps_chrome,2024,Topps,Chrome,adolis garcía,Adolis García,1,1,Base,1,Texas Rangers
2024_topps_chrome,2024,Topps,Chrome,adrián beltré,Adrián Beltré,1,1,Chrome Legend Autographs,1,Texas Rangers
2024_topps_chrome,2024,Topps,Chrome,aj smith-shawver,AJ Smith-Shawver,2,2,Base|Rookie Autographs,2,Atlanta Braves|Atlanta Braves	RC
2024_topps_chrome,2024,Topps,Chrome,albert pujols,Albert Pujols,1,1,Chrome Legend Autographs,1,St. Louis Cardinals
2024_topps_chrome,2024,Topps,Chrome,alec marsh,Alec Marsh,1,1,Rookie Autographs,1,Kansas City Royals
2024_topps_chrome,2024,Topps,Chrome,alek jacob,Alek Jacob,1,1,Rookie Autographs,1,San Diego Padres
2024_topps_chrome,2024,Topps,Chrome,alex bregman,Alex Bregman,4,4,Base|Let's Go|Topps Chrome Authentics|Topps Chrome Authentics Autographs,1,Houston Astros
2024_topps_chrome,2024,Topps,Chrome,alex kirilloff,Alex Kirilloff,1,1,Base,1,Minnesota Twins
2024_topps_chrome,2024,Topps,Chrome,alex speas,Alex Speas,1,1,Rookie Autographs,1,Texas Rangers
2024_topps_chrome,2024,Topps,Chrome,alex verdugo,Alex Verdugo,1,1,Base,1,New York Yankees
2024_topps_chrome,2024,Topps,Chrome,alexander canario,Alexander Canario,3,3,Base|Rookie Autographs|Youthquake,2,Chicago Cubs|Chicago Cubs	RC
2024_topps_chrome,2024,Topps,Chrome,alika williams,Alika Williams,2,2,Base|Rookie Autographs,2,Pittsburgh Pirates|Pittsburgh Pirates	RC
2024_topps_chrome,2024,Topps,Chrome,allan winans,Allan Winans,2,2,Base|Rookie Autographs,2,Atlanta Braves|Atlanta Braves	RC
2024_topps_chrome,2024,Topps,Chrome,amos willingham,Amos Willingham,1,1,Rookie Autographs,1,Washington Nationals
2024_topps_chrome,2024,Topps,Chrome,andre dawson,Andre Dawson,2,2,Chrome Legend Autographs|On the Spot Die-Cut Autographs,1,Montréal Expos
2024_topps_chrome,2024,Topps,Chrome,andre lipcius,Andre Lipcius,2,2,Base|Rookie Autographs,2,Detroit Tigers|Detroit Tigers	RC
2024_topps_chrome,2024,Topps,Chrome,andrew abbott,Andrew Abbott,3,3,Base|Rookie Autographs|Youthquake,2,Cincinnati Reds|Cincinnati Reds	RC
2024_topps_chrome,2024,Topps,Chrome,andrew benintendi,Andrew Benintendi,1,1,Base,1,Chicago White Sox
