set_key,year,brand,product,player_name_key,player_name_display,card_count,section_count,sections,affiliation_count,affiliations
2025_bowman_chrome,2025,Bowman,Chrome,aaron judge,Aaron Judge,5,5,BASE CARDS|BOWMAN ASCENSION AUTOGRAPHS|BOWMAN ASCENSIONS|BOWMAN GPK|METEORIC RISE,1,New York Yankees
2025_bowman_chrome,2025,Bowman,Chrome,adael amador,Adael Amador,1,1,MELT MASHERS,1,Colorado Rockies	Rookie
2025_bowman_chrome,2025,Bowman,Chrome,adley rutschman,Adley Rutschman,1,1,CHROME AUTOGRAPH RELICS,1,Baltimore Orioles
2025_bowman_chrome,2025,Bowman,Chrome,agustín ramírez,Agustín Ramírez,1,2,BASE CARDS|BASE CARDS CHROME ROOKIE RED RC VARIATION,1,Miami Marlins	Rookie
2025_bowman_chrome,2025,Bowman,Chrome,albert pujols,Albert Pujols,1,1,BOWMAN GPK,1,St. Louis Cardinals
2025_bowman_chrome,2025,Bowman,Chrome,alejandro rosario,Alejandro Rosario,1,1,BOWMAN CHROME PROSPECT AUTOGRAPHS,1,Texas Rangers
2025_bowman_chrome,2025,Bowman,Chrome,alessander de la cruz,Alessander De La Cruz,2,2,BOWMAN CHROME PROSPECT AUTOGRAPHS|BOWMAN CHROME PROSPECTS,1,Colorado Rockies
2025_bowman_chrome,2025,Bowman,Chrome,alex bregman,Alex Bregman,1,1,BASE CARDS,1,Boston Red Sox
2025_bowman_chrome,2025,Bowman,Chrome,alirio ferrebus,Alirio Ferrebus,2,3,BOWMAN CHROME PROSPECT AUTOGRAPHS|BOWMAN CHROME PROSPECTS|INTERNATIONAL REFRACTOR VARIATION,1,Philadelphia Phillies
2025_bowman_chrome,2025,Bowman,Chrome,andrew mccutchen,Andrew McCutchen,1,1,BASE CARDS,1,Pittsburgh Pirates
2025_bowman_chrome,2025,Bowman,Chrome,andrew painter,Andrew Painter,1,1,BOWMAN GPK,1,Philadelphia Phillies
2025_bowman_chrome,2025,Bowman,Chrome,andrew salas,Andrew Salas,5,9,BASE CARDS IMAGE VARIATIONS|BOWMAN CHROME PROSPECT AUTOGRAPHS|BOWMAN CHROME PROSPECTS|BOWMAN SPOTLIGHTS|ETCHED IN GLASS VARIATION|INTERNATIONAL REFRACTOR AUTOGRAPH VARIATION|INTERNATIONAL REFRACTOR VARIATION|MELT MASHERS|PRIME CHROME SIGNATURES,1,Miami Marlins
