set_key,year,brand,product,player_name_key,player_name_display,card_count,section_count,sections,affiliation_count,affiliations
2025_topps_update,2025,Topps,Update,aaron judge,Aaron Judge,23,20,1990 TOPPS BASEBALL|1990 TOPPS BASEBALL AUTOGRAPH CARDS|1990 TOPPS BASEBALL CHROME CARDS|1990 TOPPS BASEBALL CHROME CARDS AUTOGRAPH PARALLEL|1990 TOPPS BASEBALL JAPAN|1990 TOPPS BASEBALL RELIC CARDS|2025 ALL STAR GAME|ALL STAR STITCHES AUTOGRAPH CARDS|ALL STAR STITCHES CARDS|BASE SET|BLEACHER REACHERS|GOLDEN MIRROR IMAGE VARIATION|HOBBY/HOBBY JUMBO EXCLUSIVE|KEEGAN HALL ART CARDS|MAJOR LEAGUE MATERIAL CARDS|MOST VALUABLE|MYSTICAL|NIGHT TERRORS|REAL ONE GOLDEN MIRROR AUTOGRAPHS|TOPPS BLACK GOLD,3,New York Yankees|New York Yankees	Season Highlights/Checklist|New York Yankees	Veteran Combos
2025_topps_update,2025,Topps,Update,aaron nola,Aaron Nola,2,2,OWN THE NAME RELICS|REAL ONE GOLDEN MIRROR AUTOGRAPHS,1,Philadelphia Phillies
2025_topps_update,2025,Topps,Update,acuña jr.,Acuña Jr.,1,1,José Ramírez	Cleveland Guardians,1,Atlanta Braves
2025_topps_update,2025,Topps,Update,adael amador,Adael Amador,2,3,BASE SET|GOLDEN MIRROR IMAGE VARIATION|MAJOR LEAGUE MATERIAL AUTOGRAPH CARDS,2,Colorado Rockies	Rookie|Colorado Rockies	Rookie Debut
2025_topps_update,2025,Topps,Update,adam frazier,Adam Frazier,1,2,BASE SET|GOLDEN MIRROR IMAGE VARIATION,1,Pittsburgh Pirates
2025_topps_update,2025,Topps,Update,adam mazur,Adam Mazur,1,1,1990 TOPPS BASEBALL AUTOGRAPH CARDS,1,San Diego Padres	Rookie
2025_topps_update,2025,Topps,Update,adley rutschman,Adley Rutschman,5,5,1990 TOPPS BASEBALL AUTOGRAPH CARDS|HEAVY LUMBER AUTOGRAPH RELIC|MAJOR LEAGUE MATERIAL CARDS|OWN THE NAME RELICS|REAL ONE GOLDEN MIRROR AUTOGRAPHS,1,Baltimore Orioles
2025_topps_update,2025,Topps,Update,adolis garcía,Adolis García,1,1,HOBBY/HOBBY JUMBO EXCLUSIVE,1,Texas Rangers
2025_topps_update,2025,Topps,Update,adrian beltré,Adrian Beltré,6,6,1990 TOPPS BASEBALL CHROME CARDS|1990 TOPPS BASEBALL CHROME CARDS AUTOGRAPH PARALLEL|BASEBALL STARS AUTOGRAPH CARDS|HEAVY LUMBER|HEAVY LUMBER AUTOGRAPH RELIC|MAJOR LEAGUE MATERIAL AUTOGRAPH CARDS,1,Texas Rangers
2025_topps_update,2025,Topps,Update,adrian del castillo,Adrian Del Castillo,2,3,1990 TOPPS BASEBALL AUTOGRAPH CARDS|BASE SET|GOLDEN MIRROR IMAGE VARIATION,2,Arizona Diamondbacks	Rookie|Arizona Diamondbacks	Rookie Debut
2025_topps_update,2025,Topps,Update,adrián beltré,Adrián Beltré,1,1,1990 TOPPS BASEBALL ALL STAR AUTOGRAPH CARDS,1,Texas Rangers
2025_topps_update,2025,Topps,Update,adrían gonzález,Adrían González,2,1,BASEBALL STARS TRIPLE AUTOGRAPHS,2,Los Angeles Dodgers|San Diego Padres
2025_topps_update,2025,Topps,Update,agustín ramírez,Agustín Ramírez,9,11,1990 TOPPS BASEBALL|1990 TOPPS BASEBALL AUTOGRAPH CARDS|1990 TOPPS BASEBALL CHROME CARDS|1990 TOPPS BASEBALL CHROME CARDS AUTOGRAPH PARALLEL|BASE SET|BASEBALL STARS AUTOGRAPH CARDS|GOLDEN MIRROR IMAGE VARIATION|MAJOR LEAGUE MATERIAL AUTOGRAPH CARDS|REAL ONE AUTOGRAPHS|REAL ONE GOLDEN MIRROR AUTOGRAPHS|RISING ROOKIE RELIC CARDS,2,Miami Marlins	Rookie|Miami Marlins	Rookie Debut
2025_topps_update,2025,Topps,Update,aj blubaugh,AJ Blubaugh,3,5,1990 TOPPS BASEBALL CHROME CARDS|1990 TOPPS BASEBALL CHROME CARDS AUTOGRAPH PARALLEL|BASE SET|GOLDEN MIRROR IMAGE VARIATION|REAL ONE AUTOGRAPHS,1,Houston Astros	Rookie
2025_topps_update,2025,Topps,Update,alan roden,Alan Roden,3,4,1990 TOPPS BASEBALL AUTOGRAPH CARDS|1990 TOPPS BASEBALL CHROME CARDS|BASE SET|GOLDEN MIRROR IMAGE VARIATION,1,Toronto Blue Jays	Rookie
2025_topps_update,2025,Topps,Update,alan trammell,Alan Trammell,1,1,HEAVY LUMBER AUTOGRAPH RELIC,1,Detroit Tigers
2025_topps_update,2025,Topps,Update,albert pujols,Albert Pujols,4,4,BLEACHER REACHERS|HEAVY LUMBER|HEAVY LUMBER AUTOGRAPH RELIC|MOST VALUABLE,1,St. Louis Cardinals
2025_topps_update,2025,Topps,Update,alec bohm,Alec Bohm,4,4,1990 TOPPS BASEBALL ALL STAR AUTOGRAPH CARDS|HEAVY LUMBER AUTOGRAPH RELIC|HOBBY/HOBBY JUMBO EXCLUSIVE|OWN THE NAME RELICS,1,Philadelphia Phillies
2025_topps_update,2025,Topps,Update,alec burleson,Alec Burleson,2,2,HOBBY/HOBBY JUMBO EXCLUSIVE|MAJOR LEAGUE MATERIAL AUTOGRAPH CARDS,1,St. Louis Cardinals
2025_topps_update,2025,Topps,Update,alejandro kirk,Alejandro Kirk,2,2,ALL STAR STITCHES AUTOGRAPH CARDS|ALL STAR STITCHES CARDS,1,Toronto Blue Jays
2025_topps_update,2025,Topps,Update,alejandro osuna,Alejandro Osuna,1,2,BASE SET|GOLDEN MIRROR IMAGE VARIATION,1,Texas Rangers	Rookie
2025_topps_update,2025,Topps,Update,alex bregman,Alex Bregman,5,5,1990 TOPPS BASEBALL RELIC CARDS|2025 ALL STAR GAME|MAJOR LEAGUE MATERIAL CARDS|OWN THE NAME RELICS|STARS OF MLB,1,Boston Red Sox
2025_topps_update,2025,Topps,Update,alex gordon,Alex Gordon,1,1,HOBBY/HOBBY JUMBO EXCLUSIVE,1,Kansas City Royals
2025_topps_update,2025,Topps,Update,alex rodriguez,Alex Rodriguez,2,2,BLEACHER REACHERS|MOST VALUABLE,1,New York Yankees
2025_topps_update,2025,Topps,Update,alex verdugo,Alex Verdugo,1,2,BASE SET|GOLDEN MIRROR IMAGE VARIATION,1,Atlanta Braves
2025_topps_update,2025,Topps,Update,alex vesia,Alex Vesia,1,2,BASE SET|GOLDEN MIRROR IMAGE VARIATION,1,Los Angeles Dodgers
2025_topps_update,2025,Topps,Update,alexander canario,Alexander Canario,1,2,BASE SET|GOLDEN MIRROR IMAGE VARIATION,1,Pittsburgh Pirates
