set_key,year,brand,product,player_name_key,player_name_display,card_count,section_count,sections,affiliation_count,affiliations
2026_topps_heritage,2026,Topps,Heritage,aaron judge,Aaron Judge,9,10,All-Star Logo Variations|Chrome|Clubhouse Collection Dual Autographed Relics|Clubhouse Collection Dual Player Relics|Clubhouse Collection Relics|Image Variations|Raw Power|Ready And Action|Real One Autographs|Real One Relics,1,New York Yankees
2026_topps_heritage,2026,Topps,Heritage,adam frazier,Adam Frazier,1,1,Chrome,1,Kansas City Royals
2026_topps_heritage,2026,Topps,Heritage,addison barger,Addison Barger,2,2,Chrome|Real One Autographs,1,Toronto Blue Jays
2026_topps_heritage,2026,Topps,Heritage,adley rutschman,Adley Rutschman,2,3,Black And White Image Variations|Chrome|Clubhouse Collection Relics,1,Baltimore Orioles
2026_topps_heritage,2026,Topps,Heritage,adolis garcía,Adolis García,2,2,Chrome|Clubhouse Collection Relics,1,Texas Rangers
2026_topps_heritage,2026,Topps,Heritage,agustín ramírez,Agustín Ramírez,3,5,Alternate Banner Variations|Black And White Image Variations|Chrome|Clubhouse Collection Relics|Real One Autographs,1,Miami Marlins
2026_topps_heritage,2026,Topps,Heritage,al woods,Al Woods,1,1,Expansion Autographs,1,Toronto Blue Jays
2026_topps_heritage,2026,Topps,Heritage,alan rangel,Alan Rangel,1,1,Chrome,1,Philadelphia Phillies
2026_topps_heritage,2026,Topps,Heritage,alec bohm,Alec Bohm,1,2,Black And White Image Variations|Chrome,1,Philadelphia Phillies
2026_topps_heritage,2026,Topps,Heritage,alec burleson,Alec Burleson,1,1,Chrome,1,St. Louis Cardinals
2026_topps_heritage,2026,Topps,Heritage,alejandro kirk,Alejandro Kirk,1,1,Chrome,1,Toronto Blue Jays
2026_topps_heritage,2026,Topps,Heritage,alex bregman,Alex Bregman,2,2,Clubhouse Collection Dual Player Relics|Clubhouse Collection Relics,1,Boston Red Sox
2026_topps_heritage,2026,Topps,Heritage,alex freeland,Alex Freeland,2,2,Chrome|Real One Autographs,1,Los Angeles Dodgers
2026_topps_heritage,2026,Topps,Heritage,andre dawson,Andre Dawson,4,3,Clubhouse Collection Dual Player Relics|Flashback Relics|Real One Autographs,2,Montréal Expos|Washington Nationals
2026_topps_heritage,2026,Topps,Heritage,andre granillo,Andre Granillo,1,1,Chrome,1,St. Louis Cardinals	RC
2026_topps_heritage,2026,Topps,Heritage,andrew abbott,Andrew Abbott,2,3,Black And White Image Variations|Chrome|Clubhouse Collection Relics,1,Cincinnati Reds
2026_topps_heritage,2026,Topps,Heritage,andrew alvarez,Andrew Alvarez,1,1,Chrome,1,Washington Nationals
2026_topps_heritage,2026,Topps,Heritage,andrew hoffman,Andrew Hoffman,1,1,Chrome,1,Arizona Diamondbacks	RC
2026_topps_heritage,2026,Topps,Heritage,andrew mccutchen,Andrew McCutchen,4,5,Chrome|Clubhouse Collection Relics|Image Variations|Real One Autographs|Real One Relics,1,Pittsburgh Pirates
2026_topps_heritage,2026,Topps,Heritage,andrew vaughn,Andrew Vaughn,1,1,Chrome,1,Milwaukee Brewers
2026_topps_heritage,2026,Topps,Heritage,andry lara,Andry Lara,1,1,Chrome,1,Washington Nationals
2026_topps_heritage,2026,Topps,Heritage,andy pages,Andy Pages,1,1,Chrome,1,Los Angeles Dodgers
2026_topps_heritage,2026,Topps,Heritage,angel martínez,Angel Martínez,1,1,Chrome,1,Cleveland Guardians
2026_topps_heritage,2026,Topps,Heritage,anthony seigler,Anthony Seigler,1,1,Chrome,1,Milwaukee Brewers	RC
2026_topps_heritage,2026,Topps,Heritage,anthony volpe,Anthony Volpe,2,2,Chrome|Real One Autographs,1,New York Yankees
2026_topps_heritage,2026,Topps,Heritage,aroldis chapman,Aroldis Chapman,1,2,Black And White Image Variations|Chrome,2,Boston Red Sox|Boston Red Sox	RC
2026_topps_heritage,2026,Topps,Heritage,austin hays,Austin Hays,1,1,Chrome,1,Cincinnati Reds
2026_topps_heritage,2026,Topps,Heritage,austin martin,Austin Martin,1,1,Chrome,1,Minnesota Twins
2026_topps_heritage,2026,Topps,Heritage,austin riley,Austin Riley,2,2,Chrome|Clubhouse Collection Relics,1,Atlanta Braves
2026_topps_heritage,2026,Topps,Heritage,ben rice,Ben Rice,3,3,Chrome|Clubhouse Collection Relics|Real One Autographs,1,New York Yankees
2026_topps_heritage,2026,Topps,Heritage,bert blyleven,Bert Blyleven,1,1,Real One Autographs,1,Texas Rangers
2026_topps_heritage,2026,Topps,Heritage,bo bichette,Bo Bichette,4,4,Chrome|Clubhouse Collection Relics|Real One Relics|The Enterprise,1,Toronto Blue Jays
2026_topps_heritage,2026,Topps,Heritage,bo naylor,Bo Naylor,1,1,Chrome,1,Cleveland Guardians
2026_topps_heritage,2026,Topps,Heritage,bob seymour,Bob Seymour,1,1,Chrome,1,Tampa Bay Rays
2026_topps_heritage,2026,Topps,Heritage,bobby witt jr.,Bobby Witt Jr.,7,7,Chrome|Clubhouse Collection Dual Player Relics|Clubhouse Collection Relics|Image Variations|Ready And Action|Real One Quad Autographs|Real One Relics,1,Kansas City Royals
2026_topps_heritage,2026,Topps,Heritage,bradgley rodríguez,Bradgley Rodríguez,1,1,Chrome,1,San Diego Padres	RC
2026_topps_heritage,2026,Topps,Heritage,bradley blalock,Bradley Blalock,1,1,Chrome,1,Colorado Rockies
2026_topps_heritage,2026,Topps,Heritage,brady house,Brady House,3,4,Alternate Banner Variations|Chrome|Clubhouse Collection Dual Player Relics|The Enterprise,2,Washington Nationals|Washington Nationals	RC
2026_topps_heritage,2026,Topps,Heritage,brandon lowe,Brandon Lowe,2,3,Black And White Image Variations|Chrome|Clubhouse Collection Relics,1,Tampa Bay Rays
2026_topps_heritage,2026,Topps,Heritage,brandon nimmo,Brandon Nimmo,2,2,Chrome|Clubhouse Collection Relics,2,New York Mets|Texas Rangers
2026_topps_heritage,2026,Topps,Heritage,brandon pfaadt,Brandon Pfaadt,1,1,Chrome,1,Arizona Diamondbacks
2026_topps_heritage,2026,Topps,Heritage,brandon sproat,Brandon Sproat,1,1,Chrome,1,New York Mets	RC
2026_topps_heritage,2026,Topps,Heritage,braxton ashcraft,Braxton Ashcraft,1,1,Chrome,1,Pittsburgh Pirates
2026_topps_heritage,2026,Topps,Heritage,brayan rocchio,Brayan Rocchio,1,1,Chrome,1,Cleveland Guardians
2026_topps_heritage,2026,Topps,Heritage,brendan donovan,Brendan Donovan,2,2,Chrome|Real One Autographs,1,St. Louis Cardinals
2026_topps_heritage,2026,Topps,Heritage,brent rooker,Brent Rooker,2,3,Black And White Image Variations|Chrome|Real One Autographs,1,Athletics
2026_topps_heritage,2026,Topps,Heritage,brenton doyle,Brenton Doyle,1,1,Chrome,1,Colorado Rockies
2026_topps_heritage,2026,Topps,Heritage,brett baty,Brett Baty,1,1,Chrome,1,New York Mets
2026_topps_heritage,2026,Topps,Heritage,brice matthews,Brice Matthews,2,2,Chrome|Real One Autographs,1,Houston Astros
2026_topps_heritage,2026,Topps,Heritage,brice turang,Brice Turang,2,3,Black And White Image Variations|Chrome|Real One Autographs,1,Milwaukee Brewers
2026_topps_heritage,2026,Topps,Heritage,brooks baldwin,Brooks Baldwin,1,1,Chrome,1,Chicago White Sox
2026_topps_heritage,2026,Topps,Heritage,brooks lee,Brooks Lee,2,3,Black And White Image Variations|Chrome|Clubhouse Collection Relics,1,Minnesota Twins
2026_topps_heritage,2026,Topps,Heritage,bryan reynolds,Bryan Reynolds,1,2,Black And White Image Variations|Chrome,1,Pittsburgh Pirates
2026_topps_heritage,2026,Topps,Heritage,bryan woo,Bryan Woo,2,2,Chrome|Clubhouse Collection Relics,1,Seattle Mariners
2026_topps_heritage,2026,Topps,Heritage,bryce eldridge,Bryce Eldridge,3,4,Base Chrome Autographs|Black And White Image Variations|Chrome|Real One Autographs,2,San Francisco Giants|San Francisco Giants	RC
2026_topps_heritage,2026,Topps,Heritage,bryce harper,Bryce Harper,6,7,Chrome|Clubhouse Collection Dual Player Relics|Clubhouse Collection Relics|Image Variations|Ready And Action|Real One Relics|Throwback Jerseys Variations,1,Philadelphia Phillies
2026_topps_heritage,2026,Topps,Heritage,bryson stott,Bryson Stott,3,3,Chrome|Real One Autographs|Real One Relics,1,Philadelphia Phillies
2026_topps_heritage,2026,Topps,Heritage,bubba chandler,Bubba Chandler,4,5,Base Chrome Autographs|Chrome|Image Variations|Ready And Action|Real One Autographs,2,Pittsburgh Pirates|Pittsburgh Pirates	RC
2026_topps_heritage,2026,Topps,Heritage,byron buxton,Byron Buxton,7,8,Chrome|Clubhouse Collection Autographed Relics|Clubhouse Collection Dual Player Relics|Clubhouse Collection Relics|Image Variations|Real One Autographs|Real One Relics|The Enterprise,1,Minnesota Twins
2026_topps_heritage,2026,Topps,Heritage,c.j. kayfus,C.J. Kayfus,3,3,Chrome|Real One Autographs|The Enterprise,2,Cleveland Guardians|Cleveland Guardians	RC
2026_topps_heritage,2026,Topps,Heritage,c.j. stubbs,C.J. Stubbs,1,1,Chrome,1,Washington Nationals
2026_topps_heritage,2026,Topps,Heritage,cade cavalli,Cade Cavalli,1,1,Chrome,1,Washington Nationals
2026_topps_heritage,2026,Topps,Heritage,cade horton,Cade Horton,3,5,Alternate Banner Variations|Chrome|Clubhouse Collection Autographed Relics|Clubhouse Collection Relics|Image Variations,1,Chicago Cubs
2026_topps_heritage,2026,Topps,Heritage,caden dana,Caden Dana,1,1,Chrome,1,Angels
2026_topps_heritage,2026,Topps,Heritage,cal raleigh,Cal Raleigh,7,6,All-Star Logo Variations|Alternate Banner Variations|Chrome|Clubhouse Collection Relics|Raw Power|Real One Relics,3,Seattle Mariners|Seattle Mariners	(League Leaders)|Seattle Mariners	(Record Breakers)
2026_topps_heritage,2026,Topps,Heritage,caleb durbin,Caleb Durbin,1,1,Chrome,1,Milwaukee Brewers
2026_topps_heritage,2026,Topps,Heritage,cam devanney,Cam Devanney,1,1,Chrome,1,Pittsburgh Pirates
2026_topps_heritage,2026,Topps,Heritage,cam schlittler,Cam Schlittler,2,2,Chrome|Real One Autographs,2,New York Yankees|New York Yankees	RC
2026_topps_heritage,2026,Topps,Heritage,cam smith,Cam Smith,1,1,Chrome,1,Houston Astros
2026_topps_heritage,2026,Topps,Heritage,carl yastrzemski,Carl Yastrzemski,5,5,Clubhouse Collection Dual Player Relics|Flashback Relics|Flashbacks Autographed Relics|Ready And Action|Real One Quad Autographs,1,Boston Red Sox
2026_topps_heritage,2026,Topps,Heritage,carlos beltrán,Carlos Beltrán,1,1,Chrome,1,New York Yankees	(Turn Back The Clock)
2026_topps_heritage,2026,Topps,Heritage,carlos correa,Carlos Correa,2,3,Black And White Image Variations|Chrome|Clubhouse Collection Relics,1,Houston Astros
2026_topps_heritage,2026,Topps,Heritage,carlos cortes,Carlos Cortes,1,1,Chrome,1,Athletics
2026_topps_heritage,2026,Topps,Heritage,carlos estevéz,Carlos Estevéz,1,1,Chrome,1,Kansas City Royals	(League Leaders)
2026_topps_heritage,2026,Topps,Heritage,carlos estévez,Carlos Estévez,1,2,Black And White Image Variations|Chrome,1,Kansas City Royals
2026_topps_heritage,2026,Topps,Heritage,carlos narváez,Carlos Narváez,1,1,Chrome,1,Boston Red Sox
2026_topps_heritage,2026,Topps,Heritage,carlos rodón,Carlos Rodón,1,1,Chrome,1,New York Yankees
2026_topps_heritage,2026,Topps,Heritage,carlton fisk,Carlton Fisk,3,3,Real One Autographs|Real One Quad Autographs|There Once Was A Man Autographed Relics,1,Boston Red Sox
2026_topps_heritage,2026,Topps,Heritage,carson kelly,Carson Kelly,1,1,Chrome,1,Chicago Cubs
2026_topps_heritage,2026,Topps,Heritage,carson seymour,Carson Seymour,1,1,Chrome,1,San Francisco Giants
2026_topps_heritage,2026,Topps,Heritage,carson whisenhunt,Carson Whisenhunt,2,2,Chrome|Real One Autographs,2,San Francisco Giants|San Francisco Giants	RC
2026_topps_heritage,2026,Topps,Heritage,carson williams,Carson Williams,2,3,Alternate Banner Variations|Chrome|Real One Autographs,2,Tampa Bay Rays|Tampa Bay Rays	RC
2026_topps_heritage,2026,Topps,Heritage,carter jensen,Carter Jensen,2,2,Chrome|Real One Autographs,2,Kansas City Royals|Kansas City Royals	RC
2026_topps_heritage,2026,Topps,Heritage,casey schmitt,Casey Schmitt,1,1,Chrome,1,San Francisco Giants
2026_topps_heritage,2026,Topps,Heritage,ceddanne rafaela,Ceddanne Rafaela,2,2,Chrome|Clubhouse Collection Dual Player Relics,1,Boston Red Sox
2026_topps_heritage,2026,Topps,Heritage,cedric mullins,Cedric Mullins,1,1,Chrome,1,Tampa Bay Rays
2026_topps_heritage,2026,Topps,Heritage,chad stevens,Chad Stevens,1,1,Chrome,1,Angels
2026_topps_heritage,2026,Topps,Heritage,chandler simpson,Chandler Simpson,2,3,Chrome|Real One Autographs|Throwback Jerseys Variations,1,Tampa Bay Rays
2026_topps_heritage,2026,Topps,Heritage,chase burns,Chase Burns,4,5,Base Chrome Autographs|Chrome|Image Variations|Real One Autographs|The Enterprise,2,Cincinnati Reds|Cincinnati Reds	RC
2026_topps_heritage,2026,Topps,Heritage,chase dollander,Chase Dollander,1,2,Black And White Image Variations|Chrome,1,Colorado Rockies
2026_topps_heritage,2026,Topps,Heritage,chase meidroth,Chase Meidroth,2,2,Chrome|Real One Autographs,1,Chicago White Sox
2026_topps_heritage,2026,Topps,Heritage,chris sale,Chris Sale,2,2,Chrome|Real One Relics,1,Atlanta Braves
2026_topps_heritage,2026,Topps,Heritage,christian montes de oca,Christian Montes De Oca,1,1,Chrome,1,Arizona Diamondbacks	RC
2026_topps_heritage,2026,Topps,Heritage,christian moore,Christian Moore,3,3,Chrome|Real One Autographs|The Enterprise,2,Angels	RC|Los Angeles Angels
2026_topps_heritage,2026,Topps,Heritage,christian walker,Christian Walker,1,1,Chrome,1,Houston Astros
2026_topps_heritage,2026,Topps,Heritage,christian yelich,Christian Yelich,5,6,Chrome|Clubhouse Collection Autographed Relics|Clubhouse Collection Dual Player Relics|Clubhouse Collection Relics|Image Variations|Real One Quad Autographs,1,Milwaukee Brewers
