set_key,year,brand,product,player_name_key,player_name_display,card_count,section_count,sections,affiliation_count,affiliations
2026_topps_series1,2026,Topps,Series 1,aaron judge,Aaron Judge,25,30,1991 Topps Baseball|1991 Topps Baseball Autographs|1991 Topps Baseball Relics|2025 All-Topps Team|2025 Greatest Hits|75 Years Of Topps Die-Cut Autographs|All Kings|Base - Golden Mirror Variation|Base - Player Number Variations|Base - Team Color Border Variation|Base - True Photo Variation|Base - Vintage Stock Variations|Big Ticket Players|Cover Athlete Autographs|Cover Athlete Cards|Flagship Real One Autographs|Heavy Lumber|Heavy Lumber Autographed Relics|Hobby Exclusive|Hobby and Jumbo Exclusive|Hobby and Jumbo Silver Pack Exclusive|Home Field Advantage|Major League Material|Major League Materials Dual Autographs|Real One Relics|Retail Exclusive|Retail Tin Exclusive|Super Box Exclusive|TBA|Topps Profiles,3,New York Yankees|New York Yankees	(Combo Card/Checklist)|New York Yankees	(League Leaders)
2026_topps_series1,2026,Topps,Series 1,aaron nola,Aaron Nola,2,2,Major League Material|Major League Materials Autographs,1,Philadelphia Phillies
2026_topps_series1,2026,Topps,Series 1,acuña jr.,Acuña Jr.,1,1,Fanatics Blaster Exclusive,1,Atlanta Braves
2026_topps_series1,2026,Topps,Series 1,adam frazier,Adam Frazier,1,2,Base - Golden Mirror Variation|TBA,1,Kansas City Royals
2026_topps_series1,2026,Topps,Series 1,addison barger,Addison Barger,1,2,Base - Golden Mirror Variation|TBA,1,Toronto Blue Jays
2026_topps_series1,2026,Topps,Series 1,adley rutschman,Adley Rutschman,5,5,1991 Topps Baseball Autographs|1991 Topps Baseball Relics|75 Years Of Topps Die-Cut Autographs|Heavy Lumber Autographed Relics|Major League Materials Autographs,1,Baltimore Orioles
2026_topps_series1,2026,Topps,Series 1,adolis garcía,Adolis García,2,3,Base - Golden Mirror Variation|Major League Materials Autographs|TBA,1,Texas Rangers
2026_topps_series1,2026,Topps,Series 1,adrian beltré,Adrian Beltré,5,5,1991 Topps Baseball|1991 Topps Baseball Relics|Base - Golden Mirror Legend Variations|Baseball Stars Autographs|Hobby and Jumbo Silver Pack Exclusive,1,Texas Rangers
2026_topps_series1,2026,Topps,Series 1,adrian morejon,Adrian Morejon,1,1,Hobby and Jumbo Exclusive,1,San Diego Padres
2026_topps_series1,2026,Topps,Series 1,agustín ramírez,Agustín Ramírez,3,4,Base - Golden Mirror Variation|City Connect Swatch Collection Autographed Relics|Hobby and Jumbo Exclusive|TBA,1,Miami Marlins
2026_topps_series1,2026,Topps,Series 1,alan trammell,Alan Trammell,2,2,1991 Topps Baseball Autographs|75 Years Of Topps Die-Cut Autographs,1,Detroit Tigers
