word,titles_with_word,pct_of_titles
2025,55124,99.9964
update,55089,99.9329
series,18216,33.0443
foil,16225,29.4326
rc,15617,28.3296
pick,9443,17.1298
rookie,7211,13.0809
set,6762,12.2664
complete,6380,11.5735
baseball,6302,11.432
gold,5353,9.7105
base,5214,9.4583
rainbow,4873,8.8397
us1,3962,7.1872
diamante,3789,6.8733
holiday,3448,6.2548
holo,2933,5.3205
parallel,2796,5.072
pink,2662,4.8289
us350,2592,4.702
singles,2149,3.8983
250,2117,3.8403
purple,1930,3.5011
blue,1921,3.4847
sp,1828,3.316
us176,1771,3.2126
orange,1646,2.9859
debut,1636,2.9677
50,1630,2.9569
99,1537,2.7882
us175,1443,2.6176
150,1438,2.6086
sandglitter,1416,2.5687
black,1355,2.458
free,1289,2.3383
ryan,1285,2.331
green,1216,2.2059
us250,1180,2.1406
sox,1173,2.1279
matt,1140,2.068
holofoil,1088,1.9737
silver,1071,1.9428
athletics,1058,1.9192
rockies,1049,1.9029
marlins,1026,1.8612
jack,996,1.8068
25,990,1.7959
list,958,1.7378
350,954,1.7306
ssp,944,1.7124
buy,934,1.6943
padres,916,1.6616
cubs,915,1.6598
tyler,879,1.5945
chicago,854,1.5492
parallels,830,1.5056
choose,825,1.4966
rangers,815,1.4784
luis,815,1.4784
combos,804,1.4585
reds,800,1.4512
jr,791,1.4349
rays,783,1.4204
pirates,776,1.4077
san,775,1.4059
michael,775,1.4059
inserts,764,1.3859
twins,762,1.3823
red,757,1.3732
cruz,755,1.3696
veteran,753,1.366
175,751,1.3623
white,748,1.3569
variation,745,1.3514
dodgers,744,1.3496
nationals,737,1.3369
angels,722,1.3097
ship,703,1.2753
chase,692,1.2553
mets,687,1.2462
brewers,680,1.2335
glitter,678,1.2299
la,676,1.2263
mlb,666,1.2081
york,664,1.2045
1990,662,1.2009
true,650,1.1791
mariners,638,1.1573
yankees,634,1.1501
miami,632,1.1465
halloween,631,1.1447
royals,624,1.132
nick,622,1.1283
chrome,605,1.0975
sand,603,1.0939
giants,598,1.0848
francisco,592,1.0739
day,590,1.0703
justin,582,1.0558
logan,579,1.0503
colorado,576,1.0449
guardians,568,1.0304
shipping,565,1.0249
tigers,551,0.9995
angeles,549,0.9959
refractor,548,0.9941
los,548,0.9941
10,543,0.985
us200,542,0.9832
photo,542,0.9832
braves,531,0.9632
lantern,528,0.9578
orioles,528,0.9578
more,514,0.9324
cardinals,514,0.9324
texas,510,0.9252
campbell,506,0.9179
exclusive,505,0.9161
save,503,0.9125
de,502,0.9106
astros,501,0.9088
eric,500,0.907
kristian,497,0.9016
auto,494,0.8961
bryan,485,0.8798
jays,483,0.8762
vc,478,0.8671
shaw,477,0.8653
us251,472,0.8562
tampa,465,0.8435
mirror,464,0.8417
max,462,0.8381
bay,458,0.8308
diego,457,0.829
golden,450,0.8163
35th,449,0.8145
cincinnati,447,0.8109
foilboard,444,0.8054
u90,431,0.7818
176,431,0.7818
fanatics,428,0.7764
robert,427,0.7746
evan,426,0.7728
city,423,0.7673
border,414,0.751
minimum,414,0.751
kyle,414,0.751
thomas,409,0.7419
juan,408,0.7401
anniversary,406,0.7365
minnesota,404,0.7329
stars,399,0.7238
off,396,0.7184
phillies,396,0.7184
jose,396,0.7184
mayer,396,0.7184
all,393,0.7129
us201,392,0.7111
marcelo,391,0.7093
mojo,384,0.6966
pittsburgh,382,0.693
76,379,0.6875
vets,377,0.6839
caleb,377,0.6839
smith,375,0.6803
nm,372,0.6748
aqua,372,0.6748
ohtani,369,0.6694
seattle,364,0.6603
judge,362,0.6567
star,361,0.6549
fernando,358,0.6494
independence,356,0.6458
shohei,355,0.644
aaron,354,0.6422
washington,347,0.6295
detroit,346,0.6277
sasaki,342,0.6204
elly,342,0.6204
cade,341,0.6186
harper,335,0.6077
