title,all_in_price,CT_any,CT_list
2025 Topps Update Gage Workman Rookie RC Auto Green Foil #/99 Tigers #US118,59.99,True,Green Foil
2025 Topps Update Hunter Goodman All-Star Stitches Relic Orange #/25 Rockies,39.99,True,Orange 25
2025 Topps Update Vladimir Guerrero Jr. Night Terrors Crimped Error Orange #/25,39.99,True,Orange 25
2025 Topps Update Mike Trout 35th Anniversary Insert Relic #/99 Angels #90RU-MT,34.99,False,
2025 Topps Update Maverick Handley   Rookie RC Independence Day #/75 Orioles,19.99,True,Independence Day 76
2025 Topps Update Jhonkensy Noel Rising Rookies Relic RC Orange #/25 Guardians,19.99,True,Orange 25
2025 Topps Update Jamie Westbrook Rookie RC Orange Foil #/25 Rays #US3,16.99,True,Orange 25
2025 Topps Update Tyler Soderstrom Silver Pack Mojo Blue #/150 Athletics U90C-55,14.99,True,Blue Rainbow
2025 Topps Update Ryan Gusto Rookie RC Green Foil #/99 Astros #US292,13.99,True,Green Foil
2025 Topps Update Buster Posey Silver Pack Blue Mojo #/150 Giants #U90C-92,9.99,True,Blue Rainbow
2025 Topps Update Curtis Mead  Green #/99 Rays #US41,9.99,True,Green Foil
2025 Topps Update Jasson Dominguez 1990 Relic Card #90RU-JD Yankees,8.99,True,1990
2025 Topps Update Patrick Monteverde Rookie RC Green Foil #/99 Marlins #US211,8.99,True,Green Foil
2025 Topps Update Nick Kurtz Rookie RC 1990 Topps Foil Insert #U90-17 Athletics,7.99,True,1990
2025 Topps Update Seth Johnson Rookie RC 35th Anniversary Auto 90B2-SJ Phillies,7.99,False,
2025 Topps Update Bradley Blalock Rookie 35th Anniversary Auto 90A-BB1 Rockies,7.99,False,
2025 Topps Update Series Dylan Carlson Vintage Stock #/99 Orioles US181,7.99,True,Vintage 99
2025 Topps Update Baseball Connor Joe Gold Foil # /50 Reds #US58,7.99,True,Gold 50
2025 Topps Update Young &amp; Hungry Veteran Combos Gold #/2025 Royals #US209,7.99,True,Gold 2025
2025 Topps Update Jonathan Bermudez Rookie RC Green #/99 Marlins #US144,6.99,True,Green Foil
2025 Topps Update Ronny Simon Rookie RC Green #/99 Pirates #US111,6.99,True,Green Foil
2025 Topps Update Daniel Robert Rookie RC Green #/99 Rangers #US304,6.99,True,Green Foil
2025 Topps Update Kris Bubic Blue Rainbow Foil #/150 Royals #US83,6.99,True,Blue Rainbow
2025 Topps Update Brandon Lowe All-Star Stitches #AS-BL Rays,5.99,False,
2025 Topps Update Roger Maris MVP Pink Foil #MV-36 Yankees,5.99,False,
2025 Topps Update Levi Jordan Rookie RC Blue Foil #/150 Reds #US6,5.99,True,Blue Rainbow
2025 Topps Update Maverick Handley   Rookie RC Blue Foil #/150 Orioles #US274,5.99,True,Blue Rainbow
2025 Topps Update Tanner Gordon Rookie RC Blue #/150 Rockies #US8,5.99,True,Blue Rainbow
2025 Topps Update Thomas Harrington Rookie RC Blue #/150 Pirates #US273,5.99,True,Blue Rainbow
2025 Topps Update Craig Yoho  Rookie RC Blue #/150 Brewers #US261,5.99,True,Blue Rainbow
2025 Topps Update Alejandro Osuna Rookie RC Blue #/150 Rangers  #US10,5.99,True,Blue Rainbow
2025 Topps Update Daniel Robert Rookie RC Purple Holofoil #/250 Rangers #US304,5.99,True,Purple Rainbow
2025 Topps Update Drake Baldwin Holo Foil RC Rookie Debut #US113 Braves,5.99,False,
2025 Topps Update  J.C. Escarra Rookie RC Purple Refractor #/250 Yankees #US96,5.99,True,Purple Rainbow
2025 Topps Update Aaron Judge 1990 Topps Foil #U90-30 Yankees,4.99,True,1990
2025 Topps Update Orlando Ribalta Rookie RC Purple Foil #/250 Nationals #US203,4.99,True,Purple Rainbow
2025 Topps Update Carson Palmquist Rookie RC Purple #/250 Rockies #US321,4.99,True,Purple Rainbow
2025 Topps Update Jose Fermin Rookie RC Purple #/250 Angels  #US338,4.99,True,Purple Rainbow
2025 Topps Update Patrick Monteverde Rookie RC Purple #/250 Marlins #US211,4.99,True,Purple Rainbow
2025 Topps Update James Meeker Rookie RC Purple #/250 Brewers #US326,4.99,True,Purple Rainbow
2025 Topps Update Cade Gibson Rookie RC Purple #/250 Marlins  #US131,4.99,True,Purple Rainbow
2025 Topps Update Carlos Duran Rookie RC Purple #/250 Athletics #US104,4.99,True,Purple Rainbow
2025 Topps Update Matt Show Rookie RC Rainbow Foil #US200 Cubs,4.99,True,Base Rainbow
2025 Topps Update Manuel Margot Purple Foil #/250 Tigers #US42,4.99,True,Purple Rainbow
2025 Topps Update Wilmer Flores Purple Rainbow Foil #/250 Giants #US160,4.99,True,Purple Rainbow
2025 Topps Update Yaramil Hiraldo RC Blue Rainbow Foil /150 Orioles #US210,4.99,True,Blue Rainbow
2025 Topps Update Aaron Judge Mystical Insert  #MYS-18 Yankees,3.99,False,
2025 Topps Update Aaron Judge Bleacher Reachers Insert BR-4 Yankees,3.99,False,
2025 Topps Update Aaron Judge All Star Game #ASG-2 Yankees,3.99,False,
2025 Topps Update Series Nick Kurtz Rookie RC Base #US201 Athletics,3.99,False,
2025 Topps Update Roki Sasaki Rookie RC 35th Anniversary Insert #U90-11 Dodgers,3.99,False,
2025 Topps Update Braydon Fisher Rookie RC Gold #/2025 Blue Jays  #US89,3.99,True,Gold 2025
2025 Topps Update Levi Jordan Rookie RC Gold #/2025 Reds #US6,3.99,True,Gold 2025
2025 Topps Update Evan Sisk Rookie RC Gold #/2025 Royals #US176,3.99,True,Gold 2025
2025 Topps Update Trenton Brooks  Rookie RC Gold #/2025 Padres #US78,3.99,True,Gold 2025
2025 Topps Update Carlos Duran Rookie RC Gold #/2025 Athletics #US104,3.99,True,Gold 2025
