seller_username,title,all_in_price,CT_list,player_guess
dude-store,2025 Topps Update - Curtis Mead #US41 - Tampa Bay Rays,2.97,,Curtis Mead
railroadbedcards,2025 Topps Update Series - Curtis Mead #US41 Sandglitter,1.97,Sandglitter,Curtis Mead
caleddie,2025 Topps Update Baseball # US41 Curtis Mead,2.25,,Curtis Mead
trulyhonesttraders,Curtis Mead 2025 Topps Update Diamante Foil #US41 Tampa Bay Rays,2.31,Diamante,Curtis Mead
trulyhonesttraders,Curtis Mead 2025 Topps Update Diamante Foil #US41 Tampa Bay Rays,2.31,Diamante,Curtis Mead
oceancardsandcollectables,2025 Topps Update #US41 Curtis Mead Tampa Bay Rays,1.69,,Curtis Mead
fritziefeet,Curtis Mead 2025 Topps Update Rainbow Foil Parallel SP #US41 Rays,1.75,Base Rainbow,Curtis Mead
payro-70,2025 Topps Update Diamante Foil #US41 Curtis Mead - Tampa Bay Rays,2.04,Diamante,Curtis Mead
acrowsfeast,2025 Topps Update Base #US41 Curtis Mead Tampa Bay Rays,1.99,,Curtis Mead
katertot1372,2025 Topps Update US41 Curtis Mead Rays,2.25,,Curtis Mead
sandscards2,Curtis Mead 2025 Topps Update Purple Foil Tampa Bay Rays 48/250 #US41 D41,4.98,Purple Rainbow,Curtis Mead
slabbyjoe,Curtis Mead 2025 Topps Update #US41 Diamante Foil Tampa Bay Rays,2.34,Diamante,Curtis Mead
ruthsports,2025 Topps Update #US41 Curtis Mead,1.49,,Curtis Mead
mikeocardshop,2025 Topps Update Rainbow Foil Curtis Mead Tampa Bay Rays #US41,2.0,Base Rainbow,Curtis Mead
trulyhonesttraders,Curtis Mead 2025 Topps Update Holiday Jack O’Lantern Foil #US41 Tampa Bay Rays,3.81,Holiday Jackolantern,Curtis Mead
jemclau5287,2025 Topps Update Series - Curtis Mead #US41,1.89,,Curtis Mead
caleddie,2025 Topps Update Baseball # US41 Curtis Mead,2.25,,Curtis Mead
wilbrownel0,2025 Topps Update Curtis Mead Holiday Foil #US41 Rays,2.98,,Curtis Mead
muck1201,2025 Topps Update Series - Curtis Mead #US41 Rays,1.74,,Curtis Mead
pskell02,2025 Topps Update Curtis Mead #US41,1.84,,Curtis Mead
rainforrestcardshop,2025 Topps Update #US41 Curtis Mead Diamante Foil,2.0,Diamante,Curtis Mead
kegall-87,2025 Topps Update #US41 Curtis Mead Tampa Bay Rays,1.75,,Curtis Mead
junkwaxkids,2025 Topps Update #US41 Curtis Mead,1.29,,Curtis Mead
firehousesportzcardz,2025 Topps Update #US41 Curtis Mead,1.39,,Curtis Mead
tremp1977,2025 Topps Update - Curtis Mead Sandglitter #US41 Tampa Bay Rays,1.73,Sandglitter,Curtis Mead
gecards_shop,2025 Topps Update Series Curtis Mead #US41 Clear Border 03/10 Rays -QI95,75.0,Clear 10,Curtis Mead
lvrollers,2025 Topps Update Curtis Mead Gold #/2025 #US41 Card,2.49,Gold 2025,Curtis Mead
tldecker77,2025 Topps Update Tampa Bay Rays Curtis Mead Sandglitter #US41,2.24,Sandglitter,Curtis Mead
gotbaseballcards,2025 Topps Update #US41 Curtis Mead Tampa Bay Rays,2.98,,Curtis Mead
jrgnb,2025 Topps Update Series - Curtis Mead US41 Gold /2025,2.75,Gold 2025,Curtis Mead
leechrips,2025 Topps Update Series Curtis Mead #US41 Diamante Foil,1.99,Diamante,Curtis Mead
pnw-406cardcollecting,Curtis Mead Rainbow Foil 2025 Topps Update Series Card #US41 Tampa Bay Rays,1.5,Base Rainbow,Curtis Mead
2ndtonone78,2025 Topps Update US41 CURTIS MEAD Rainbow Foil BUY ANY 2 GET 1 FREE,2.31,Base Rainbow,Curtis Mead
ericscardsii,Curtis Mead 2025 Topps Update Meijer Tinsel #US41 Tampa Bay Rays,3.69,,Curtis Mead
ericscardsii,Curtis Mead 2025 Topps Update Tampa Bay Rays #US41,1.66,,Curtis Mead
firegirlbear1,2025 Topps Update #US41 Curtis Mead,1.35,,Curtis Mead
seaweed21,2025 Topps Update Series -#US41 Curtis Mead Skeleton Holiday Foil  #24/50,11.49,Holiday Mummy,Curtis Mead
cape_comics_fl,2025 Topps Update Series - Curtis Mead #US41 Holofoil Tampa Bay Rays 2nd MLB,2.25,,Curtis Mead
amsandcas,2025 Topps Update Foil #US41 CURTIS MEAD ⚾️ Tampa Bay Rays ⚾️ FREE SHIPPING ⚾️,4.95,,Curtis Mead
trulyhonesttraders,Curtis Mead 2025 Topps Update Rainbow Foil #US41 Tampa Bay Rays,2.31,Base Rainbow,Curtis Mead
dollardeals007,2025 Topps Update Baseball Curtis Mead Gold #'D 0957/2025 #US41,15.6,Gold 2025,Curtis Mead
brushing23,Curtis Mead 2025 Topps Update #US41 Pink Diamante Foil Tampa Bay Rays,2.48,Diamante,Curtis Mead
1967dew,2025 Topps Update #US41 Curtis Mead - BB,2.49,,Curtis Mead
orioles98,2025 Topps Update HOLOFOIL Curtis Mead #US41 - Tampa Bay Rays,1.72,,Curtis Mead
