CT_list,wins,losses,win_rate,avg_win_margin,played
All Star Game,58,506,0.102837,14.2705,570
Base Rainbow,1695,8129,0.172537,1.6953,9959
Night Terrors,90,397,0.184805,1.4596,493
Diamante,2423,8395,0.223979,1.5376,10965
Black Gold,173,537,0.243662,2.9168,718
Mystical,210,631,0.249703,4.5447,852
Orange Black,1292,3685,0.259594,1.3774,5055
Chrome,664,1755,0.274494,18.3779,2439
Sandglitter,2197,5804,0.274591,1.8251,8114
Mvp,54,133,0.28877,9.3335,190
1990,791,1536,0.339923,17.5377,2348
X-Fractor,99,167,0.37218,1.07,274
Gold 2025,5168,6404,0.446595,2.9399,11662
Aqua Rainbow,590,551,0.51709,3.6118,1143
Holiday Jackolantern,1865,1674,0.526985,3.9054,3564
Purple Rainbow,4502,3324,0.575262,5.2359,7869
Holiday Ghost,392,279,0.584203,4.1714,675
Blue Rainbow,4111,2184,0.653058,6.767,6316
Green Foil,4000,1537,0.722413,11.1108,5551
SSP,507,154,0.76702,94.0872,664
Flagship Real One,204,51,0.8,39.9385,255
As Stitches,100,21,0.826446,29.8493,121
Vintage 99,1719,299,0.851833,18.1946,2019
Photo Variation,1954,332,0.854768,36.6921,2289
Canvas 50,1273,204,0.861882,26.6167,1480
Gold 50,3432,530,0.866229,32.1345,3967
Independence Day 76,2089,266,0.887049,30.4556,2355
Flagship Patch Auto,59,7,0.893939,59.008,66
Holiday Mummy,838,98,0.895299,14.9237,938
Camo 25,878,75,0.921301,24.9598,953
Orange 25,2446,199,0.924764,47.072,2646
Foil Fractor 1of1,131,7,0.949275,219.6077,138
Wood 25,519,27,0.950549,42.7927,546
Golden Mirror,907,36,0.961824,59.1058,944
Black 10,1472,56,0.963351,69.6815,1528
Printing Plate 1of1,91,2,0.978495,228.8193,93
Clear 10,282,4,0.986014,56.4605,286
Red 5,479,4,0.991718,85.9793,483
Own The Name,7,0,1.0,1376.3671,7
Sketch,24,0,1.0,47.0171,24
First Card 1of1,29,0,1.0,404.5086,29
Platinum 1of1,32,0,1.0,245.2978,32
Holiday Bats,39,0,1.0,332.0641,39
Holiday Witch Hat 5,41,0,1.0,173.761,41
Acetate 10,74,0,1.0,95.9365,74
