CT_list,winner_player,loser_player,winner_price,loser_price,price_diff,winner_seller,winner_title,loser_seller,loser_title
Purple Rainbow,Tyler Tolbert,Clay Holmes,11.75,4.99,6.76,cubbie_1908,"2025 Topps Update US122 Tyler Tolbert, Kansas City Royals RC Purple #/250",saratogasportscardco,Clay Holmes 2025 Topps Update Purple Holo Foil #/250 #US245 Mets
Diamante,Matt Svanson,Gunnar Hoglund,6.34,1.99,4.35,housedoor40,2025 Topps Update Series - Matt Svanson #US293 (RC) pink Diamante,jdogsrelics,2025 Topps Update #US254 Gunnar Hoglund Pink Diamante Foil Athletics RC Baseball
Diamante,Carlos Santana,Dalton Rushing,3.35,1.99,1.36,col_65924,2025 Topps Update Series - Carlos Santana #US148 Pink Diamante Foil,beardedcardking99,2025 Topps Update #US38 DALTON RUSHING RC DIAMANTE FOIL
Orange 25,Nolan Jones,Victor Caratini,14.92,11.99,2.93,bigbalum93,Nolan Jones 2025 Topps Update Orange Diamanté #US341 Cleveland Guardians /25,reign_in_cards,2025 Topps Update VICTOR CARATINI Orange Foil /25 #US149 Astros Color Match
Diamante,Aaron Judge,Caleb Freeman,5.95,2.99,2.96,raiders4,2025 Topps Update Aaron Judge #US86 Legends Unite Pink Diamante Foil ⚾️ Yankees,dakotacollector,2025 Topps Update Series - Caleb Freeman #US253 Diamante Foil (RC)
Base Rainbow,Robert Garcia,Kevin Pillar,2.25,1.99,0.26,garygunner,2025 Topps Update Rainbow Foil #US329 Robert Garcia,double3030,2025 Topps Update Series Rainbow Foil #US311 Kevin Pillar Texas Rangers
Vintage 99,Drake Baldwin,Mason Fluharty,164.99,60.98,104.01,thebradfordfish,2025 Topps update Drake Baldwin vintage stock /99 RC US87,munst-7504,2025 topps update baseball- Mason Fluharty Vintage/99 RC- Blue Jays
Sandglitter,Aroldis Chapman,Tyler Tolbert,2.98,2.25,0.73,wilbrownel0,2025 Topps Update #US116 Aroldis Chapman Sandglitter,overthamoon,2025 Topps Update Series - Tyler Tolbert #US122 Sandglitter (RC)
Blue Rainbow,Ryan Miller,Jack O'Loughlin,6.89,2.79,4.1,veteranssportscardsfl,2025 Topps Update #US317 Ryan Miller RC Tigers Blue Holo Foil #/150 🔥,gab_85631,2025 Topps Update Jack O'Loughlin RC Blue Rainbow Foil 033/150 #US215 Rockies
Orange Black,Thomas Saggese,Mickey Gasper,4.31,1.95,2.36,zags4life22,Thomas Saggese Orange and black Foil Rookie 2025 Topps Update Series Card #US21,jaken434,2025 Topps Update Series - Mickey Gasper #US291 Holiday Orange & Black Foil (RC)
Flagship Real One,Noah Cameron,Matt Shaw,104.98,54.49,50.49,tychocards,2025 TOPPS UPDATE REAL ONE NOAH CAMERON RC AUTO ROYALS #US65,mattyh311,2025 Topps Update Matt Shaw Real One Auto US200 RC Auto Chicago Cubs
Flagship Real One,Hunter Dobbins,Ryan Gusto,29.0,11.68,17.32,chefbones17,2025 Topps Update Series - Flagship Real One Autographs Hunter Dobbins #US270...,gummyratz,2025 Topps Update Ryan Gusto Real One Auto On Card RC
Orange Black,Tommy Pham,Brady Singer,3.99,1.96,2.03,dade-5658,2025 Topps Update -#US266 - Black Orange Parallel - Tommy Pham - Pirates + Base,l.a.d.777,2025 Topps Update Halloween Orange and Black Foil #US344 Brady Singer
Base Rainbow,Carlos Duran,Clay Holmes,1.99,1.68,0.31,carcon_7954,Carlos Duran 2025 Topps Update Series #US104 Rainbow Foil Athletics,csdym-30,"2025 Topps UPDATE Baseball US245 Clay Holmes, New York Mets Rainbow Foil"
Gold 2025,Moisés Ballesteros,Yoán Moncada,4.62,3.48,1.14,operationbnl_sportscards,Moisés Ballesteros 2025 Topps Update #US236 Gold #/2025 Chicago Cubs,bucs-21,2025 Topps Update #US24 Yoán Moncada Gold #/2025
Vintage 99,Thairo Estrada,Tanner Gordon,17.99,11.49,6.5,whodeyf_31,2025 TOPPS UPDATE VINTAGE STOCK /99 US339 THAIRO ESTRADA COLORADO ROCKIES,emc23,"2025 Topps Update US8 Tanner Gordon, Vintage Stock Parallel 62/99"
Orange 25,Chase Petty,Mark Leiter Jr.,146.99,12.0,134.99,kelloggsboyniu,2025 Topps Update Series Chase Petty Auto 1/25 Orange Refractor Reds,obees_sportscards,MARK LEITER JR. 2025 TOPPS UPDATE SERIES ORANGE FOIL YANKEES /25
Gold 2025,Thomas Harrington,Elvis Alvarado,6.69,3.99,2.7,comc_consignment,2025 Topps Update Gold /2025 Thomas Harrington #US273 18ye,bg_emporium,Elvis Alvarado 2025 Topps Update Gold /2025 Athletics #US61
1990,Mick Abel,Luke Keaschall,1.75,1.5,0.25,skadisportscards24,2025 Topps Update Baseball 35th Anniversary Mick Abel Philadelphia Phillies,rhopow40,2025 Topps Update Series #U90-1 Luke Keaschall RC - 1990 Topps Foil - Rookie
Base Rainbow,Elly De La Cruz / Matt McLain,Luken Baker,4.1,2.21,1.89,meach27,2025 Topps Update Elly De La Cruz and Matt McLain Rainbow Foil - Reds #US331,ericscardsii,Luken Baker 2025 Topps Update Rainbow Foil #US153 St. Louis Cardinals
Base Rainbow,Willie MacIver,Gerson Garabito,3.31,2.49,0.82,safitz_6,2025 Topps Update Rainbow Foil #US79 Willie MacIver Oakland Athletics RC,hbggaming,2025 Topps Update Series #US249 Gerson Garabito Rookie Rainbow Foil (RC)
