player_name,wins,losses,win_rate,avg_win_margin,played
Noah Murdock,833,54,0.939121,5.5818,887
Shohei Ohtani,6329,477,0.929915,120.5765,6810
Aaron Judge / Jazz Chisholm Jr.,1533,120,0.927405,14.6395,1654
Mason Fluharty,2361,206,0.919751,33.551,2573
Nick Kurtz,4723,495,0.905136,32.9285,5232
Drake Baldwin,5104,701,0.879242,57.6374,5826
MJ Melendez / Bobby Witt Jr.,1602,228,0.87541,3.7394,1843
Roki Sasaki,2465,366,0.870717,48.0811,2856
Noah Cameron,1765,313,0.849374,15.4447,2106
Ben Rice,2938,536,0.845711,19.0727,3503
Daylen Lile,2043,377,0.844215,12.6314,2438
Jack Dreyer,1675,378,0.815879,17.8343,2064
Chad Patrick,2038,580,0.778457,10.06,2637
Aaron Judge,4375,1266,0.775572,18.8314,5677
AJ Blubaugh,1489,472,0.759306,12.336,1981
Marcelo Mayer,3263,1127,0.74328,23.1497,4422
James Wood,3363,1200,0.737015,27.6203,4618
Bryce Harper / Nick Castellanos,879,324,0.730673,23.4893,1215
Marcell Ozuna / Ozzie Albies,997,369,0.729868,22.1082,1377
Elly De La Cruz / Matt McLain,1894,757,0.714447,7.392,2706
Aroldis Chapman,1497,604,0.712518,4.5139,2130
Spencer Schwellenbach,2440,985,0.712409,35.9362,3476
Grant Wolfram,1628,662,0.710917,8.329,2333
Miguel Rojas,809,333,0.708406,13.8987,1166
Jake Mangum,1659,773,0.682155,26.0679,2471
Ryan Fitzgerald,1655,784,0.678557,12.4245,2453
Jacob Wilson,2806,1360,0.673548,39.5192,4216
José Ramírez / Steven Kwan,612,313,0.661622,6.13,933
Anthony Banda,1264,651,0.660052,2.538,1948
Hunter Dobbins,2678,1406,0.65573,15.6521,4122
Andrés Muñoz,769,404,0.655584,2.5387,1183
Kristian Campbell,5536,2947,0.652599,12.0872,8576
Jackson Jobe,2462,1323,0.650462,19.1832,3869
Kevin Alcántara,1245,670,0.650131,2.0249,1927
Hyeseong Kim,2887,1556,0.649786,18.6743,4472
Blake Snell / Tyler Glasnow,1620,887,0.646191,6.2701,2534
Jace Jung,1843,1023,0.643057,14.4681,2899
Bryce Harper,3801,2156,0.638073,7.8357,6033
Matt Shaw,5231,2998,0.635679,7.609,8337
Caleb Durbin,4054,2335,0.634528,12.321,6459
Logan VanWey,1627,938,0.634308,6.7055,2604
Cam Smith,4558,2698,0.62817,31.1015,7299
Justin Steele,1742,1052,0.623479,3.5631,2826
Kumar Rocker,1734,1052,0.622398,13.5438,2835
Alejandro Osuna,1754,1079,0.619132,5.0727,2865
Thomas Harrington,2163,1337,0.618,12.3791,3552
Ben Williamson,1752,1094,0.615601,21.9608,2868
Moisés Ballesteros,1902,1191,0.614937,10.4568,3120
John Rave,1660,1044,0.613905,6.5885,2731
Cade Horton,2730,1737,0.611148,32.151,4515
Patrick Monteverde,1679,1081,0.608333,3.117,2783
Iván Herrera,804,521,0.606792,4.367,1343
Elly De La Cruz,2931,1912,0.605203,16.4053,4932
Carson McCusker,1842,1231,0.599414,9.0637,3153
Trenton Brooks,1683,1128,0.598719,2.3431,2847
Fernando Cruz,1216,816,0.598425,3.0519,2057
Shane Smith,1891,1270,0.598228,7.9836,3206
Chase Meidroth,2206,1487,0.597346,12.9812,3705
Dominic Canzone,1825,1253,0.592917,5.1697,3146
Ryan Bergert,1176,809,0.592443,5.4234,2030
Brooks Lee,2054,1416,0.591931,13.0604,3495
Jorbit Vivas,1679,1171,0.589123,11.3396,2882
Yohel Pozo,1820,1278,0.587476,4.5218,3151
Zach Agnos,1859,1316,0.585512,2.681,3210
Michael Darrell-Hicks,1338,951,0.584535,2.3446,2317
Dylan Crews,2575,1833,0.584165,15.0051,4487
Lawrence Butler / Brent Rooker,1381,991,0.582209,6.2904,2396
Tsung-Che Cheng,1668,1204,0.58078,10.1372,2925
Pete Crow-Armstrong,2077,1501,0.580492,5.9183,3654
Ryan Loutos,1449,1057,0.578212,3.0946,2541
Chase Shugart,1094,805,0.576093,3.4145,1919
Caden Dana,1738,1284,0.575116,4.9193,3059
Braxton Ashcraft,991,733,0.574826,5.0616,1770
Jonathan India,1511,1130,0.572132,3.4486,2670
Tayler Saucedo,1297,972,0.571617,3.6516,2309
Logan Henderson,2117,1598,0.569852,83.3025,3791
Logan Davidson,1632,1233,0.569634,8.5194,2925
Denzel Clarke,1325,1007,0.568182,3.016,2373
Braydon Fisher,1922,1462,0.567967,5.8762,3419
Christian Yelich / Jackson Chourio,709,541,0.5672,1.1857,1279
Jonathan Bermúdez,811,626,0.56437,2.2787,1471
Jeremiah Estrada,1585,1227,0.563656,23.5564,2869
Brett Baty,1609,1256,0.561606,2.0998,2899
Eli White,1990,1554,0.561512,3.0658,3584
Brad Lord,1455,1141,0.560478,2.2334,2697
Ramón Laureano,540,424,0.560166,1.9865,971
Fernando Tatis Jr.,3223,2539,0.559354,7.6073,5842
Tyler Tolbert,1368,1078,0.55928,5.2216,2518
Tim Tawa,1411,1119,0.557708,13.8886,2569
Tim Elko,1401,1120,0.555732,11.9536,2560
Luke Keaschall,2958,2383,0.553829,17.429,5458
Mark Leiter Jr.,1393,1127,0.552778,1.6681,2582
Dane Myers,1530,1239,0.552546,2.6923,2792
Max Muncy,1832,1487,0.551973,9.922,3382
Rafael Devers,1672,1362,0.551088,8.0761,3106
J.C. Escarra,1371,1118,0.550824,4.4688,2537
Alex Vesia,1272,1049,0.54804,2.319,2371
Drew Avans,1407,1182,0.543453,10.1344,2640
Mick Abel,2841,2402,0.541865,15.568,5319
Evan Phillips,1749,1489,0.540148,4.7816,3271
Cody Bellinger,1908,1630,0.539288,8.8924,3569
Levi Jordan,1794,1547,0.536965,2.429,3401
Doug Nikhazy,1284,1110,0.536341,5.423,2435
Luis Matos,1755,1533,0.533759,9.1468,3333
Max Kepler,1284,1122,0.533666,1.9973,2462
David Morgan,1533,1350,0.531738,6.049,2932
Martín Maldonado,829,732,0.53107,1.1426,1603
Marc Church,1781,1585,0.529115,2.3977,3418
Romy Gonzalez,1078,966,0.527397,2.6858,2069
Kody Clemens,1213,1092,0.526247,1.3304,2353
Logan Evans,797,718,0.526073,7.6674,1583
Jack Leiter,1566,1412,0.525856,5.0355,3036
Nic Enright,1501,1354,0.525744,4.4113,2908
