player_name,CT_list,all_in_price,seller,title
Aaron Judge,1990,3.31,mostarcollectibles,2025 Topps Update Baseball - Aaron Judge 1990 Insert #U90-30
Aaron Judge,1990,2.75,ripperofpacks,Aaron Judge 35th Anniversary Foil - 2025 Topps Update - U90-30
Aaron Judge,1990,2.73,jts_fieldofcards,2025 Topps Update✨Retro 1990 Holo Foil✨#U90-30 Aaron Judge - New York Yankees
Aaron Judge,1990,1.95,whitesoxfan8907,Aaron Judge Yankees 2025 Topps Update 1990 Topps Baseball #U90-30 Foil
Aaron Judge,1990,1.6,bowmanbargainbin,2025 Topps Update Series - 1990 Topps Baseball Aaron Judge #U90-30
Aaron Judge,1990,1.5,marcgvas_1,2025 Topps Update Aaron Judge 35th Anniversary Insert Yankees EXNM
Aaron Judge,All Star Game,49.99,abcane1926,AARON JUDGE New York Yankees 2025 Topps Update All-Star Game #ASG-2 SILVER FOIL
Aaron Judge,All Star Game,7.49,dba22000,2025 Topps Update Series - AARON JUDGE 2025 All-Star Game Refractor YANKEES🔥
Aaron Judge,All Star Game,6.31,dingersbaseballcards99,2025 Topps Update Aaron Judge Refractor 2025 All-Star Game
Aaron Judge,All Star Game,3.69,axle_premiumsportscards,Aaron Judge 2025 Topps Update 2025 All-Star Game New York Yankees
Aaron Judge,All Star Game,2.79,njtreasures0108,2025 Topps Update - 2025 All-Star Game #ASG-2 Aaron Judge New York Yankees
Aaron Judge,All Star Game,2.73,jj_sandberg,2025 Topps Update All-Star Silver Foil #ASG-2 Aaron Judge
Aaron Judge,All Star Game,2.22,railroadbedcards,2025 Topps Update Series - 2025 All-Star Game Aaron Judge #ASG-2
Aaron Judge,All Star Game,1.84,pskell02,2025 Topps Update Aaron Judge #ASG-2 2025 All-Star Game
Aaron Judge,Mystical,6.49,zillarips,2025 Topps Update Series - Mystical Aaron Judge PINK #MYS-18
Aaron Judge,Mystical,6.34,radioflyer-sportscards,2025 Topps Update - Aaron Judge - Mystical #MYS-18
Aaron Judge,Mystical,5.0,rlcards661,2025 Topps Update Aaron Judge MYSTICAL Insert New York Yankees #MYS-18
Aaron Judge,Mystical,4.64,cardgrubber2000,2025 Topps Update Aaron Judge Mystical Insert #MYS-18
Aaron Judge,Mystical,3.88,bucsco78_1,2025 Topps Update Series - Mystical Aaron Judge #MYS-18 Yankees
Aaron Judge,Mystical,3.75,whitesoxfan8907,Aaron Judge New York Yankees 2025 Topps Update Mystical Foil #MYS-18
Alejandro Osuna,Blue Rainbow,8.3,toobrokeforsleeves,2025 Topps Update Series - Alejandro Osuna #US10 Blue Foil  #/150 (RC)
Alejandro Osuna,Blue Rainbow,8.24,jash112233,2025 Topps Update Alejandro Osuna RC Blue /150 Rangers US10
Alejandro Osuna,Blue Rainbow,6.24,thebreakbarn,2025 Topps Update Series - Alejandro Osuna Blue Foil /150 RC
Braydon Fisher,Gold 2025,7.0,caughtupintheskycards,2025 Topps Update Braydon Fisher  RC Gold #1084/2025 Blue Jays
Braydon Fisher,Gold 2025,4.99,chmass-60,2025 Topps Update #US89 Braydon Fisher Gold #/2025
Braydon Fisher,Gold 2025,3.99,417dlthome,2025 Topps Update Braydon Fisher Rookie RC Gold #/2025 Blue Jays  #US89
Braydon Fisher,Gold 2025,3.54,rt_card_vault,2025 Topps Update Series - Gold /2025 Braydon Fisher RC #US89 Toronto Blue Jays
Braydon Fisher,Gold 2025,2.99,jusmo-60,2025 Topps Update #US89 Braydon Fisher Gold Border Rookie RC #/2025
Braydon Fisher,Gold 2025,2.99,redbrickrips,2025 Topps Update Braydon Fisher #US89 Gold Border Rookie RC #/2025 Blue Jays
Braydon Fisher,Gold 2025,2.98,ne5t_finds82,2025 Topps Update #US89 Braydon Fisher Gold Border Rookie RC #/2025
Braydon Fisher,Gold 2025,1.74,greg-9671,2025 Topps Update Series - Braydon Fisher #US89 Gold /2025 (RC)
Bryan Sammons,Gold 2025,3.99,417dlthome,2025 Topps Update Bryan Sammons Rookie RC Gold #/2025 Tigers #US198
Bryan Sammons,Gold 2025,3.48,bucs-21,2025 Topps Update #US198 Bryan Sammons Gold #/2025
Bryan Sammons,Gold 2025,2.99,mcucinella,2025 Topps Update Series Bryan Sammons GOLD RC Parallel #'d 0639/2025
Bryan Sammons,Gold 2025,2.59,card_xchange,2025 Topps Update BRYAN SAMMONS Gold Parallel Rookie (RC) /2025 | Card No. US198
Cade Gibson,Gold 2025,4.99,bowmanslr,2025 Topps Update Series - Cade Gibson #US131 Gold 849/2025 (RC)
Cade Gibson,Gold 2025,2.98,crows_cards,2025 Topps Update Series - Cade Gibson #US131 Gold /2025 (RC) Miami Marlins
Cade Gibson,Gold 2025,2.82,2ndtonone78,2025 Topps Update #US131 CADE GIBSON RC Gold /2025 BUY ANY 2 GET 1 FREE
Cade Gibson,Gold 2025,1.99,cardboard_collector83,2025 Topps Update Series - Cade Gibson #US131 Gold 1031/2025 (RC)
Cade Gibson,Gold 2025,1.98,clayscards86,2025 Topps Update Series - Cade Gibson #US131 Gold /2025 (RC)
Carlos Duran,Gold 2025,3.56,10chucks,CARLOS DURAN RC 2025 Topps Update Series Gold /2025 Athletics #US104
Carlos Duran,Gold 2025,3.4,x2jzka,2025 Topps Update - Carlos Duran #US104 - Gold /2025 (RC)
Carlos Duran,Gold 2025,2.99,thecord44,2025 Topps Update #US104 Carlos Duran Gold /2025 RC Athletics
Carlos Duran,Gold 2025,2.28,ozkards,2025 Topps Update 82/2025 Carlos Duran RC Gold #US104 Oakland Athletics Rookie
Carlos Duran,Purple Rainbow,6.84,teambryan,2025 Topps Update Series Carlos Duran #US104 Purple Holofoil /250
Carlos Duran,Purple Rainbow,4.0,ocparallels,2025 Topps Update Series Carlos Duran #US104 Purple Rainbow Foil /250
Carlos Duran,Purple Rainbow,3.98,gameballsportscards,2025 Topps Update Carlos Duran #US104 Purple Rainbow Foil /250 RC Athletics
Carson Palmquist,Purple Rainbow,3.98,bucs-21,2025 Topps Update #US321 Carson Palmquist Purple Rainbow Foil #/250
Carson Palmquist,Purple Rainbow,3.85,midtnbreaks1,2025 Topps Update Series - Carson Palmquist #US321 Purple Rainbow Foil /250 (RC)
Carson Palmquist,Purple Rainbow,3.14,2ndtonone78,2025 Topps Update #US321 CARSON PALMQUIST RC Purple Rainbow Foil /250
Connor Joe,Gold 50,7.99,417dlthome,2025 Topps Update Baseball Connor Joe Gold Foil # /50 Reds #US58
Connor Thomas,Gold 2025,3.24,rt_card_vault,2025 Topps Update Connor Thomas RC Gold /2025 Brewers
Connor Thomas,Gold 2025,2.78,rt_card_vault,2025 Topps Update #US63 Connor Thomas RC  Gold /2025  Brewers
Connor Thomas,Gold 2025,2.74,basment_dweller_cards,2025 Topps Update Series #US63 Connor Thomas (RC) Gold /2025 Milwaukee Brewers
Craig Yoho,Blue Rainbow,25.0,last_stop_collectibles,2025 Topps Update Craig Yoho Baseball Stars Rookie Blue Auto /150
Craig Yoho,Blue Rainbow,5.0,borskicards,2025 Topps Update Series - Craig Yoho #US261 Blue Holofoil /150 (RC)
Craig Yoho,Blue Rainbow,3.59,sl_sports_cards,2025 Topps Update Series Craig Yoho #US261 Blue Holofoil /150 (RC)
Curtis Mead,Green Foil,9.99,417dlthome,2025 Topps Update Curtis Mead  Green #/99 Rays #US41
Curtis Mead,Green Foil,5.49,22crazyforcards,2025 Topps Update Curtis Mead  Green Foil #/99 Rays #US41
Daniel Robert,Green Foil,6.99,417dlthome,2025 Topps Update Daniel Robert Rookie RC Green #/99 Rangers #US304
Daniel Robert,Purple Rainbow,5.99,417dlthome,2025 Topps Update Daniel Robert Rookie RC Purple Holofoil #/250 Rangers #US304
Daniel Robert,Purple Rainbow,5.21,talknsportz,2025 Topps Update DANIEL ROBERT Texas Rangers PURPLE FOIL /250 ROOKIE RC #US125
Daniel Robert,Purple Rainbow,4.19,leggs-lists,Daniel Robert (RC) 2025 Topps Update Purple Rainbow Foil 074/250 #US-304 Rangers
Drake Baldwin,1990,86.0,outfieldace,2025 Topps Update Series - 1990 Topps Baseball Autographs Drake Baldwin #90AU-DB
Drake Baldwin,1990,3.0,mllrddck,2025 Topps Update #U90-42 35th Anniversary Drake Baldwin (RC) Braves
Drake Baldwin,1990,3.0,mllrddck,2025 Topps Update #U90-42 35th Anniversary Drake Baldwin (RC) Braves
Drake Baldwin,1990,3.0,mllrddck,2025 Topps Update #U90-42 35th Anniversary Drake Baldwin (RC) Braves
Drake Baldwin,1990,2.98,jwscards27,2025 Topps Update Series Drake Baldwin 35th Anniversary Holofoil RC #U90-32 ROY
