player_name,CT_list,market_all_in_price,pred_price,underpriced_by,seller,title,item_id,item_web_url
Ben Rice,Chrome,1.74,26.4783,24.7383,muck1201,2025 Topps Update Series Chrome - #USC138 Ben Rice (RC) Yankees,,
Roki Sasaki,1990,1.99,26.6406,24.6506,markitoscards,2025 Topps Update Series - 1990 Topps Baseball Roki Sasaki #U90-11 (RC),,
Daylen Lile,Orange Black,1.99,26.4783,24.4883,kjstone7355,2025 Topps Update Series - Daylen Lile #US172 Holiday Orange & Black Foil (RC),,
Ben Rice,Diamante,1.98,26.3208,24.3408,clayscards86,2025 Topps Update Series - Rookie Debut Ben Rice #US25 Diamante Foil (RC),,
Ben Rice,Diamante,2.08,26.3208,24.2408,tandlshops,2025 Topps Update #US25 Ben Rice Diamante Foil,,
Ben Rice,Chrome,2.26,26.4783,24.2183,infinityartmedia,BEN RICE—2025 Topps Update Series Chrome Refractor #USC138—ROOKIE CARD,,
Daylen Lile,Chrome,2.29,26.4783,24.1883,626_baseballcards,2025 Topps Update Series Chrome - Daylen Lile (RC) #USC146,,
Noah Cameron,Base Rainbow,1.99,25.8597,23.8697,schleidscards24,2025 Topps Update Series Noah Cameron #US65 Rainbow Foil Rookie RC Royals,,
Ben Rice,Chrome,2.7,26.4783,23.7783,tradingcardexpress,2025 Topps Update Chrome Ben Rice RC Rookie Debut #USC-138 Yankees,,
Noah Cameron,Sandglitter,2.79,26.4783,23.6883,fiveonetwo_cards,2025 Topps Update Noah Cameron Sand Glitter #US65 Kansas City Royals Rookie RC,,
Daylen Lile,,1.19,24.7807,23.5907,michaeljames44,2025 Topps Update Series Daylen Lile #US172,,
Ben Rice,Diamante,2.81,26.3208,23.5108,hulkmaster_5,2025 Topps Update #US25 Ben Rice Diamante Foil,,
Daylen Lile,Sandglitter,2.98,26.4783,23.4983,ne5t_finds82,DAYLEN LILE RC Sand Glitter 2025 Topps Update Nationals US172,,
Daylen Lile,,1.29,24.7807,23.4907,junkwaxkids,2025 Topps Update #US172 Daylen Lile,,
Daylen Lile,,1.3,24.7807,23.4807,josdun-4118,"DAYLEN LILE. Rookie, RC. 2025 Topps Update Baseball. #US172. Washington...",,
Noah Cameron,,1.35,24.7807,23.4307,firegirlbear1,2025 Topps Update #US65 Noah Cameron,,
Noah Cameron,,1.39,24.7807,23.3907,firehousesportzcardz,2025 Topps Update #US65 Noah Cameron,,
Roki Sasaki,,1.39,24.7807,23.3907,firehousesportzcardz,2025 Topps Update #US199 Roki Sasaki,,
Ben Rice,,1.39,24.7807,23.3907,firehousesportzcardz,2025 Topps Update #US25 Ben Rice,,
Daylen Lile,,1.39,24.7807,23.3907,firehousesportzcardz,2025 Topps Update #US172 Daylen Lile,,
Daylen Lile,,1.39,24.7807,23.3907,firehousesportzcardz,2025 Topps Update #US172 Daylen Lile,,
Noah Cameron,Sandglitter,3.1,26.4783,23.3783,col_65924,2025 Topps Update Series - Noah Cameron #US65 Sandglitter (RC),,
Ben Rice,Base Rainbow,2.5,25.8597,23.3597,kingcyrussportscards,2025 Topps Update Series - Rookie Debut Ben Rice #US25 Rainbow Foil (RC),,
Roki Sasaki,,1.45,24.7807,23.3307,drkeller44,2025 Topps Update #US199 Roki Sasaki RC - Los Angeles Dodgers Rookie,,
Ben Rice,Diamante,3.0,26.3208,23.3208,brpafcshcp,2025 Topps Update Ben Rice Diamante Foil Rookie Debut RC #25,,
Noah Cameron,,1.49,24.7807,23.2907,jkcr_29,Noah Cameron 2025 Topps Update #US65 RC Kansas City Royals,,
Daylen Lile,,1.49,24.7807,23.2907,phoeniciantrading,2025 Topps Update #US172 Daylen Lile,,
Ben Rice,,1.49,24.7807,23.2907,ledsimpson,2025 Topps Update Ben Rice US25 New York Yankees Rookie,,
Roki Sasaki,,1.49,24.7807,23.2907,acts_of_insanity,2025 Topps Update Roki Sasaki Rookie Debut RC #US199 Los Angeles Dodgers RD NM,,
Daylen Lile,,1.49,24.7807,23.2907,magic_pin_keepers,2025 Topps Update #US172 Daylen Lile,,
Daylen Lile,,1.49,24.7807,23.2907,dkbbl8,2025 Topps Update #US172 Daylen Lile Rookie Washington Nationals,,
Noah Cameron,,1.49,24.7807,23.2907,magic_pin_keepers,2025 Topps Update #US65 Noah Cameron,,
Ben Rice,,1.5,24.7807,23.2807,pnw-406cardcollecting,Ben Rice Debut Rookie RC 2025 Topps Update Series Baseball Card #US25 Yankees,,
Noah Cameron,,1.5,24.7807,23.2807,pnw-406cardcollecting,Noah Cameron Rookie RC 2025 Topps Update Series Card #US65 Kansas City Royals,,
Ben Rice,Sandglitter,3.24,26.4783,23.2383,soccerfanatic7777,2025 Topps Update Ben Rice #337 Sand Glitter RC Rookie NY Yankees ROOKIE CARD,,
Daylen Lile,,1.59,24.7807,23.1907,steelcitygaragesale,2025 Topps Update DAYLEN LILE #US172 Washington Nationals Rookie RC,,
Roki Sasaki,,1.59,24.7807,23.1907,kddtoys,2025 Topps Update Roki Sasaki Rookie Debut Rookie Card #US199,,
Roki Sasaki,,1.59,24.7807,23.1907,kingfisher_collection,Roki Sasaki 2025 Topps Update Rookie Debut RC #US199 Los Angeles Dodgers,,
Noah Cameron,,1.66,24.7807,23.1207,ericscardsii,Noah Cameron 2025 Topps Update Kansas City Royals #US65,,
Daylen Lile,,1.66,24.7807,23.1207,ericscardsii,Daylen Lile 2025 Topps Update Washington Nationals #US172 RC,,
Daylen Lile,,1.69,24.7807,23.0907,argocardsandcollectibles,2025 Topps Update #US172 Daylen Lile (RC) ROOKIE  -  Washington Nationals,,
Daylen Lile,,1.69,24.7807,23.0907,sportscarddock,2025 Topps Update Series - Daylen Lile #US172 (RC),,
Noah Cameron,,1.69,24.7807,23.0907,mercertl,2025 Topps Update #US65 Noah Cameron Kansas City Royals 4563,,
Daylen Lile,,1.69,24.7807,23.0907,dkbbl8,2025 Topps Update #US172 Daylen Lile Rookie Washington Nationals,,
Noah Cameron,,1.7,24.7807,23.0807,jts_fieldofcards,2025 Topps Update Series #US65 Noah Cameron (RC) Kansas City Royals 👑,,
Daylen Lile,Base Rainbow,2.79,25.8597,23.0697,traneofthought,Daylen Lile 2025 Topps Update #US172 Rainbow Foil Rookie,,
Daylen Lile,,1.73,24.7807,23.0507,cull59,2025 Topps Update Baseball Daylen Lile RC US172 Washington Nationals,,
Ben Rice,,1.75,24.7807,23.0307,martyscardrewind,2025 Topps Update #US25 Ben Rice,,
Daylen Lile,,1.75,24.7807,23.0307,grandadsbaseballcards,Daylen Lile 2025 Topps Update Series #US172 Rookie - Washington Nationals,,
Daylen Lile,,1.75,24.7807,23.0307,micgonz_92,2025 Topps Update Daylen Lile-Washington Nationals #US172,,
Ben Rice,,1.75,24.7807,23.0307,mmats01,2025 Topps Update #US25 Ben Rice RC Rookie Debut New York Yankees,,
Noah Cameron,,1.75,24.7807,23.0307,argocardsandcollectibles,2025 Topps Update #US65 Noah Cameron (RC) ROOKIE  -  Kansas City Royals,,
Noah Cameron,,1.75,24.7807,23.0307,basment_dweller_cards,2025 Topps Update Series #US65 Noah Cameron (RC) Kansas City Royals,,
Daylen Lile,,1.79,24.7807,22.9907,dfw_bullionandcollectibles,2025 Topps Update #US172 Daylen Lile (RC) ROOKIE  -  Washington Nationals,,
Daylen Lile,Sandglitter,3.5,26.4783,22.9783,josnic-9149,2025 Topps Update Series - Daylen Lile #US172 Sand Glitter Parallel. Nationals,,
Noah Cameron,,1.84,24.7807,22.9407,slammer1981,2025 Topps Update Series - Noah Cameron #US65 (RC),,
Daylen Lile,,1.84,24.7807,22.9407,slammer1981,2025 Topps Update Series - Daylen Lile #US172 (RC),,
Noah Cameron,,1.84,24.7807,22.9407,pskell02,2025 Topps Update Noah Cameron #US65,,
Noah Cameron,,1.84,24.7807,22.9407,pskell02,2025 Topps Update Noah Cameron #US65,,
Noah Cameron,,1.84,24.7807,22.9407,slammer1981,2025 Topps Update Series - Noah Cameron #US65 (RC),,
Daylen Lile,,1.84,24.7807,22.9407,slammer1981,2025 Topps Update Series - Daylen Lile #US172 (RC),,
Ben Rice,Diamante,3.39,26.3208,22.9308,anthony.rogers8960,2025 Topps Update Ben Rice RC Debut Diamante Foil,,
Roki Sasaki,Base Rainbow,2.95,25.8597,22.9097,raiders4,2025 Topps Update Series - Rookie Debut Roki Sasaki (RC) #US199 - Rainbow Foil,,
Daylen Lile,,1.88,24.7807,22.9007,gth_5015,2025 Topps Update - Nationals Rookie Daylen Lile #US172 (RC),,
Noah Cameron,,1.89,24.7807,22.8907,vladtheinhaler,2025 Topps Update #US65 Noah Cameron (RC) ROOKIE  -  Kansas City Royals,,
Noah Cameron,Base Rainbow,2.99,25.8597,22.8697,mullymoves,2025 Topps Update Series - Noah Cameron #US65 Rainbow Foil (RC),,
Noah Cameron,,1.92,24.7807,22.8607,junkwaxkids,2025 Topps Update #US65 Noah Cameron,,
Noah Cameron,,1.93,24.7807,22.8507,jagscollectables,2025 Topps Update #US65 Noah Cameron,,
Daylen Lile,,1.98,24.7807,22.8007,bearcatsportscards,2025 Topps Update #US172 Daylen Lile RC,,
Ben Rice,,1.98,24.7807,22.8007,billybaseball,2025 Topps Update Ben Rice #US25 RC Rookie New York Yankees,,
Daylen Lile,,1.99,24.7807,22.7907,diamond.27,Daylen Lile RC 2025 Topps Update US172 Washington Nationals,,
Daylen Lile,,1.99,24.7807,22.7907,wny_hobbyclub,2025 Topps Update Daylen Lile Rookie,,
Daylen Lile,,1.99,24.7807,22.7907,comebackcollectibles,2025 Topps Update Daylen Lile Rookie #US172 Washington Nationals,,
Noah Cameron,,1.99,24.7807,22.7907,cobra22nd,2025 Topps Update #US65 Noah Cameron RC Kansas City Royals,,
Roki Sasaki,,1.99,24.7807,22.7907,bigfire3,2025 Topps Update Series - Rookie Debut Roki Sasaki #US199 (RC),,
Ben Rice,,1.99,24.7807,22.7907,cobra22nd,2025 Topps Update #US25 Ben Rice RC New York Yankees RD,,
Noah Cameron,,1.99,24.7807,22.7907,comebackcollectibles,2025 Topps Update Noah Cameron Rookie #US65 Kansas City Royals,,
Daylen Lile,,1.99,24.7807,22.7907,vintage-62,Daylen Lile 2025 Topps Update #US172 RC - Washington Nationals,,
Ben Rice,,1.99,24.7807,22.7907,diamond.27,Ben Rice RC Debut 2025 Topps Update US25 New York Yankees,,
Daylen Lile,,1.99,24.7807,22.7907,jakpi20,2025 Topps Update Daylen Lile #US172 Rookie Card Washington Nationals,,
Daylen Lile,,1.99,24.7807,22.7907,southbg,2025 Topps Update #US172 Daylen Lile,,
Roki Sasaki,,1.99,24.7807,22.7907,jakpi20,2025 Topps Update Roki Sasaki #US199 Rookie Debut Los Angeles Dodgers,,
Noah Cameron,,1.99,24.7807,22.7907,comebackcollectibles,2025 Topps Update Noah Cameron Rookie #US65 Kansas City Royals,,
Daylen Lile,,1.99,24.7807,22.7907,cobra22nd,2025 Topps Update #US172 Daylen Lile RC Washington Nationals,,
Noah Cameron,,1.99,24.7807,22.7907,southbg,2025 Topps Update #US65 Noah Cameron,,
Ben Rice,,1.99,24.7807,22.7907,mcgoverncreativeandcollectibles,2025 Topps Update Series - Rookie Debut Ben Rice #US25 (RC),,
Roki Sasaki,,1.99,24.7807,22.7907,awesomenessclaws1,2025 Topps Update Baseball Roki Sasaki RC Rookie Debut #US199 Dodgers,,
Daylen Lile,,2.0,24.7807,22.7807,rack_pack_cards,Daylen Lile RC 2025 Topps Update Rookie Nationals,,
Daylen Lile,,2.0,24.7807,22.7807,rack_pack_cards,Daylen Lile RC 2025 Topps Update Rookie Nationals,,
Daylen Lile,,2.0,24.7807,22.7807,rack_pack_cards,Daylen Lile RC 2025 Topps Update Rookie Nationals,,
Roki Sasaki,,2.0,24.7807,22.7807,gaming_n_collectibles,2025 Topps Update Roki Sasaki RC Rookie Debut #US199 LA Dodgers,,
Ben Rice,Diamante,3.7,26.3208,22.6208,estatecardsales,2025 Topps Update #US25 Ben Rice RC Diamante SP,,
Daylen Lile,,2.18,24.7807,22.6007,djchinosports,2025 Topps Update Series Base Daylen Lile RC Washington Nationals #US172,,
Ben Rice,,2.24,24.7807,22.5407,ripfan1899,Ben Rice 2025 Topps Update #US25 Foilboard New York Yankees,,
Ben Rice,,2.25,24.7807,22.5307,craigtradescards,2025 Topps Update #US25 Ben Rice RC New York Yankees Rookie Debut,,
Noah Cameron,,2.25,24.7807,22.5307,synergyycards,2025 Topps Update #US65 Noah Cameron,,
Daylen Lile,,2.28,24.7807,22.5007,lottscreekmarket,2025 Topps Update Series - Daylen Lile #US172 (RC),,
Daylen Lile,,2.28,24.7807,22.5007,stundra,2025 Topps Update Series Base Daylen Lile RC Washington Nationals #US172,,
Daylen Lile,Orange Black,4.0,26.4783,22.4783,vault123cards,2025 Topps Update - Daylen Lile #US172 Holiday Orange & Black Foil RC,,
Noah Cameron,,2.31,24.7807,22.4707,jamcards5,Noah Cameron Rookie Card 2025 Topps Update Kansas City Royals #US65,,
Daylen Lile,,2.39,24.7807,22.3907,bumpkincrafter,2025 Topps Update Holiday Daylen Lile # US172,,
Daylen Lile,,2.43,24.7807,22.3507,darbiesdugout,2025 Topps Update #US172 DAYLEN LILE RC Nationals HOLIDAY Parallel ROOKIE,,
Noah Cameron,Diamante,3.99,26.3208,22.3308,aoscards_78,2025 Topps Update Noah Cameron RC Diamante Foil #US65 Kansas City Royals,,
Roki Sasaki,Diamante,3.99,26.3208,22.3308,justisetter0,2025 Topps Update Series - Rookie Debut Roki Sasaki #US199 Diamante Foil (RC),,
Roki Sasaki,Black Gold,4.0,26.3208,22.3208,wever42545cal,2025 Topps Update Black Gold Roki Sasaki,,
Roki Sasaki,,2.48,24.7807,22.3007,djchinosports,2025 Topps Update Series Base Roki Sasaki RC Los Angeles Dodgers #US199,,
Roki Sasaki,,2.49,24.7807,22.2907,macsevan,2025 Topps Update Series - Rookie Debut 3/19/25 Roki Sasaki #US199 (RC),,
Roki Sasaki,,2.5,24.7807,22.2807,rmcrae162ev,2025 Topps Update Series - Rookie Debut Roki Sasaki #US199 (RC),,
Noah Cameron,,2.5,24.7807,22.2807,whitesoxfan8907,Noah Cameron Royals Rookie 2025 Topps Update Holiday Foil #US65,,
Noah Cameron,,2.58,24.7807,22.2007,bucs-21,2025 Topps Update #US65 Noah Cameron,,
Daylen Lile,,2.6,24.7807,22.1807,rycosportscards_1,2025 Topps Update #US172 Daylen Lile RC,,
Ben Rice,Sandglitter,4.35,26.4783,22.1283,capricecollections,Ben Rice 2025 Topps Update Sandglitter,,
Daylen Lile,,2.69,24.7807,22.0907,snakepit585,2025 Topps Update Series - Daylen Lile #US172 (RC),,
Roki Sasaki,,2.74,24.7807,22.0407,ronkar88,ROKI SASAKI 2025 TOPPS UPDATE RETRO HOLO FOIL CARD #U90-11  DODGERS RC,,
Noah Cameron,,2.88,24.7807,21.9007,djchinosports,2025 Topps Update Series Base Noah Cameron RC Kansas City Royals #US65,,
Daylen Lile,,2.9,24.7807,21.8807,cards6225,2025 Topps Update Series Daylen Lile #US172 Silver Crackle Foil (RC),,
Roki Sasaki,Diamante,4.49,26.3208,21.8308,brownie24,Roki Sasaki Rookie Debut 2025 Topps Update #US199 Diamante Foil SP RC Dodgers,,
Ben Rice,Diamante,4.5,26.3208,21.8208,ckscardhousememorabilia,2025 TOPPS UPDATE BEN RICE SILVER DIAMANTE PARALLEL RC ROOKIE CARD MINT YANKEES,,
Daylen Lile,,2.99,24.7807,21.7907,jaretl,2025 Topps UPDATE Daylen Lile RC Rookie Washington Nationals  #US172,,
Daylen Lile,,3.22,24.7807,21.5607,thebaseballcube,DAYLEN LILE (Rookie) - 2025 Topps Update #US172 washington Nationals - (RC),,
Daylen Lile,,3.25,24.7807,21.5307,glaciercardbreaks,2025 Topps Update Daylen Lile Halloween #US172 (RC) Nationals,,
Noah Cameron,Sandglitter,4.99,26.4783,21.4883,bassmanray03,2025 Topps Update #US65 Noah Cameron Sandglitter,,
Roki Sasaki,Orange Black,5.0,26.4783,21.4783,promoments34,2025 Topps Update  Roki Sasaki  Orange & Black  Rookie Debut  & Base  Dodgers,,
Noah Cameron,Sandglitter,5.17,26.4783,21.3083,comc_consignment,2025 Topps Update Sandglitter Noah Cameron #US65 4d5,,
Ben Rice,Orange Black,5.25,26.4783,21.2283,mr_4sch,2025 Topps Update Ben Rice Orange Holiday US25 Rookie Debut RC Yankees,,
Ben Rice,,3.59,24.7807,21.1907,rkchasingvb,2025 Topps Update #US25 Ben Rice Holo Foil,,
Noah Cameron,Gold 2025,5.49,26.6683,21.1783,dunkjezcreations,2025 Topps Update #US65 Noah Cameron Gold #/2025,,
Noah Cameron,Sandglitter,5.35,26.4783,21.1283,comc_consignment,2025 Topps Update Sandglitter Noah Cameron #US65 tw0,,
Ben Rice,,3.78,24.7807,21.0007,hulkmaster_5,2025 Topps Update #US25 Ben Rice Holiday,,
Noah Cameron,Sandglitter,5.48,26.4783,20.9983,cardfinders,2025 Topps Update Sandglitter Exclusive Parallel Noah Cameron RC US65,,
Daylen Lile,Holiday Jackolantern,4.87,25.7747,20.9047,thesteinie,2025 Topps Update Daylen Lile RC #US172 Jack O’Lantern Foil,,
Ben Rice,Diamante,5.49,26.3208,20.8308,homeofthecards,2025 Topps Update #US25 Ben Rice Pink Diamante Foil,,
Ben Rice,,3.99,24.7807,20.7907,longbeachmedia,2025 Topps Update Series Silver Foilboard Rookie Debut RC #US25 - Ben Rice,,
Ben Rice,,3.99,24.7807,20.7907,traneofthought,Ben Rice 2025 Topps Update #US25 Holo Foil Rookie Debut,,
Roki Sasaki,Sandglitter,5.75,26.4783,20.7283,bluedevil12,2025 Topps Update ROKI SASAKI Sandglitter Rookie Foil Parallel #199,,
Roki Sasaki,Sandglitter,5.98,26.4783,20.4983,forrdeancards,2025 Topps Update #US199 Roki Sasaki Sandglitter,,
Daylen Lile,Diamante,5.99,26.3208,20.3308,fritziefeet,Daylen Lile 2025 Topps Update Pink Diamante Foil Parallel SP #US172 Nationals RC,,
Daylen Lile,,4.5,24.7807,20.2807,marticliclif,2025 Topps Update - Daylen Lile (RC) US172 - Nationals - RAW Mint,,
Roki Sasaki,,4.53,24.7807,20.2507,seahawks1958,2025 Topps Update Companion Card Rookie Debut Roki Sasaki RC # CC3-14,,
Ben Rice,Diamante,6.28,26.3208,20.0408,dc24,2025 Topps Update BEN RICE RC #US25 PINK DIAMANTE FOIL SP Yankees Rookie,,
Ben Rice,,4.75,24.7807,20.0307,cackerman509,2025 Topps Update Ben Rice Holiday Foil Parallel Rookie Debut #US25 - Yankees,,
Roki Sasaki,,4.99,24.7807,19.7907,rjvec,2025 Topps Update Holo Foil #US199 Roki Sasaki RC Los Angeles Dodgers,,
Ben Rice,,4.99,24.7807,19.7907,broadwayscardshop,2025 Topps Update #US25 Ben Rice Holiday RC,,
Roki Sasaki,,4.99,24.7807,19.7907,longbeachmedia,2025 Topps Update Series Companion Card RC Rookie Debut #CC3-14 - Roki Sasaki,,
Ben Rice,,5.0,24.7807,19.7807,collectiblehobbycards,2025 Topps Update Baseball Ben Rice Rookie Debut Glitter SP RC,,
Roki Sasaki,,5.1,24.7807,19.6807,phd_42,2025 Topps Update HALLOWEEN FOIL Roki Sasaki ROOKIE #US199 - Los Angeles Dodgers,,
Ben Rice,Diamante,6.9,26.3208,19.4208,estatecardsales,2025 Topps Update #US25 Ben Rice RC Pink Diamante SP,,
Ben Rice,Sandglitter,7.5,26.4783,18.9783,drjimmy67,2025 Topps Update #US25 Ben Rice Sand Glitter RC,,
Daylen Lile,,5.98,24.7807,18.8007,thesenate66,2025 Topps Update Daylen Lile #US172 Holo Foil Rookie Card Nationals,,
Noah Cameron,Base Rainbow,7.14,25.8597,18.7197,armint4,2025 Topps Update Noah Cameron Rookie Rainbow Foil,,
Ben Rice,,6.89,24.7807,17.8907,bowman1235,2025 Topps Update Series - Rookie Debut Ben Rice #US25 Topps Foil Pattern (RC),,
Roki Sasaki,,6.9,24.7807,17.8807,estatecardsales,2025 Topps Update #US199 Roki Sasaki RC Holo Foil SP,,
Ben Rice,Gold 2025,8.99,26.6683,17.6783,micsle496,Ben Rice 2025 Topps Update Rookie Debut Gold #ed/2025 #US25,,
Roki Sasaki,,7.24,24.7807,17.5407,rt_card_vault,2025 Topps Update - Roki Sasaki #CC-14 Companion Card RC,,
Ben Rice,,7.71,24.7807,17.0707,dr.bananas-cards,2025 Topps Update Ben Rice Pink Holo Foil Rookie Debut RC New York Yankees,,
Daylen Lile,Gold 2025,9.71,26.6683,16.9583,michaeljames44,2025 Topps Update Series Daylen Lile #US172 Gold /2025,,
Ben Rice,Gold 2025,10.0,26.6683,16.6683,hastingssportscards,2025 Topps Update - BEN RICE RC #US25  Gold /2025 Yankees,,
Daylen Lile,Gold 2025,10.0,26.6683,16.6683,jb_cards_79,2025 Topps Update Series - Daylen Lile #US172 - Gold /2025 -Washington Nationals,,
Ben Rice,Orange Black,9.99,26.4783,16.4883,home4toys,2025 Topps Update Ben Rice Orange Holiday US25 Rookie Debut RC Yankees,,
Noah Cameron,Gold 2025,10.24,26.6683,16.4283,pnw-406cardcollecting,Noah Cameron Gold Border /2025 Rookie 2025 Topps Update Series Card #US65 Royals,,
Ben Rice,,8.49,24.7807,16.2907,mr.fun87,BEN RICE 2025 TOPPS UPDATE MAJOR LEAGUE MATERIAL PINSTRIPED YANKEES RC!,,
Ben Rice,Holiday Jackolantern,9.99,25.7747,15.7847,99sportscards,2025 Topps Update #US25 Ben Rice Holiday Jack O’Lantern,,
Noah Cameron,Gold 2025,10.96,26.6683,15.7083,matherz66,2025 Topps Update Noah Cameron RC Gold 0302/2025 - Kansas City Royals - #US65,,
Noah Cameron,Gold 2025,10.99,26.6683,15.6783,bracehemi,2025 Topps Update Noah Cameron RC Gold Border Rookie ##1867/2025 Royals,,
Noah Cameron,Gold 2025,11.1,26.6683,15.5683,meach27,2025 Topps Update Series Noah Cameron RC Gold Parallel  /2025 - Royals #US65,,
Daylen Lile,,9.25,24.7807,15.5307,kosportsandcards,2025 Topps Update DAYLEN LILE HoloFoil  Parallel Nationals #US172 RC,,
Ben Rice,Gold 2025,11.27,26.6683,15.3983,memphocards,2025 Topps Update BEN RICE Gold Border Rookie Debut #US25 RC #/2025 NY Yankees,,
Noah Cameron,Gold 2025,11.44,26.6683,15.2283,bucs-21,2025 Topps Update #US65 Noah Cameron Gold #/2025,,
Moisés Ballesteros,,1.29,16.4999,15.2099,aus-158089,2025 Topps Update #US236 Moisés Ballesteros,,
Moisés Ballesteros,,1.29,16.4999,15.2099,aus-158089,2025 Topps Update #US236 Moisés Ballesteros,,
Moisés Ballesteros,,1.29,16.4999,15.2099,junkwaxkids,2025 Topps Update #US236 Moisés Ballesteros BUY2GET1 CODE: JWKFAN25,,
Moisés Ballesteros,,1.29,16.4999,15.2099,junkwaxkids,2025 Topps Update #US262 Moisés Ballesteros,,
Thomas Harrington,,1.29,16.4999,15.2099,junkwaxkids,2025 Topps Update #US273 Thomas Harrington BUY2GET1 CODE: JWKFAN25,,
Moisés Ballesteros,,1.29,16.4999,15.2099,junkwaxkids,2025 Topps Update #US236 Moisés Ballesteros BUY2GET1 CODE: JWKFAN25,,
Moisés Ballesteros,,1.29,16.4999,15.2099,junkwaxkids,2025 Topps Update #US262 Moisés Ballesteros,,
Thomas Harrington,,1.35,16.4999,15.1499,josdun-4118,"THOMAS HARRINGTON. Rookie, RC. 2025 Topps Update Series Baseball. #173. Pirates.",,
John Rave,,1.39,16.4999,15.1099,firehousesportzcardz,2025 Topps Update #US192 John Rave,,
Moisés Ballesteros,,1.39,16.4999,15.1099,firehousesportzcardz,2025 Topps Update #US262 Moisés Ballesteros,,
Moisés Ballesteros,,1.39,16.4999,15.1099,firehousesportzcardz,2025 Topps Update #US262 Moisés Ballesteros,,
John Rave,,1.39,16.4999,15.1099,firehousesportzcardz,2025 Topps Update #US192 John Rave,,
John Rave,,1.39,16.4999,15.1099,firehousesportzcardz,2025 Topps Update #US192 John Rave,,
Moisés Ballesteros,,1.4,16.4999,15.0999,ubersomethingsales,Moisés Ballesteros - 2025 Topps Update Series #US262 - Chicago Cubs Rookie Card,,
Moisés Ballesteros,,1.4,16.4999,15.0999,ubersomethingsales,Moisés Ballesteros - 2025 Topps Update Series #US262 - Chicago Cubs Rookie Card,,
Thomas Harrington,,1.45,16.4999,15.0499,bobbyramone80,2025 Topps Update #US273 Thomas Harrington RC Pittsburgh Pirates,,
Moisés Ballesteros,,1.49,16.4999,15.0099,phoeniciantrading,2025 Topps Update #US236 Moisés Ballesteros,,
Thomas Harrington,,1.49,16.4999,15.0099,generalbentleytrading,2025 Topps Update Series #US273 Thomas Harrington (RC),,
John Rave,,1.49,16.4999,15.0099,jkcr_29,John Rave 2025 Topps Update Holiday #US192 RC Kansas City Royals,,
Moisés Ballesteros,,1.49,16.4999,15.0099,phoeniciantrading,2025 Topps Update #US236 Moisés Ballesteros,,
Moisés Ballesteros,,1.49,16.4999,15.0099,magic_pin_keepers,2025 Topps Update #US262 Moisés Ballesteros,,
Moisés Ballesteros,,1.49,16.4999,15.0099,magic_pin_keepers,2025 Topps Update #US262 Moisés Ballesteros,,
Moisés Ballesteros,,1.49,16.4999,15.0099,jkcr_29,Moisés Ballesteros 2025 Topps Update #US262 RC Chicago Cubs,,
Moisés Ballesteros,,1.49,16.4999,15.0099,jkcr_29,Moisés Ballesteros 2025 Topps Update #US262 RC Chicago Cubs,,
Moisés Ballesteros,,1.5,16.4999,14.9999,kegall-87,Moisés Ballesteros 2025 Topps Update #US262 Chicago Cubs RC,,
Moisés Ballesteros,,1.5,16.4999,14.9999,kegall-87,Moisés Ballesteros 2025 Topps Update #US262 Chicago Cubs RC,,
Ben Williamson,,1.5,16.4999,14.9999,pnw-406cardcollecting,Ben Williamson Rookie RC 2025 Topps Update Series Card #US130 Seattle Mariners,,
John Rave,,1.55,16.4999,14.9499,isupete,2025 Topps Update #US192 John Rave RC,,
Moisés Ballesteros,,1.59,16.4999,14.9099,southpaw66101,Moisés Ballesteros 2025 Topps Update #US262 RC Chicago Cubs,,
Moisés Ballesteros,,1.59,16.4999,14.9099,linedrivecards,2025 Topps Update #US262 Moisés Ballesteros Chicago Cubs Rookie,,
Moisés Ballesteros,,1.59,16.4999,14.9099,southpaw66101,Moisés Ballesteros 2025 Topps Update #US262 RC Chicago Cubs,,
Moisés Ballesteros,,1.59,16.4999,14.9099,linedrivecards,2025 Topps Update #US262 Moisés Ballesteros Chicago Cubs Rookie,,
Aaron Judge / Jazz Chisholm Jr.,,1.25,16.1514,14.9014,rhopow40,City Boys 2025 Topps Update New York Yankees #US85 Aaron Judge Jazz Chisholm Jr,,
John Rave,,1.66,16.4999,14.8399,ericscardsii,John Rave 2025 Topps Update Kansas City Royals #US192 RC,,
Ben Williamson,,1.66,16.4999,14.8399,ericscardsii,Ben Williamson 2025 Topps Update Seattle Mariners #US130,,
Moisés Ballesteros,,1.69,16.4999,14.8099,dkbbl8,2025 Topps Update #US236 Moisés Ballesteros Rookie Chicago Cubs,,
