player_name,CT_list,lowest_price,second_lowest_price,lowest_to_second_ratio,price_gap,lowest_seller,lowest_title,lowest_item_web_url,lowest_item_id,second_seller,second_title,second_item_web_url,second_item_id
Austin Wynns,Purple Rainbow,2.9,305.0,0.009508,302.1,newme1968,2025 Topps Update Austin Wynns #US330 Purple Foil 141/250 Athletics,,,packs_cards,2025 Topps Update Series 2 - Austin Wynns #US330 Purple Rainbow Foil #1/250,,
Noah Cameron,Diamante,3.99,46.62,0.085586,42.63,aoscards_78,2025 Topps Update Noah Cameron RC Diamante Foil #US65 Kansas City Royals,,,gq_cards,2025 Topps Update #US65 Noah Cameron Pink Diamante Foil,,
Roki Sasaki,1990,1.99,23.0,0.086522,21.01,markitoscards,2025 Topps Update Series - 1990 Topps Baseball Roki Sasaki #U90-11 (RC),,,tobri_4585,2025 Topps Update Roki Sasaki 35th Anniversary 1990 RC Relic,,
Carson McCusker,Chrome,1.74,19.95,0.087218,18.21,muck1201,2025 Topps Update Series Chrome - #USC155 Carson Mccusker (RC) Twins,,,kdoan82,2025 Topps Update Chrome Carson McCusker BW Mini Diamond Rookie Auto #AC-CMC,,
Ryan Walker,Green Foil,4.0,44.99,0.088909,40.99,stlbrowns,2025 Topps Update Green Rainbow Foil Ryan Walker 86/99 SF #US179,,,longo_45,2025 Topps Update Green Rainbow Foil Ryan Walker 98/99 SF Giants #US179,,
Mason Fluharty,Blue Rainbow,2.99,32.8,0.091159,29.81,littleweed89,Mason Fluharty 2025 Topps Update Series #US138 Rainbow Foil (RC) Blue Jays,,,seabeesports,2025 Topps Update Series Mason Fluharty Blue Rainbow Foil 148/150,,
Miguel Rojas,Diamante,2.18,20.99,0.103859,18.81,tandlshops,2025 Topps Update #US166 Miguel Rojas Diamante Foil,,,lodesofcards,2025 Topps Update Series - Miguel Rojas #US166 Pink Diamante Foil,,
Omar Cruz,SSP,11.25,86.0,0.130814,74.75,gatorgrowl1,2025 Topps Update⚾️OMAR CRUZ RC #US-90🔥MUMMIES SSP /50💥Padres,,,matthew6315,2025 Topps Update Omar Cruz ROOKIE RC Halloween Cat  #US90 SSP #04/10,,
Grant Wolfram,Orange Black,1.99,15.0,0.132667,13.01,schleidscards24,2025 Topps Update #US114 Grant Wolfram Orange Holiday Foil Rookie RC Orioles,,,ronopus,"Grant Wolfram 2025 Topps Update Series Holiday Orange Foil ""Jack O Lanterns"" SP",,
Zach Agnos,Holiday Ghost,1.62,11.31,0.143236,9.69,starkzcard,2025 Topps Update holiday Ghost Foil SP Zach Agnos RC #US31 colarado rockies,,,trulyhonesttraders,Zach Agnos 2025 Topps Update Holiday Ghost SP Variation #US31 Colorado Rockies,,
