rank,CT_list,win_rate,wins,losses,avg_win_margin,pairwise_duels_played,listing_count,avg_listing_price
1,Acetate 10,1.0,74,0,95.9365,74,4,115.35
2,Holiday Witch Hat 5,1.0,41,0,173.761,41,3,193.8167
3,Holiday Bats,1.0,39,0,332.0641,39,2,364.995
4,Platinum 1of1,1.0,32,0,245.2978,32,2,249.865
5,First Card 1of1,1.0,29,0,404.5086,29,2,443.48
6,Sketch,1.0,24,0,47.0171,24,2,55.475
7,Own The Name,1.0,7,0,1376.3671,7,1,1399.0
8,Red 5,0.991718,479,4,85.9793,483,29,95.1893
9,Clear 10,0.986014,282,4,56.4605,286,15,60.6107
10,Printing Plate 1of1,0.978495,91,2,228.8193,93,5,226.266
11,Black 10,0.963351,1472,56,69.6815,1528,98,85.2283
12,Golden Mirror,0.961824,907,36,59.1058,944,68,72.8006
13,Wood 25,0.950549,519,27,42.7927,546,33,49.9224
14,Foil Fractor 1of1,0.949275,131,7,219.6077,138,8,226.3063
15,Orange 25,0.924764,2446,199,47.072,2646,200,54.5249
16,Camo 25,0.921301,878,75,24.9598,953,57,32.8851
17,Holiday Mummy,0.895299,838,98,14.9237,938,58,19.6552
18,Flagship Patch Auto,0.893939,59,7,59.008,66,4,64.9975
19,Independence Day 76,0.887049,2089,266,30.4556,2355,162,37.6493
20,Gold 50,0.866229,3432,530,32.1345,3967,327,37.578
21,Canvas 50,0.861882,1273,204,26.6167,1480,100,34.2288
22,Photo Variation,0.854768,1954,332,36.6921,2289,169,51.2357
23,Vintage 99,0.851833,1719,299,18.1946,2019,126,23.6958
24,As Stitches,0.826446,100,21,29.8493,121,8,38.5888
25,Flagship Real One,0.8,204,51,39.9385,255,22,44.93
26,SSP,0.76702,507,154,94.0872,664,50,95.5454
27,Green Foil,0.722413,4000,1537,11.1108,5551,543,14.5263
28,Blue Rainbow,0.653058,4111,2184,6.767,6316,669,9.5346
29,Holiday Ghost,0.584203,392,279,4.1714,675,46,6.6846
30,Purple Rainbow,0.575262,4502,3324,5.2359,7869,932,6.9322
31,Holiday Jackolantern,0.526985,1865,1674,3.9054,3564,274,5.6926
32,Aqua Rainbow,0.51709,590,551,3.6118,1143,77,5.1527
33,Gold 2025,0.446595,5168,6404,2.9399,11662,1819,4.9211
34,X-Fractor,0.37218,99,167,1.07,274,17,2.8841
35,1990,0.339923,791,1536,17.5377,2348,362,9.5584
36,Mvp,0.28877,54,133,9.3335,190,24,5.2362
37,Sandglitter,0.274591,2197,5804,1.8251,8114,961,3.3033
38,Chrome,0.274494,664,1755,18.3779,2439,241,9.1149
39,Orange Black,0.259594,1292,3685,1.3774,5055,443,2.9792
40,Mystical,0.249703,210,631,4.5447,852,129,4.8079
41,Black Gold,0.243662,173,537,2.9168,718,102,4.0701
42,Diamante,0.223979,2423,8395,1.5376,10965,1570,3.0441
43,Night Terrors,0.184805,90,397,1.4596,493,55,3.1976
44,Base Rainbow,0.172537,1695,8129,1.6953,9959,1404,2.7571
45,All Star Game,0.102837,58,506,14.2705,570,102,4.5944
