rank,player_name,win_rate,wins,losses,avg_win_margin,pairwise_duels_played,listing_count,avg_listing_price
1,Aaron Judge / Jazz Chisholm Jr.,0.925134,173,14,15.2568,187,18,25.4506
2,Shohei Ohtani,0.922426,654,55,144.7201,709,72,130.3283
3,Nick Kurtz,0.919626,492,43,29.728,536,64,35.8203
4,Mason Fluharty,0.910112,243,24,34.5186,267,25,40.3408
5,Noah Murdock,0.902174,83,9,5.4752,92,4,9.2375
6,Noah Cameron,0.901408,192,21,15.58,219,21,18.7257
7,MJ Melendez / Bobby Witt Jr.,0.890625,171,21,3.5841,194,14,6.6021
8,Roki Sasaki,0.881988,284,38,46.8369,324,22,66.7764
9,Drake Baldwin,0.872566,493,72,56.9318,567,83,62.7699
10,Daylen Lile,0.854626,194,33,13.1894,228,21,19.829
11,AJ Blubaugh,0.8125,156,36,13.0038,195,17,17.2547
12,Ben Rice,0.809231,263,62,20.1427,328,36,22.0428
13,Marcell Ozuna / Ozzie Albies,0.8,108,27,23.6637,138,13,34.73
14,Jack Dreyer,0.792929,157,41,18.4523,200,17,23.8853
15,Aaron Judge,0.779287,459,130,18.5311,594,59,23.1092
16,Bryce Harper / Nick Castellanos,0.771186,91,27,26.6121,118,10,29.843
17,Chad Patrick,0.767176,201,61,10.3196,265,23,13.7348
18,Aroldis Chapman,0.762626,151,47,4.742,199,18,10.2739
19,Marcelo Mayer,0.737819,318,113,25.6075,433,58,30.1807
20,José Ramírez / Steven Kwan,0.72043,67,26,5.807,93,6,11.3367
21,Spencer Schwellenbach,0.712737,263,106,26.4351,375,35,45.196
22,James Wood,0.70614,322,134,27.2066,460,43,31.4777
23,Grant Wolfram,0.704348,162,68,9.8375,233,19,13.9905
24,Jacob Wilson,0.69598,277,121,39.6097,401,33,57.8785
25,Kumar Rocker,0.694215,168,74,15.5324,245,30,21.28
26,Miguel Rojas,0.68254,86,40,14.2049,131,9,18.6822
27,Elly De La Cruz / Matt McLain,0.682353,174,81,7.5779,261,29,8.899
28,Kevin Alcántara,0.676768,134,64,2.0578,200,14,3.8464
29,Chase Shugart,0.668394,129,64,4.0715,193,15,13.0813
30,Ryan Fitzgerald,0.661417,168,86,13.3445,256,23,19.453
31,Blake Snell / Tyler Glasnow,0.656,164,86,7.3438,256,22,13.8577
32,Andrés Muñoz,0.655462,78,41,2.4888,119,9,6.8822
33,Bryce Harper,0.654882,389,205,8.7783,606,68,15.0516
34,Kristian Campbell,0.654693,565,298,11.8875,874,133,14.9184
35,Matt Shaw,0.653488,562,298,7.5805,872,124,10.1429
36,Hunter Dobbins,0.652482,276,147,14.5019,427,48,19.2446
37,Justin Steele,0.65035,186,100,3.6189,288,27,8.8241
38,Elly De La Cruz,0.645161,320,176,18.7166,506,50,15.393
39,Patrick Monteverde,0.642023,165,92,3.3813,259,32,8.6644
40,Cade Horton,0.638826,283,160,30.725,448,65,30.0642
41,Jake Mangum,0.638767,145,82,27.8972,229,18,17.9306
42,Logan VanWey,0.638655,152,86,5.0903,243,26,6.5942
43,Anthony Banda,0.637306,123,70,2.4364,196,19,5.4663
44,Dominic Canzone,0.633898,187,108,5.4183,304,38,9.1139
45,Caleb Durbin,0.633663,384,222,11.0729,611,94,15.6332
46,Alejandro Osuna,0.633205,164,95,5.4471,264,29,9.3021
47,John Rave,0.633094,176,102,6.1004,282,26,14.8196
48,Shane Smith,0.628205,196,116,8.1841,314,30,10.8623
49,Jackson Jobe,0.627792,253,150,25.225,409,35,25.878
50,Brooks Lee,0.624642,218,131,14.1446,349,31,19.7155
51,Carson McCusker,0.623881,209,126,7.2771,341,36,10.3758
52,Hyeseong Kim,0.621145,282,172,18.1441,457,42,24.1969
