bin,n,avg_pred,avg_actual,min_pred,max_pred
1,14,2.675491,2.517857142857143,2.363763,2.914713
2,14,2.9963841,2.9085714285714284,2.9559705,3.0259058
3,7,3.0535264,3.4814285714285718,3.0535264,3.0535264
4,16,3.1613283,8.47625,3.0810273,3.1913946
5,12,3.4115527,3.6466666666666665,3.3288991,3.4528794
6,17,3.675926,3.5829411764705883,3.593719,3.7207663
7,8,3.7585804,3.7775,3.7585804,3.7585804
8,11,3.7631419,3.919090909090909,3.763142,3.763142
9,6,3.8874848,3.6750000000000003,3.887485,3.887485
10,13,4.199556,4.703846153846154,4.1124997,4.3011217
11,12,4.4293427,4.114166666666667,4.3937497,4.479173
12,14,5.095614,6.3064285714285715,4.592206,5.2745514
13,10,5.3910913,5.255,5.277594,5.483508
14,9,5.6824784,4.74,5.490136,5.9707904
15,18,6.3170447,6.905,6.0343556,6.407321
16,5,7.3987894,9.27,7.3987894,7.3987894
17,11,9.079102,10.25,8.348507,9.932492
18,12,10.350905,8.985833333333334,9.94449,10.55124
19,15,15.294295,15.299333333333333,13.575035,15.614059
20,8,21.653399,20.32375,16.666157,26.64064
