player_name,CT_list,market_all_in_price,pred_price,underpriced_by,seller,title,item_id,item_web_url
Ben Rice,Chrome,1.74,26.4783,24.7383,muck1201,2025 Topps Update Series Chrome - #USC138 Ben Rice (RC) Yankees,,
Roki Sasaki,1990,1.99,26.6406,24.6506,markitoscards,2025 Topps Update Series - 1990 Topps Baseball Roki Sasaki #U90-11 (RC),,
Daylen Lile,Orange Black,1.99,26.4783,24.4883,kjstone7355,2025 Topps Update Series - Daylen Lile #US172 Holiday Orange & Black Foil (RC),,
Ben Rice,Diamante,1.98,26.3208,24.3408,clayscards86,2025 Topps Update Series - Rookie Debut Ben Rice #US25 Diamante Foil (RC),,
Ben Rice,Diamante,2.08,26.3208,24.2408,tandlshops,2025 Topps Update #US25 Ben Rice Diamante Foil,,
Ben Rice,Chrome,2.26,26.4783,24.2183,infinityartmedia,BEN RICE—2025 Topps Update Series Chrome Refractor #USC138—ROOKIE CARD,,
Daylen Lile,Chrome,2.29,26.4783,24.1883,626_baseballcards,2025 Topps Update Series Chrome - Daylen Lile (RC) #USC146,,
Noah Cameron,Base Rainbow,1.99,25.8597,23.8697,schleidscards24,2025 Topps Update Series Noah Cameron #US65 Rainbow Foil Rookie RC Royals,,
Ben Rice,Chrome,2.7,26.4783,23.7783,tradingcardexpress,2025 Topps Update Chrome Ben Rice RC Rookie Debut #USC-138 Yankees,,
Noah Cameron,Sandglitter,2.79,26.4783,23.6883,fiveonetwo_cards,2025 Topps Update Noah Cameron Sand Glitter #US65 Kansas City Royals Rookie RC,,
Ben Rice,Diamante,2.81,26.3208,23.5108,hulkmaster_5,2025 Topps Update #US25 Ben Rice Diamante Foil,,
Daylen Lile,Sandglitter,2.98,26.4783,23.4983,ne5t_finds82,DAYLEN LILE RC Sand Glitter 2025 Topps Update Nationals US172,,
Noah Cameron,Sandglitter,3.1,26.4783,23.3783,col_65924,2025 Topps Update Series - Noah Cameron #US65 Sandglitter (RC),,
Ben Rice,Base Rainbow,2.5,25.8597,23.3597,kingcyrussportscards,2025 Topps Update Series - Rookie Debut Ben Rice #US25 Rainbow Foil (RC),,
Ben Rice,Diamante,3.0,26.3208,23.3208,brpafcshcp,2025 Topps Update Ben Rice Diamante Foil Rookie Debut RC #25,,
Ben Rice,Sandglitter,3.24,26.4783,23.2383,soccerfanatic7777,2025 Topps Update Ben Rice #337 Sand Glitter RC Rookie NY Yankees ROOKIE CARD,,
Daylen Lile,Base Rainbow,2.79,25.8597,23.0697,traneofthought,Daylen Lile 2025 Topps Update #US172 Rainbow Foil Rookie,,
Daylen Lile,Sandglitter,3.5,26.4783,22.9783,josnic-9149,2025 Topps Update Series - Daylen Lile #US172 Sand Glitter Parallel. Nationals,,
Ben Rice,Diamante,3.39,26.3208,22.9308,anthony.rogers8960,2025 Topps Update Ben Rice RC Debut Diamante Foil,,
Roki Sasaki,Base Rainbow,2.95,25.8597,22.9097,raiders4,2025 Topps Update Series - Rookie Debut Roki Sasaki (RC) #US199 - Rainbow Foil,,
Noah Cameron,Base Rainbow,2.99,25.8597,22.8697,mullymoves,2025 Topps Update Series - Noah Cameron #US65 Rainbow Foil (RC),,
Ben Rice,Diamante,3.7,26.3208,22.6208,estatecardsales,2025 Topps Update #US25 Ben Rice RC Diamante SP,,
Daylen Lile,Orange Black,4.0,26.4783,22.4783,vault123cards,2025 Topps Update - Daylen Lile #US172 Holiday Orange & Black Foil RC,,
Noah Cameron,Diamante,3.99,26.3208,22.3308,aoscards_78,2025 Topps Update Noah Cameron RC Diamante Foil #US65 Kansas City Royals,,
Roki Sasaki,Diamante,3.99,26.3208,22.3308,justisetter0,2025 Topps Update Series - Rookie Debut Roki Sasaki #US199 Diamante Foil (RC),,
Roki Sasaki,Black Gold,4.0,26.3208,22.3208,wever42545cal,2025 Topps Update Black Gold Roki Sasaki,,
Ben Rice,Sandglitter,4.35,26.4783,22.1283,capricecollections,Ben Rice 2025 Topps Update Sandglitter,,
Roki Sasaki,Diamante,4.49,26.3208,21.8308,brownie24,Roki Sasaki Rookie Debut 2025 Topps Update #US199 Diamante Foil SP RC Dodgers,,
Ben Rice,Diamante,4.5,26.3208,21.8208,ckscardhousememorabilia,2025 TOPPS UPDATE BEN RICE SILVER DIAMANTE PARALLEL RC ROOKIE CARD MINT YANKEES,,
Noah Cameron,Sandglitter,4.99,26.4783,21.4883,bassmanray03,2025 Topps Update #US65 Noah Cameron Sandglitter,,
Roki Sasaki,Orange Black,5.0,26.4783,21.4783,promoments34,2025 Topps Update  Roki Sasaki  Orange & Black  Rookie Debut  & Base  Dodgers,,
Noah Cameron,Sandglitter,5.17,26.4783,21.3083,comc_consignment,2025 Topps Update Sandglitter Noah Cameron #US65 4d5,,
Ben Rice,Orange Black,5.25,26.4783,21.2283,mr_4sch,2025 Topps Update Ben Rice Orange Holiday US25 Rookie Debut RC Yankees,,
Noah Cameron,Gold 2025,5.49,26.6683,21.1783,dunkjezcreations,2025 Topps Update #US65 Noah Cameron Gold #/2025,,
Noah Cameron,Sandglitter,5.35,26.4783,21.1283,comc_consignment,2025 Topps Update Sandglitter Noah Cameron #US65 tw0,,
Noah Cameron,Sandglitter,5.48,26.4783,20.9983,cardfinders,2025 Topps Update Sandglitter Exclusive Parallel Noah Cameron RC US65,,
Daylen Lile,Holiday Jackolantern,4.87,25.7747,20.9047,thesteinie,2025 Topps Update Daylen Lile RC #US172 Jack O’Lantern Foil,,
Ben Rice,Diamante,5.49,26.3208,20.8308,homeofthecards,2025 Topps Update #US25 Ben Rice Pink Diamante Foil,,
Roki Sasaki,Sandglitter,5.75,26.4783,20.7283,bluedevil12,2025 Topps Update ROKI SASAKI Sandglitter Rookie Foil Parallel #199,,
Roki Sasaki,Sandglitter,5.98,26.4783,20.4983,forrdeancards,2025 Topps Update #US199 Roki Sasaki Sandglitter,,
Daylen Lile,Diamante,5.99,26.3208,20.3308,fritziefeet,Daylen Lile 2025 Topps Update Pink Diamante Foil Parallel SP #US172 Nationals RC,,
Ben Rice,Diamante,6.28,26.3208,20.0408,dc24,2025 Topps Update BEN RICE RC #US25 PINK DIAMANTE FOIL SP Yankees Rookie,,
Ben Rice,Diamante,6.9,26.3208,19.4208,estatecardsales,2025 Topps Update #US25 Ben Rice RC Pink Diamante SP,,
Ben Rice,Sandglitter,7.5,26.4783,18.9783,drjimmy67,2025 Topps Update #US25 Ben Rice Sand Glitter RC,,
Noah Cameron,Base Rainbow,7.14,25.8597,18.7197,armint4,2025 Topps Update Noah Cameron Rookie Rainbow Foil,,
Ben Rice,Gold 2025,8.99,26.6683,17.6783,micsle496,Ben Rice 2025 Topps Update Rookie Debut Gold #ed/2025 #US25,,
Daylen Lile,Gold 2025,9.71,26.6683,16.9583,michaeljames44,2025 Topps Update Series Daylen Lile #US172 Gold /2025,,
Daylen Lile,Gold 2025,10.0,26.6683,16.6683,jb_cards_79,2025 Topps Update Series - Daylen Lile #US172 - Gold /2025 -Washington Nationals,,
Ben Rice,Gold 2025,10.0,26.6683,16.6683,hastingssportscards,2025 Topps Update - BEN RICE RC #US25  Gold /2025 Yankees,,
Ben Rice,Orange Black,9.99,26.4783,16.4883,home4toys,2025 Topps Update Ben Rice Orange Holiday US25 Rookie Debut RC Yankees,,
Noah Cameron,Gold 2025,10.24,26.6683,16.4283,pnw-406cardcollecting,Noah Cameron Gold Border /2025 Rookie 2025 Topps Update Series Card #US65 Royals,,
Ben Rice,Holiday Jackolantern,9.99,25.7747,15.7847,99sportscards,2025 Topps Update #US25 Ben Rice Holiday Jack O’Lantern,,
Noah Cameron,Gold 2025,10.96,26.6683,15.7083,matherz66,2025 Topps Update Noah Cameron RC Gold 0302/2025 - Kansas City Royals - #US65,,
Noah Cameron,Gold 2025,10.99,26.6683,15.6783,bracehemi,2025 Topps Update Noah Cameron RC Gold Border Rookie ##1867/2025 Royals,,
Noah Cameron,Gold 2025,11.1,26.6683,15.5683,meach27,2025 Topps Update Series Noah Cameron RC Gold Parallel  /2025 - Royals #US65,,
Ben Rice,Gold 2025,11.27,26.6683,15.3983,memphocards,2025 Topps Update BEN RICE Gold Border Rookie Debut #US25 RC #/2025 NY Yankees,,
Noah Cameron,Gold 2025,11.44,26.6683,15.2283,bucs-21,2025 Topps Update #US65 Noah Cameron Gold #/2025,,
Daylen Lile,Aqua Rainbow,11.5,25.7747,14.2747,911-cards,2025 Topps Update Series - Daylen Lile #US172 Aqua Rainbow Foil (RC),,
Shohei Ohtani,All Star Game,2.93,16.731,13.801,mapoch_81,2025 Topps Update Series - 2025 All-Star Game Shohei Ohtani #ASG-1,,
Shohei Ohtani,All Star Game,3.0,16.731,13.731,etsl1234,Shohei Ohtani 2025 Topps Update All-Star Foil Card #ASG-1,,
Shohei Ohtani,All Star Game,3.49,16.731,13.241,dbacks_61,2025 Topps Update Series - 2025 All-Star Game Shohei Ohtani #ASG-1,,
Shohei Ohtani,All Star Game,3.49,16.731,13.241,cmauction,2025 Topps Update - 2025 All-Star Game #ASG-1 Shohei Ohtani,,
Mason Fluharty,Blue Rainbow,2.99,16.1215,13.1315,littleweed89,Mason Fluharty 2025 Topps Update Series #US138 Rainbow Foil (RC) Blue Jays,,
Derek Hill,Green Foil,1.84,14.8077,12.9677,millertimecards96,2025 Topps Update Derek Hill #US305 Green Rainbow Foil /99 Marlins,,
Shohei Ohtani,All Star Game,3.78,16.731,12.951,biggrandpascardshack,2025 Topps Update - 2025 All-Star Game #ASG-1 Shohei Ohtani,,
Shohei Ohtani,All Star Game,3.81,16.731,12.921,maybow1992,2025 Topps Update #ASG-1 Shohei Ohtani 2025 All-Star Game,,
Shohei Ohtani,All Star Game,3.99,16.731,12.741,dw_2005,2025 Topps Update - All Star Shohei Ohtani #ASG-1,,
Shohei Ohtani,All Star Game,4.0,16.731,12.731,brancy14,2025 Topps Update - 2025 All-Star Game #ASG-1 Shohei Ohtani,,
Shohei Ohtani,All Star Game,4.0,16.731,12.731,markitoscards,2025 Topps Update All-Star Game Shohei Ohtani Los Angeles Dodgers #ASG-1,,
Shohei Ohtani,All Star Game,4.32,16.731,12.411,gabe442010,2025 Topps Update All Star Game Shohei Ohtani #ASG-1 Los Angeles Dodgers,,
Zak Kent,Green Foil,2.65,14.9736,12.3236,brmede_37,2025 Topps Update #US238 Zak Kent Green Rainbow Foil #/99,,
Nick Kurtz,1990,3.35,15.6141,12.2641,whitesoxfan8907,Nick Kurtz Athletics RC 2025 Topps Update 1990 35th Anniversary Foil U90-17,,
Nick Kurtz,1990,3.35,15.6141,12.2641,whitesoxfan8907,Nick Kurtz Athletics RC 2025 Topps Update 1990 35th Anniversary Foil U90-17,,
Shohei Ohtani,All Star Game,4.54,16.731,12.191,302sportscards,2025 Topps Update #ASG-1 Shohei Ohtani 2025 All-Star Game,,
Shohei Ohtani,1990,3.49,15.6141,12.1241,ledsimpson,2025 Topps Update 1990 Shohei Ohtani U90-33 Los Angeles Dodgers Insert,,
Shohei Ohtani,1990,3.5,15.6141,12.1141,columbusmilsales,Shohei Ohtani 2025 Topps Update 1990 Baseball Dodgers #U90-33,,
Graham Pauley,Green Foil,2.94,14.8077,11.8677,cwerb17,2025 Topps Update GREEN HOLO FOIL #US188 Graham Pauley #82/99 Miami Marlins,,
Graham Pauley,Green Foil,3.0,14.8077,11.8077,klinefamcollect,2025 Topps Update Baseball US188 Graham Pauley - Green Rainbow Foil /99,,
Oliver Dunn,Green Foil,3.0,14.7565,11.7565,louies.trading.post,2025 Topps Update Series - Oliver Dunn #US169 Green Rainbow Foil /99,,
Shohei Ohtani,All Star Game,4.99,16.731,11.741,jc3_cards_and_collectibles,2025 Topps Update 2025 All-Star Game Shohei Ohtani #ASG-1 Los Angeles Dodgers,,
Shohei Ohtani,All Star Game,5.0,16.731,11.731,cardshark2024,2025 Topps Update Series - 2025 All-Star Game Shohei Ohtani #ASG-1,,
Nick Allen,Green Foil,3.08,14.768,11.688,dannybobany,2025 Topps Update Green Foil Nick Allen 55/99 Atlanta Braves #US106,,
Shohei Ohtani,1990,3.98,15.6141,11.6341,soccerfanatic7777,2025 topps update HOLOFOIL REFRACTOR Shohei Ohtani 35TH ANNIV. LA Dodgers Card💥,,
Nick Kurtz,1990,3.99,15.6141,11.6241,dw_2005,2025 Topps Update - Nick Kurtz #U90-17 1990 Topps Baseball RC (B),,
Nick Kurtz,1990,3.99,15.6141,11.6241,dw_2005,2025 Topps Update - Nick Kurtz #U90-17 1990 Topps Baseball RC (A),,
Nick Kurtz,1990,3.99,15.6141,11.6241,dw_2005,2025 Topps Update - Nick Kurtz #U90-17 1990 Topps Baseball RC (B),,
Nick Kurtz,1990,3.99,15.6141,11.6241,kleffa-kards,2025 Topps Update Series - 1990 Topps Baseball Nick Kurtz #U90-17 (RC),,
Nick Kurtz,1990,3.99,15.6141,11.6241,kleffa-kards,2025 Topps Update Series - 1990 Topps Baseball Nick Kurtz #U90-17 (RC),,
Nick Kurtz,1990,3.99,15.6141,11.6241,dw_2005,2025 Topps Update - Nick Kurtz #U90-17 1990 Topps Baseball RC (A),,
Shohei Ohtani,1990,3.99,15.6141,11.6241,doubletrouble_2011,2025 Topps Update Shohei Ohtani 35th Anniversary No. U90-33,,
Thomas Harrington,Green Foil,4.99,16.4999,11.5099,pnwcards22,2025 TOPPS UPDATE - THOMAS HARRINGTON RC #U90C-57 -  SILVER PACK GREEN #'d/99!,,
Adrian Del Castillo,Green Foil,3.48,14.9736,11.4936,delli-steve,ADRIAN DEL CASTILLO 2025 TOPPS UPDATE SERIES GREEN HOLO FOIL RC /99 DIAMONDBACKS,,
Alex Verdugo,Green Foil,3.34,14.768,11.428,flatiron_cards,Alex Verdugo 2025 Topps Update Green Foil /99,,
Aaron Judge / Jazz Chisholm Jr.,Diamante,4.25,15.5648,11.3148,arthurscardsandcollectibles,2025 Topps Update #US85 Aaron Judge / Jazz Chisholm Jr. VC Diamante Foil,,
Kyle Higashioka,Green Foil,2.28,13.4011,11.1211,columbusmilsales,Kyle Higashioka 2025 Topps Update Green Foil 50/99 Rangers #US207,,
Gabriel Arias,Gold 50,3.75,14.8077,11.0577,bencards69,"2025 Topps UPDATE #US206 Gabriel Arias, Cleveland Guardians GOLD Holo Foil /50",,
Tommy Pham,Green Foil,2.99,14.0062,11.0163,thecord44,2025 Topps Update Series - Tommy Pham #US266 Green Rainbow Foil /99,,
CJ Alexander,Green Foil,3.99,14.9736,10.9836,jcs-cardsandmemorabilia,2025 Topps Update CJ Alexander RC #US143 GREEN RAINBOW FOIL /99 Color Match,,
Shohei Ohtani,All Star Game,5.78,16.731,10.951,rekamm45,2025 Topps Update #ASG-1 Shohei Ohtani 2025 All-Star Game,,
Bryan De La Cruz,Green Foil,2.69,13.5753,10.8853,homeplateosky,2025 Topps Update Bryan De La Cruz Green Holo Foil #/99 #US234,,
Shohei Ohtani,Mvp,4.75,15.5696,10.8196,cc_baseball_cards,2025 Topps Update Series Shohei Ohtani MVP #MV-2,,
Luis Contreras,Green Foil,3.99,14.8077,10.8177,bhays44,2025 Topps Update Luis Contreras US323 Green Rainbow Foil /99 RC,,
Manuel Margot,Holiday Mummy,3.99,14.8077,10.8177,dakaspr0,Manuel Margot 2025 Topps Update Skull #09/50 US42,,
Derek Hill,Green Foil,3.99,14.8077,10.8177,huddlecards,2025 Topps Update #US305 Derek Hill Green Holo Foil #/99 - Free Shipping,,
Luis Torrens,Green Foil,3.99,14.8077,10.8177,sgoodbar,2025 Topps Update Luis Torrens Green Foil /99 New York Mets,,
Davis Martin,Green Foil,4.0,14.8077,10.8077,heart_of_texas_hobbyist,2025 Topps Update White Sox Davis Martin Green Foil /99,,
Nick Kurtz,Mystical,4.79,15.5696,10.7796,montananj1,2025 Topps Update Series - Mystical Nick Kurtz #MYS-17 (RC),,
Nick Kurtz,Mystical,4.79,15.5696,10.7796,montananj1,2025 Topps Update Series - Mystical Nick Kurtz #MYS-17 (RC),,
Mason Fluharty,Base Rainbow,4.99,15.7427,10.7527,dustyboxtreasures,2025 Topps Update Series - Mason Fluharty #US138 Rainbow Foil (RC),,
Nick Kurtz,Base Rainbow,5.0,15.7427,10.7427,barrett-harms,2025 Topps Update Series #U90-17 Nick Kurtz Rookie Athletics Rainbow Foil,,
Nick Kurtz,Base Rainbow,5.0,15.7427,10.7427,barrett-harms,2025 Topps Update Series #U90-17 Nick Kurtz Rookie Athletics Rainbow Foil,,
Thomas Harrington,Blue Rainbow,5.99,16.6662,10.6762,417dlthome,2025 Topps Update Thomas Harrington Rookie RC Blue #/150 Pirates #US273,,
Aaron Judge / Jazz Chisholm Jr.,Diamante,4.95,15.5648,10.6148,aimhighcollectibles,Aaron Judge / Jazz Chisholm Jr. VC 2025 Topps Update #US85 Diamante Foil Yankees,,
Shohei Ohtani,Night Terrors,5.14,15.7427,10.6027,jarereic0,Shohei Ohtani 2025 Topps Update Series #NT-2 Night Terrors Insert Dodgers *Read,,
,Green Foil,2.99,13.5753,10.5853,the_card_shop,2025 Topps Update Series Green Holo Foil- Andres Munoz #US12  /99,,
Graham Pauley,Green Foil,4.31,14.8077,10.4977,mostarcollectibles,2025 Topps Update Baseball - Graham Pauley #US188 (Green Foil /99),,
Adrian Del Castillo,Green Foil,4.5,14.9736,10.4736,gaalex8542,2025 TOPPS UPDATE BASEBALL GREEN FOIL 45/99 RC ADRIAN DEL CASTILLO ARIZONA US267,,
Daylen Lile,Blue Rainbow,14.99,25.4416,10.4516,thekingtauros,2025 Topps Update BLUE Rainbow Foil 101/150 Daylen Lile RC Washington Nationals,,
Nick Kurtz,Mystical,5.14,15.5696,10.4296,opposite-field,2025 Topps Update Mystical #MYS-17 Nick Kurtz RC Rookie,,
Nick Kurtz,Mystical,5.14,15.5696,10.4296,opposite-field,2025 Topps Update Mystical #MYS-17 Nick Kurtz RC Rookie,,
Will Wilson,Green Foil,2.99,13.404,10.414,bencards69,2025 Topps Update Will Wilson Green Holo Foil  /99 #US255 Cleveland Guardians RC,,
Rafael Marchán,Green Foil,4.48,14.8077,10.3277,cloudcards21,2025 Topps Update Rafael Marchán Green Holo Foil /99 Phillies #US289,,
Davis Martin,Independence Day 76,4.49,14.8077,10.3177,dkbbl8,2025 Topps Update #US294 Davis Martin Independence Day 01/76 Chicago White Sox,,
Brandon Young,Green Foil,4.5,14.8077,10.3077,wncardcollectors,2025 Topps Update Series Brandon Young #US97 Green Holofoil /99 (RC),,
Aaron Judge / Jazz Chisholm Jr.,Diamante,5.31,15.5648,10.2548,hulkmaster_5,2025 Topps Update #US85 Aaron Judge / Jazz Chisholm Jr. VC Diamante Foil,,
Aaron Judge / Jazz Chisholm Jr.,Diamante,5.31,15.5648,10.2548,trulyhonesttraders,Aaron Judge / Jazz Chisholm Jr. VC 2025 Topps Update Diamante Foil #US85 Yankees,,
,Green Foil,3.39,13.5753,10.1853,bicyclerips,2025 Topps Update Series Yoan Moncada Green Foil /99 SP Los Angeles Angels #US24,,
,Green Foil,3.49,13.5753,10.0853,naypriz_collectibles,2025 Topps Update Green Rainbow Foil Rafael Marchan #US289 Phillis /99,,
Tommy Pham,Green Foil,3.99,14.0062,10.0163,3-2count24,2025 Topps Update Series - Tommy Pham #US266 Green Rainbow Foil /99,,
Zak Kent,Green Foil,4.98,14.9736,9.9936,dabarge,2025 Topps Update Series Zak Kent Green #/99 / Card #US238 / Guardians,,
John Rave,Blue Rainbow,6.68,16.6662,9.9862,brushing23,2025 Topps Update John Rave RC Blue Rainbow Foil Rookie #149/150 Royals,,
Justin Verlander,SSP,5.0,14.9736,9.9736,andrus51,2025 Topps Update Justin Verlander #US100 Tinsel SSP 🔥 Giants,,
Brady Feigl,Vintage 99,5.0,14.9736,9.9736,klinefamcollect,2025 Topps Update Baseball US333 Brady Feigl RC - Vintage Stock /99 - Twins,,
Zac Veen,Green Foil,3.44,13.4011,9.9611,drac2007,2025 TOPPS UPDATE SERIES BASEBALL ZAC VEEN ROOKIE GREEN RAINBOW FOIL /99,,
Zac Veen,Green Foil,3.44,13.4011,9.9611,drac2007,2025 TOPPS UPDATE SERIES BASEBALL ZAC VEEN ROOKIE GREEN RAINBOW FOIL /99,,
Matthew Lugo,Green Foil,4.95,14.8077,9.8577,naypriz_collectibles,2025 Topps Update Green Rainbow Foil Matthew Lugo RC #US314 Angels /99,,
Mason Fluharty,Diamante,5.71,15.5648,9.8548,downtown.collects,2025 Topps Update #US138 Mason Fluharty Diamante Foil,,
Mason Fluharty,Diamante,5.73,15.5648,9.8348,tommypgoods,2025 Topps Update Series - Diamante Foil #US138 Mason Fluharty  (RC),,
Graham Pauley,Green Foil,4.99,14.8077,9.8177,keebsalphapacks,2025 Topps Update Graham Pauley /99 Green Rainbow Foil SP US188 Marlins Parallel,,
Davis Martin,Green Foil,4.99,14.8077,9.8177,mcgoverncreativeandcollectibles,2025 Topps Update Series - Davis Martin #US294 Green /99,,
Shohei Ohtani,Night Terrors,6.0,15.7427,9.7427,jts_fieldofcards,2025 Topps Update Series 🕷️Night Terrors🕷️#NT-2 Shohei Ohtani - LA Dodgers,,
Aaron Judge / Jazz Chisholm Jr.,Diamante,5.83,15.5648,9.7348,rkchasingvb,2025 Topps Update #US85 Aaron Judge / Jazz Chisholm Jr. VC Pink Diamante Foil,,
Luis Contreras,Green Foil,5.09,14.8077,9.7177,dw_2005,2025 Topps Update - Luis Contreras #US323 Green Rainbow Foil /99,,
Will Wilson,Green Foil,3.73,13.404,9.674,wgcards03,2025 Topps Update - Will Wilson - Green Foil - /99 #US255,,
Zak Kent,Green Foil,5.31,14.9736,9.6636,mostarcollectibles,2025 Topps Update Baseball - Zak Kent Rookie #US238 (Green Foil /99),,
Aaron Judge / Jazz Chisholm Jr.,Orange Black,5.94,15.5696,9.6296,jekk_cards,2025 Topps Update US85 Aaron Judge Jazz Chisholm Jr Black Orange Holiday Foil,,
Shohei Ohtani,1990,5.99,15.6141,9.6241,jimmygshobby,2025 Topps Update Shohei Ohtani 1990 Topps Baseball 35th Anniversary Holo,,
Mason Fluharty,Diamante,5.99,15.5648,9.5748,col_65924,2025 Topps Update Series - Mason Fluharty #US138 Diamante Foil (RC),,
Shohei Ohtani,Diamante,5.99,15.5648,9.5748,creepin2012,Shohei Ohtani / Roki Sasaki 2025 Topps Update Rising Sons Diamante Foil #US269,,
Ryan Walker,Green Foil,4.0,13.5728,9.5728,stlbrowns,2025 Topps Update Green Rainbow Foil Ryan Walker 86/99 SF #US179,,
Nick Kurtz,Black Gold,6.0,15.5648,9.5648,ldcollectibles25,2025 Topps Update Series Topps Black Gold Nick Kurtz Rookie #BG-20 Athletics,,
Nick Kurtz,Black Gold,6.0,15.5648,9.5648,ldcollectibles25,2025 Topps Update Series Topps Black Gold Nick Kurtz Rookie #BG-20 Athletics,,
Shohei Ohtani,Night Terrors,6.22,15.7427,9.5227,toms_dugout_md,2025 Topps Update - Night Terrors #NT-2 Shohei Ohtani,,
Shohei Ohtani,Night Terrors,6.24,15.7427,9.5027,whiteside42,Shohei Ohtani 2025 Topps Update - Night Terrors #NT-2 Los Angeles Dodgers,,
Zack Littell,Independence Day 76,5.31,14.778,9.468,taylord_cards,2025 Topps Update Zack Littell #US66 Independence Day /76,,
JoJo Romero,Green Foil,3.99,13.4011,9.4111,coachssp92,2025 Topps Update JoJo Romero #US346 Green Foil /99 RC St. Louis Cardinals,,
Blaine Crim,Green Foil,5.31,14.7165,9.4065,5handssportscards,Blaine Crim 2025 Topps Update #US205 Rookie Green Rainbow Foil /99,,
Mason Fluharty,Gold 2025,6.24,15.6133,9.3733,gscott3779,⚾️🏆 2025 Topps Update Mason Fluharty Gold RC 1211/2025 #US138,,
Noah Murdock,Orange Black,6.33,15.5696,9.2396,comc_consignment,2025 Topps Update Holiday Orange & Black Foil Noah Murdock #US134 4d5,,
,Gold 50,4.39,13.5753,9.1853,jaggscolletables,2025 Topps Update Series - Johnathan Rodriguez #US142 Gold Holofoil /50,,
Rhylan Thomas,Green Foil,4.55,13.7048,9.1548,jefmey2,2025 Topps Update Series Rhylan Thomas Green Rainbow Foil /99 #US196 RC,,
Victor MESA JR.,Green Foil,4.68,13.7026,9.0226,brushing23,2025 Topps Update Victor Mesa JR RC Miami Marlins Green Rainbow Foil  46/99,,
Luken Baker,SSP,5.0,13.9894,8.9894,andrus51,2025 Topps Update Series Luken Baker #US153 Tinsel SSP 🔥 Cardinals,,
Mason Fluharty,Diamante,6.59,15.5648,8.9748,coloradoams,2025 Topps Update Series - Mason Fluharty #US138 Pink Diamante Foil (RC),,
Jon Berti,Green Foil,4.84,13.7048,8.8648,johnny_ford_cards,2025 Topps Update Green Jon Berti 86/99 #US139,,
Luken Baker,Green Foil,5.14,13.9894,8.8494,comc_consignment,2025 Topps Update Green Rainbow Foil /99 Luken Baker #US153 19b4,,
Jacob Wilson,All Star Game,1.49,10.3248,8.8348,josnic-9149,2025 Topps Update Series - 2025 All-Star Game Jacob Wilson #ASG-11 (RC),,
Gabriel Arias,Green Foil,5.98,14.8077,8.8277,thomadunca71,2025 Topps Update US206 Gabriel Arias Green Rainbow Foil /99 Guardians,,
Ben Williamson,Purple Rainbow,2.99,11.8163,8.8263,jwcardznthings,Ben Williamson ~ 2025 Topps Update ~ Rookie Purple Foil 074/250 #US130,,
Ben Williamson,Purple Rainbow,2.99,11.8163,8.8263,jwcardznthings,Ben Williamson ~ 2025 Topps Update ~ Rookie Purple Foil 202/250 #US130,,
Gerson Garabito,Gold 50,5.99,14.8077,8.8177,aggressivejoker,2025 Topps Update Gerson Garabito RC Gold Holo Foil #42/50 Rangers,,
Davis Martin,Green Foil,5.99,14.8077,8.8177,colecard,2025 Topps Update-Davis Martin Green Foil /99-Chicago White Sox,,
Brady Feigl,Green Foil,6.17,14.9736,8.8036,stst-8698,2025 Topps Update Green Brady Feigl RC 45/99 #US333 Minnesota Twins,,
James Wood,All Star Game,1.75,10.5512,8.8012,value_box_cards,2025 Topps Update #ASG-29 James Wood 2025 All-Star Game Rookie,,
Justin Hagenman,Green Foil,5.97,14.7565,8.7865,leggs-lists,Justin Hagenman (RC) 2025 Topps Update Green Rainbow Foil 94/99 #US-108 Mets,,
Shohei Ohtani,Night Terrors,6.99,15.7427,8.7527,aoscards_78,2025 Topps Update Shohei Ohtani Night Terrors #NT-2 Los Angeles Dodgers,,
,Green Foil,4.84,13.5753,8.7353,2ndtonone78,2025 Topps Update #US75 ANDRES GIMENEZ Green Rainbow Foil /99,,
Jacob Wilson,All Star Game,1.59,10.3248,8.7348,acts_of_insanity,2025 Topps Update Series All-Star Game Jacob Wilson #ASG-11 RC NM Free Shipping,,
Tyler Mahle,Green Foil,4.98,13.7048,8.7248,islayhaveanother,2025 Topps Update Tyler Mahle Green /99 Twins,,
Brady Feigl,Green Foil,6.25,14.9736,8.7236,mesolen,2025 Topps Update - #US333 Brady Feigl (RC) Green Foil /99,,
,Green Foil,4.86,13.5753,8.7153,sportcardplus,2025 Topps Update Randy Rodriguez 12/99 Green Foil #US240 San Francisco Giants,,
Jon Berti,Green Foil,4.99,13.7048,8.7148,baade3,2025 Topps Update - Jon Berti #US139 Green #/99,,
